date,ind,rain,ind,temp,ind,wetb,dewpt,vappr,rhum,msl,ind,wdsp,ind,wddir,ww,w,sun,vis,clht,clamt,NO2
10-02-2022 16:00,0,0,0,7.5,0,4.3,-0.8,5.7,55,1028,2,13,2,280,2,11,0.9,60000,999,1,33.94
10-02-2022 17:00,0,0,0,6.1,0,3.8,0.2,6.2,66,1028.3,2,14,2,290,2,11,0.3,60000,999,1,39.03
10-02-2022 18:00,0,0,0,4.7,0,3,0.3,6.2,73,1029.2,2,12,2,310,2,11,0,30000,999,1,47.22
10-02-2022 19:00,0,0,0,4.1,0,2.7,0.5,6.3,77,1029.9,2,9,2,300,2,11,0,20000,999,1,46.26
10-02-2022 20:00,3,0,0,3.3,0,2.2,0.4,6.3,81,1030.7,2,6,2,290,2,11,0,30000,999,1,39.1
10-02-2022 21:00,3,0,0,3.2,0,2.1,0.4,6.2,81,1030.9,2,7,2,300,2,11,0,30000,999,2,45.69
10-02-2022 22:00,3,0,0,3.2,0,2.1,0.3,6.2,81,1031.2,2,8,2,320,2,11,0,35000,999,3,71.97
10-02-2022 23:00,3,0,0,2.2,0,1.5,0.2,6.2,87,1032,2,6,2,270,2,11,0,35000,999,2,45.14
11-02-2022 00:00,3,0,0,1.9,0,1.2,0,6.1,87,1032.3,2,4,2,270,2,11,0,35000,999,2,52.98
11-02-2022 01:00,3,0,0,2.4,0,1.5,0,6.1,84,1032.3,2,4,2,250,2,11,0,35000,999,2,38.5
11-02-2022 02:00,3,0,0,1.9,0,1,-0.6,5.8,83,1032,2,4,2,250,2,11,0,35000,999,1,40.52
11-02-2022 03:00,3,0,0,2.1,0,1.1,-0.8,5.8,82,1032.1,2,5,2,230,2,11,0,35000,999,1,41.94
11-02-2022 04:00,3,0,0,2.8,0,1.6,-0.6,5.9,79,1031.8,2,3,2,280,2,11,0,35000,999,2,28.9
11-02-2022 05:00,3,0,0,2.1,0,1,-1.1,5.7,80,1031.6,2,3,2,320,2,11,0,35000,999,3,34.58
11-02-2022 06:00,3,0,0,1.1,0,0.3,-1.1,5.6,85,1031.7,2,3,2,180,2,11,0,40000,45,6,46.58
11-02-2022 07:00,3,0,0,2.3,0,1.4,-0.1,6,84,1031.4,2,4,2,160,2,11,0,35000,40,6,54.23
11-02-2022 08:00,2,0,0,2.3,0,1.6,0.3,6.3,87,1031.2,2,4,2,160,25,82,0,30000,40,7,64.1
11-02-2022 09:00,0,0,0,2.8,0,2,0.8,6.4,86,1031.3,2,4,2,180,1,82,0.2,50000,250,5,67.47
11-02-2022 10:00,0,0,0,4.8,0,3.9,2.5,7.4,86,1030.7,2,5,2,170,2,11,0,30000,250,4,75.42
11-02-2022 11:00,0,0,0,6.9,0,5.5,3.6,7.9,80,1029.7,2,9,2,170,2,11,0.1,30000,140,5,81.82
11-02-2022 12:00,0,0,0,7.6,0,5.7,3,7.6,73,1029,2,14,2,190,3,82,0.3,30000,140,5,61.33
11-02-2022 13:00,0,0,0,7.9,0,5.8,2.9,7.5,71,1027.7,2,17,2,180,2,11,0.9,60000,120,6,48.99
11-02-2022 14:00,0,0,0,7.7,0,5.7,3,7.6,72,1026.8,2,17,2,180,2,11,0.3,60000,120,4,51.01
11-02-2022 15:00,0,0,0,7.7,0,5.6,2.8,7.4,71,1025.6,2,17,2,180,2,11,0.2,60000,120,7,64.85
11-02-2022 16:00,2,0,0,6.6,0,5.4,3.8,8,82,1024.8,2,17,2,190,25,82,0,50000,110,7,54.22
11-02-2022 17:00,0,0,0,7.2,0,5.4,2.8,7.5,74,1023.9,2,16,2,190,2,11,0,30000,110,7,72.19
11-02-2022 18:00,0,0,0,7.1,0,5.6,3.6,7.9,78,1023,2,18,2,190,2,81,0,20000,110,7,52.29
11-02-2022 19:00,2,0,0,7.3,0,6,4.3,8.3,81,1022.6,2,17,2,190,80,82,0,20000,110,7,32.96
11-02-2022 20:00,0,0.1,0,6.7,0,5.8,4.7,8.5,87,1022,2,18,2,190,25,82,0,20000,24,7,28.21
11-02-2022 21:00,2,0,0,7.3,0,6.4,5.2,8.9,87,1020.9,2,19,2,190,80,82,0,20000,30,7,32.11
11-02-2022 22:00,0,0.1,0,7.5,0,6.5,5.2,8.9,86,1020.1,2,19,2,190,80,82,0,10000,20,7,25.13
11-02-2022 23:00,0,0.2,0,7.5,0,6.8,5.9,9.3,90,1019.2,2,19,2,190,60,86,0,7000,15,7,15.6
12-02-2022 00:00,0,0.5,0,7.6,0,6.9,6.1,9.4,90,1018.1,2,18,2,200,60,86,0,8000,14,7,12.21
12-02-2022 01:00,0,0.4,0,7.6,0,7.1,6.6,9.7,93,1017.3,2,20,2,200,61,66,0,4000,7,8,10.58
12-02-2022 02:00,0,0.6,0,7.7,0,7.5,7.3,10.2,97,1015.9,2,20,2,200,61,66,0,2500,5,8,8.38
12-02-2022 03:00,0,0.5,0,7.9,0,7.7,7.4,10.3,97,1014.8,2,20,2,200,61,66,0,3000,5,7,6.06
12-02-2022 04:00,0,0.8,0,8,0,7.8,7.6,10.4,97,1013.7,2,19,2,200,61,66,0,3000,3,7,4.32
12-02-2022 05:00,0,0.8,0,8.4,0,8.2,7.9,10.7,97,1012.5,2,20,2,190,61,66,0,3000,3,7,4.07
