date,ind,rain,ind,temp,ind,wetb,dewpt,vappr,rhum,msl,ind,wdsp,ind,wddir,ww,w,sun,vis,clht,clamt,NO2
01-07-2020 00:00,0,0,0,11.3,0,10.6,10,12.2,91,1003.6,2,10,2,320,2,65,0,25000,26,7,1.89
01-07-2020 01:00,0,0,0,11.2,0,10.3,9.4,11.8,89,1003.5,2,8,2,320,2,11,0,30000,24,7,1.79
01-07-2020 02:00,0,0,0,11.1,0,10.2,9.3,11.7,89,1003.6,2,7,2,300,2,11,0,30000,27,7,1.64
01-07-2020 03:00,0,0,0,11,0,10.1,9.3,11.6,89,1003.7,2,6,2,280,2,11,0,30000,40,7,1.78
01-07-2020 04:00,0,0,0,10.9,0,10,9.1,11.6,89,1003.9,2,7,2,280,2,11,0,35000,90,7,2.06
01-07-2020 05:00,0,0,0,10.6,0,9.9,9.2,11.6,91,1004.1,2,6,2,280,2,11,0.1,45000,90,7,2.75
01-07-2020 06:00,0,0,0,11,0,10.1,9.2,11.6,89,1004.6,2,6,2,280,2,11,0.2,45000,100,6,3.4
01-07-2020 07:00,0,0,0,12.1,0,11.1,10.1,12.4,88,1004.8,2,5,2,250,2,11,0.4,60000,100,6,5.86
01-07-2020 08:00,0,0,0,12.9,0,11.2,9.6,11.9,80,1005,2,7,2,270,2,11,0.7,60000,80,5,3.63
01-07-2020 09:00,0,0,0,14,0,11.9,9.9,12.2,77,1005.1,2,7,2,250,2,11,0.1,60000,16,6,2.64
01-07-2020 10:00,0,0,0,14.9,0,12.6,10.5,12.7,75,1005,2,8,2,240,2,11,0,60000,18,6,2.57
01-07-2020 11:00,0,0,0,15.8,0,13.5,11.6,13.6,76,1005.3,2,8,2,250,2,11,0,30000,18,6,2.56
01-07-2020 12:00,0,0,0,15.7,0,13.5,11.7,13.7,77,1005.4,2,9,2,240,2,11,0.3,60000,18,6,3.22
01-07-2020 13:00,0,0,0,16.1,0,13.4,11.1,13.2,72,1005.5,2,9,2,250,2,11,0.1,50000,20,7,2.85
01-07-2020 14:00,0,0,0,16.6,0,13.3,10.4,12.6,67,1005.4,2,8,2,270,2,11,0.1,50000,20,6,4.06
01-07-2020 15:00,2,0,0,16.3,0,13.9,11.9,14,75,1005.9,2,10,2,280,80,82,0.1,30000,25,6,2.61
01-07-2020 16:00,0,0.3,0,15.1,0,13.5,12.2,14.2,83,1006.4,2,11,2,270,25,82,0.1,30000,25,6,4.51
01-07-2020 17:00,0,0.7,0,15.2,0,13.5,12.1,14.1,82,1006.6,2,10,2,270,25,82,0.2,30000,25,6,7.96
01-07-2020 18:00,0,0,0,15.1,0,12.5,10.1,12.4,72,1006.9,2,13,2,280,2,82,0.4,60000,25,6,3.92
01-07-2020 19:00,0,0,0,14.3,0,12,9.8,12.2,75,1007.4,2,13,2,280,2,11,0.3,40000,43,4,2.58
01-07-2020 20:00,0,0,0,12.7,0,11.3,10,12.3,84,1008.2,2,14,2,300,2,11,0,40000,46,5,3.02
01-07-2020 21:00,0,0,0,12.3,0,11.2,10.1,12.4,87,1008.8,2,10,2,290,2,11,0,30000,16,7,3.54
01-07-2020 22:00,0,0,0,11.8,0,10.6,9.4,11.8,85,1009.6,2,8,2,280,2,11,0,25000,18,7,2.92
01-07-2020 23:00,0,0,0,11.4,0,10.2,9,11.5,85,1010,2,7,2,280,2,11,0,25000,38,7,3.28
02-07-2020 00:00,0,0,0,11.4,0,10.2,9.1,11.5,85,1010,2,7,2,280,2,11,0,25000,60,7,1.72
02-07-2020 01:00,0,0,0,11.5,0,10.3,9.1,11.6,85,1010.2,2,11,2,290,2,11,0,25000,24,7,1.48
02-07-2020 02:00,0,0,0,11.6,0,10.5,9.4,11.8,87,1010.3,2,11,2,300,2,11,0,25000,20,7,1.33
02-07-2020 03:00,2,0,0,11.7,0,10.8,9.9,12.2,89,1010.5,2,10,2,290,50,22,0,15000,10,7,1.36
02-07-2020 04:00,2,0,0,11.9,0,11.1,10.3,12.6,90,1011,2,9,2,280,20,52,0,20000,10,7,1.11
02-07-2020 05:00,0,0,0,11.8,0,10.8,9.9,12.1,88,1011.7,2,8,2,300,2,11,0,20000,10,7,1.46
02-07-2020 06:00,0,0,0,12,0,10.8,9.6,12,86,1012.3,2,9,2,300,2,52,0.1,30000,13,7,3.19
02-07-2020 07:00,0,0,0,12.7,0,11.3,9.9,12.3,84,1012.7,2,9,2,300,2,11,0.2,65000,18,5,3.11
02-07-2020 08:00,0,0,0,13.2,0,11.2,9.3,11.7,77,1013.2,2,10,2,300,2,11,1,65000,999,3,3.61
02-07-2020 09:00,0,0,0,14.7,0,12.1,9.8,12,72,1013.7,2,9,2,300,2,11,0.8,75000,60,4,2.29
02-07-2020 10:00,0,0,0,15.1,0,12,9.1,11.5,67,1014.1,2,8,2,290,2,11,0.4,75000,40,6,2.62
02-07-2020 11:00,0,0,0,16,0,12.4,9.1,11.5,63,1014.4,2,8,2,290,2,11,0.3,75000,43,7,2.64
02-07-2020 12:00,0,0,0,15.5,0,12.5,9.7,12.1,69,1014.9,2,9,2,290,2,11,0.4,75000,22,7,4.32
02-07-2020 13:00,0,0,0,16.7,0,13,9.6,12,63,1015,2,7,2,290,2,11,0.4,75000,50,7,2.69
02-07-2020 14:00,0,0,0,17.3,0,12.7,8.4,11,56,1014.9,2,7,2,270,2,11,0.3,75000,38,7,3
02-07-2020 15:00,0,0,0,16.7,0,12.6,8.7,11.3,59,1015.1,2,10,2,270,2,11,0,75000,50,7,2.87
02-07-2020 16:00,0,0,0,16.1,0,12.2,8.5,11.1,61,1015.3,2,9,2,260,2,11,0,75000,41,7,3.38
02-07-2020 17:00,0,0,0,15.5,0,12.1,8.9,11.4,65,1015.5,2,8,2,280,2,11,0,75000,48,7,4.81
02-07-2020 18:00,0,0,0,15.1,0,12.5,10.1,12.4,72,1015.7,2,6,2,250,2,11,0,70000,44,7,4.8
02-07-2020 19:00,0,0,0,14.4,0,12,9.7,12.1,74,1016.1,2,8,2,240,2,11,0.2,60000,45,7,4.56
02-07-2020 20:00,0,0,0,13.1,0,10.9,8.7,11.3,75,1016,2,10,2,230,2,11,0,50000,110,7,5.09
02-07-2020 21:00,0,0,0,12.1,0,10.5,9,11.4,81,1016.1,2,8,2,230,2,11,0,45000,90,7,5.37
02-07-2020 22:00,0,0,0,11.8,0,10.3,8.7,11.3,82,1016,2,11,2,230,2,11,0,40000,70,7,2.61
02-07-2020 23:00,0,0,0,11.6,0,10,8.4,11,81,1015.9,2,11,2,220,2,11,0,40000,50,8,1.7
03-07-2020 00:00,0,0,0,11.6,0,10.3,9.1,11.5,84,1015.1,2,10,2,210,2,11,0,40000,50,7,1.59
03-07-2020 01:00,0,0,0,11.9,0,10.8,9.7,12.1,87,1014.5,2,13,2,210,2,11,0,35000,50,7,1.22
03-07-2020 02:00,0,0,0,12.4,0,11.4,10.5,12.7,88,1013.8,2,15,2,210,2,11,0,35000,11,7,0.97
03-07-2020 03:00,0,0,0,12.8,0,11.9,11,13.2,89,1013,2,15,2,230,2,11,0,35000,9,7,0.92
03-07-2020 04:00,0,0,0,12.9,0,12,11.2,13.3,89,1012.5,2,15,2,230,2,11,0,30000,10,7,0.78
