,Timestamp,rain,temp,wetb,dewpt,vappr,rhum,msl,wdsp,wddir,ww,w,sun,vis,clht,clamt,date,hour,weekday
48,2022-01-03 00:00:00+00:00,0.1,8.3,6.9,5.2,8.8,81,1007.7,15,230,25,82,0.0,20000,60,5,2022-01-03,0,0
49,2022-01-03 01:00:00+00:00,0.8,8.5,7.6,6.6,9.7,88,1007.1,11,220,80,82,0.0,12000,27,6,2022-01-03,1,0
50,2022-01-03 02:00:00+00:00,0.0,8.7,7.6,6.2,9.6,85,1006.8,15,230,25,82,0.0,20000,22,5,2022-01-03,2,0
51,2022-01-03 03:00:00+00:00,0.0,8.4,7.3,5.9,9.3,85,1006.2,16,230,3,82,0.0,20000,25,6,2022-01-03,3,0
52,2022-01-03 04:00:00+00:00,0.1,8.2,7.1,5.8,9.2,85,1006.0,15,230,25,82,0.0,15000,21,6,2022-01-03,4,0
53,2022-01-03 05:00:00+00:00,0.5,7.8,7.0,6.0,9.4,89,1005.8,13,230,25,82,0.0,15000,22,6,2022-01-03,5,0
54,2022-01-03 06:00:00+00:00,0.0,7.8,6.6,5.1,8.8,83,1005.3,16,220,25,82,0.0,20000,999,3,2022-01-03,6,0
55,2022-01-03 07:00:00+00:00,0.0,7.1,6.1,4.9,8.6,85,1005.3,14,230,25,82,0.0,20000,999,3,2022-01-03,7,0
56,2022-01-03 08:00:00+00:00,0.1,7.2,6.2,5.1,8.7,85,1005.1,13,230,25,82,0.0,25000,999,3,2022-01-03,8,0
57,2022-01-03 09:00:00+00:00,0.0,7.6,6.6,5.3,8.9,86,1005.3,12,230,15,82,0.0,20000,80,4,2022-01-03,9,0
58,2022-01-03 10:00:00+00:00,0.0,7.9,6.8,5.5,9.0,84,1005.0,12,230,2,11,0.4,30000,100,4,2022-01-03,10,0
59,2022-01-03 11:00:00+00:00,0.0,9.0,7.7,6.1,9.5,82,1004.8,15,230,2,11,0.8,25000,120,4,2022-01-03,11,0
60,2022-01-03 12:00:00+00:00,0.0,9.6,8.0,6.1,9.4,79,1004.2,15,230,2,82,0.3,20000,200,4,2022-01-03,12,0
61,2022-01-03 13:00:00+00:00,0.0,9.1,7.4,5.4,8.9,77,1003.5,16,230,25,82,0.4,20000,200,4,2022-01-03,13,0
62,2022-01-03 14:00:00+00:00,0.0,8.9,6.8,4.0,8.2,72,1002.7,16,230,2,11,0.8,20000,220,5,2022-01-03,14,0
63,2022-01-03 15:00:00+00:00,0.0,9.1,6.9,4.2,8.2,71,1002.2,14,230,2,81,0.3,25000,220,5,2022-01-03,15,0
64,2022-01-03 16:00:00+00:00,0.0,8.1,6.8,5.1,8.8,82,1001.9,13,230,2,11,0.0,30000,200,5,2022-01-03,16,0
65,2022-01-03 17:00:00+00:00,0.0,7.4,6.6,5.7,9.1,88,1001.7,11,230,25,82,0.0,35000,29,5,2022-01-03,17,0
66,2022-01-03 18:00:00+00:00,0.0,6.7,6.1,5.3,8.9,91,1001.1,8,220,1,82,0.0,30000,200,4,2022-01-03,18,0
67,2022-01-03 19:00:00+00:00,0.0,7.5,6.4,4.9,8.7,84,1000.4,12,230,80,81,0.0,35000,14,6,2022-01-03,19,0
68,2022-01-03 20:00:00+00:00,0.0,6.0,4.9,3.3,7.8,83,1000.6,16,270,25,82,0.0,20000,16,7,2022-01-03,20,0
69,2022-01-03 21:00:00+00:00,0.0,3.4,2.5,1.1,6.6,85,1001.4,22,290,2,82,0.0,20000,10,7,2022-01-03,21,0
