,Timestamp,counter 1,counter 2
0,2023-01-01 00:00:00+00:00,151,496
1,2023-01-01 01:00:00+00:00,219,503
2,2023-01-01 02:00:00+00:00,180,409
3,2023-01-01 03:00:00+00:00,137,330
4,2023-01-01 04:00:00+00:00,53,143
5,2023-01-01 05:00:00+00:00,20,133
6,2023-01-01 06:00:00+00:00,48,223
7,2023-01-01 07:00:00+00:00,86,246
8,2023-01-01 08:00:00+00:00,79,279
9,2023-01-01 09:00:00+00:00,121,389
10,2023-01-01 10:00:00+00:00,184,638
11,2023-01-01 11:00:00+00:00,310,936
12,2023-01-01 12:00:00+00:00,417,1218
13,2023-01-01 13:00:00+00:00,485,1457
14,2023-01-01 14:00:00+00:00,496,1552
15,2023-01-01 15:00:00+00:00,473,1503
16,2023-01-01 16:00:00+00:00,440,1296
17,2023-01-01 17:00:00+00:00,344,1216
18,2023-01-01 18:00:00+00:00,311,1054
19,2023-01-01 19:00:00+00:00,293,883
20,2023-01-01 20:00:00+00:00,239,707
21,2023-01-01 21:00:00+00:00,166,475
22,2023-01-01 22:00:00+00:00,113,388
23,2023-01-01 23:00:00+00:00,89,283
24,2023-01-02 00:00:00+00:00,57,198
25,2023-01-02 01:00:00+00:00,47,157
26,2023-01-02 02:00:00+00:00,34,97
27,2023-01-02 03:00:00+00:00,16,96
28,2023-01-02 04:00:00+00:00,23,112
29,2023-01-02 05:00:00+00:00,64,145
30,2023-01-02 06:00:00+00:00,214,289
31,2023-01-02 07:00:00+00:00,740,443
32,2023-01-02 08:00:00+00:00,1006,402
33,2023-01-02 09:00:00+00:00,773,705
34,2023-01-02 10:00:00+00:00,609,972
35,2023-01-02 11:00:00+00:00,639,1405
36,2023-01-02 12:00:00+00:00,713,1816
37,2023-01-02 13:00:00+00:00,829,2047
38,2023-01-02 14:00:00+00:00,772,2231
39,2023-01-02 15:00:00+00:00,818,2093
40,2023-01-02 16:00:00+00:00,917,1954
41,2023-01-02 17:00:00+00:00,888,1738
