,2024-04-01,2024-04-02,2024-04-03,2024-04-04,2024-04-05,2024-04-06,2024-04-07,2024-04-08,2024-04-09,2024-04-10,2024-04-11,2024-04-12,2024-04-13,2024-04-14,2024-04-15,2024-04-16,2024-04-17,2024-04-18,2024-04-19,2024-04-20,2024-04-21,2024-04-22,2024-04-23,2024-04-24,2024-04-25,2024-04-26,2024-04-27,2024-04-28,2024-04-29,2024-04-30,Workday,7 Day,Count
00:00:00,134,67,50,54,77,127,145,67,68,50,48,83,136,155,52,47,36,83,80,111,168,50,39,50,68,76,146,167,63,42,63,86,2539
01:00:00,134,28,32,41,41,87,129,24,28,30,46,70,86,103,26,25,29,38,53,73,127,29,35,28,32,48,92,170,32,31,40,60,1747
02:00:00,112,21,27,20,34,59,110,19,19,17,23,44,69,114,14,14,20,28,44,73,94,30,21,13,27,39,79,117,41,21,29,47,1363
03:00:00,71,7,13,20,15,32,82,13,10,11,11,17,55,105,14,10,5,14,19,66,73,11,5,3,21,12,61,72,11,12,15,30,871
04:00:00,45,18,18,22,26,23,14,15,16,13,14,25,26,33,22,17,15,16,23,29,30,16,19,17,24,14,25,33,21,23,20,22,652
05:00:00,27,51,45,43,33,17,27,47,41,53,49,31,17,35,50,51,37,42,40,24,29,44,48,53,52,44,27,21,48,51,45,39,1177
06:00:00,46,139,156,163,131,63,39,169,164,154,163,139,86,60,153,173,157,179,154,68,45,182,175,202,157,164,69,48,150,157,156,128,3905
07:00:00,111,499,532,476,480,132,128,562,650,662,655,573,176,124,590,637,642,633,599,172,116,613,649,646,609,587,199,124,601,650,575,453,13827
08:00:00,103,695,697,685,618,271,195,922,959,924,918,868,316,198,924,979,942,946,846,342,206,892,889,944,900,901,343,195,907,890,834,670,20415
09:00:00,165,540,591,596,539,345,279,648,708,701,671,595,518,276,632,646,726,658,653,532,285,644,756,701,608,621,515,305,627,742,626,556,16823
10:00:00,257,545,517,547,491,382,410,501,551,544,523,548,598,405,536,511,558,587,592,642,436,593,600,567,519,520,627,439,508,511,528,518,15565
11:00:00,355,529,515,558,616,454,520,543,557,563,547,621,697,539,528,550,586,566,594,694,517,597,586,571,550,652,725,590,570,552,559,569,17042
12:00:00,499,583,602,597,656,544,605,513,636,650,593,670,846,603,624,607,651,585,681,769,577,626,606,656,585,669,744,747,656,618,616,634,18998
13:00:00,536,636,641,631,642,565,642,625,669,770,668,729,756,616,642,657,764,704,721,726,635,626,663,801,635,639,747,703,645,671,669,670,20105
14:00:00,593,606,619,611,631,575,645,588,636,653,684,758,727,649,608,640,704,694,703,684,595,651,657,772,659,730,695,613,604,614,655,653,19598
15:00:00,571,683,709,647,658,611,622,790,850,768,866,840,715,595,793,855,792,837,824,633,591,798,909,807,891,923,627,640,801,854,794,747,22500
16:00:00,566,810,822,782,775,621,566,816,864,875,837,832,603,564,847,893,893,883,915,601,563,922,831,840,818,874,643,671,860,877,838,771,23264
17:00:00,509,805,811,739,703,609,597,805,873,787,845,817,593,545,848,844,828,867,744,529,493,758,859,759,778,830,596,564,806,811,792,727,21952
18:00:00,437,541,570,619,557,492,497,558,683,692,760,636,575,467,650,664,717,682,644,537,438,606,603,670,705,725,563,492,565,688,635,599,18033
19:00:00,416,441,496,483,508,443,483,415,571,486,554,510,466,397,477,532,552,613,568,484,490,471,565,580,557,559,500,398,495,493,516,499,15003
20:00:00,313,359,368,374,351,341,346,394,420,462,452,448,388,340,391,429,510,539,472,370,344,429,492,463,462,438,418,374,367,413,425,408,12267
21:00:00,225,237,270,280,272,207,217,262,340,321,322,322,299,214,288,315,368,359,345,268,246,327,362,361,330,364,329,284,291,379,315,299,9004
22:00:00,123,182,210,245,231,238,197,168,225,210,232,223,236,141,166,229,208,276,244,232,150,173,212,252,246,272,235,176,195,205,215,211,6332
23:00:00,83,84,101,130,188,175,89,88,99,121,186,183,203,84,69,84,138,173,193,219,131,83,97,103,122,201,244,130,79,114,124,134,3994
