,2023-08-01,2023-08-02,2023-08-03,2023-08-04,2023-08-05,2023-08-06,2023-08-07,2023-08-08,2023-08-09,2023-08-10,2023-08-11,2023-08-12,2023-08-13,2023-08-14,2023-08-15,2023-08-16,2023-08-17,2023-08-18,2023-08-19,2023-08-20,2023-08-21,2023-08-22,2023-08-23,2023-08-24,2023-08-25,2023-08-26,2023-08-27,2023-08-28,2023-08-29,2023-08-30,2023-08-31,Workday,7 Day,Count
00:00:00,55,63,67,87,110,132,147,36,51,59,80,141,145,72,40,57,63,92,100,164,68,49,59,60,88,166,166,70,57,57,66,67,88,2667
01:00:00,50,29,26,50,69,125,95,32,19,29,47,103,126,44,47,36,31,40,77,133,50,42,29,26,49,151,143,42,27,25,42,39,61,1834
02:00:00,19,20,20,25,78,88,130,19,21,23,30,88,104,32,24,24,21,26,57,118,34,30,26,40,37,126,132,37,27,21,31,31,51,1508
03:00:00,17,17,16,16,40,90,81,15,8,21,18,50,81,18,12,18,17,18,54,86,21,21,9,14,19,91,95,15,15,10,32,19,35,1035
04:00:00,18,17,14,13,34,39,35,11,19,19,16,28,33,26,18,25,19,24,23,42,21,14,17,16,17,40,48,15,15,13,21,18,23,710
05:00:00,37,44,49,46,31,17,18,42,44,46,35,20,25,43,44,45,43,36,32,46,41,49,49,50,45,25,21,38,42,38,44,42,38,1185
06:00:00,171,165,163,161,60,55,42,146,151,148,157,66,44,155,141,154,152,143,72,47,144,153,162,147,166,76,44,147,169,162,182,151,125,3945
07:00:00,518,523,499,442,142,103,108,471,504,497,490,166,107,479,499,535,497,487,162,130,471,516,499,519,500,161,118,554,590,606,568,494,392,12461
08:00:00,651,625,594,540,229,149,127,637,676,612,545,252,137,591,652,643,612,589,227,163,650,704,695,697,611,264,160,689,772,760,813,630,506,16066
09:00:00,549,583,507,546,355,239,195,553,543,565,529,407,216,487,546,573,577,556,410,236,507,568,587,560,596,427,226,483,608,592,663,542,477,14989
10:00:00,514,523,495,512,456,298,268,507,518,479,526,490,333,493,501,485,517,494,504,366,502,512,487,509,543,510,333,489,504,493,540,496,472,14701
11:00:00,531,565,506,551,536,430,392,489,481,498,533,525,420,465,458,490,502,537,605,462,548,515,556,523,617,567,489,548,505,527,593,519,515,15964
12:00:00,538,558,553,582,575,459,449,561,553,583,607,587,497,552,571,571,601,603,647,507,567,599,591,648,671,666,531,602,572,563,628,579,573,17792
13:00:00,581,609,573,648,611,557,494,579,571,516,586,624,568,534,559,577,617,648,646,571,629,619,681,556,664,625,590,616,625,632,635,598,598,18541
14:00:00,607,604,596,611,564,471,513,565,558,581,610,577,517,554,554,570,575,630,661,554,609,604,628,575,683,627,621,610,585,642,620,595,589,18276
15:00:00,611,641,652,662,542,531,538,660,627,606,674,561,540,587,594,688,655,676,610,527,638,649,691,660,698,619,550,588,655,673,674,643,620,19277
16:00:00,748,717,685,717,565,475,484,739,707,750,792,514,481,718,770,763,760,782,606,560,738,738,793,783,770,554,571,770,765,833,813,745,687,21461
17:00:00,762,766,750,629,449,412,469,767,705,763,732,533,471,728,817,750,733,672,554,510,760,775,805,765,690,562,574,793,782,833,831,742,676,21142
18:00:00,524,547,582,555,425,410,397,522,562,624,550,516,452,482,658,616,626,553,421,474,559,578,613,647,589,521,478,530,626,641,631,574,542,16909
19:00:00,443,476,511,458,429,404,371,495,495,451,515,447,332,455,504,525,495,438,422,410,474,499,530,545,537,531,385,532,511,532,507,491,471,14659
20:00:00,351,390,417,363,315,294,290,368,414,438,368,424,296,364,437,484,372,310,388,276,420,441,405,458,456,389,330,402,444,462,502,407,387,12068
21:00:00,280,281,306,256,244,245,166,258,314,297,305,277,223,254,308,299,292,226,269,242,287,294,315,301,322,283,231,306,288,273,329,285,276,8571
22:00:00,170,201,188,181,219,189,119,167,212,192,222,231,158,168,225,240,227,138,228,137,137,196,216,207,257,232,135,146,162,207,197,190,190,5904
23:00:00,118,145,138,122,129,152,80,87,106,135,128,192,105,79,103,120,133,151,180,105,85,112,111,137,211,211,100,105,115,129,125,121,128,3949
