,2023-12-01,2023-12-02,2023-12-03,2023-12-04,2023-12-05,2023-12-06,2023-12-07,2023-12-08,2023-12-09,2023-12-10,2023-12-11,2023-12-12,2023-12-13,2023-12-14,2023-12-15,2023-12-16,2023-12-17,2023-12-18,2023-12-19,2023-12-20,2023-12-21,2023-12-22,2023-12-23,2023-12-24,2023-12-25,2023-12-26,2023-12-27,2023-12-28,2023-12-29,2023-12-30,2023-12-31,Workday,7 Day,Count
00:00:00,172,217,217,69,35,53,61,138,251,238,73,47,55,79,160,244,246,70,74,84,136,231,269,204,32,42,119,97,155,148,133,94,129,4149
01:00:00,115,162,157,36,18,22,43,95,167,194,31,34,46,55,84,208,221,51,48,54,80,146,235,170,42,32,88,56,86,142,92,60,93,3010
02:00:00,83,149,114,16,12,15,21,75,143,160,36,21,33,35,82,183,200,34,42,40,71,123,182,142,8,25,73,75,89,105,94,48,76,2481
03:00:00,35,108,86,14,13,13,12,33,93,119,23,11,15,15,34,138,144,33,15,27,32,82,128,104,12,6,74,50,50,71,70,29,51,1660
04:00:00,30,43,32,12,14,19,18,28,47,48,13,17,22,20,17,68,68,24,27,17,26,30,62,56,13,6,23,23,28,28,16,20,28,895
05:00:00,34,30,31,55,47,50,58,38,27,34,50,54,56,63,48,43,37,46,50,41,60,49,23,30,13,9,28,26,31,31,24,43,40,1216
06:00:00,160,84,42,161,146,162,159,168,87,53,152,153,169,153,185,73,39,170,174,157,166,127,73,50,29,21,52,66,90,72,36,134,113,3429
07:00:00,564,155,120,577,588,649,630,593,159,115,610,629,641,619,563,180,113,579,617,613,553,436,186,144,66,79,143,186,170,101,96,481,383,11474
08:00:00,858,299,151,884,893,864,784,783,342,157,922,903,894,876,863,345,158,904,873,850,783,690,362,235,86,81,165,227,256,181,112,688,558,16781
09:00:00,586,442,270,594,657,651,651,591,551,248,585,681,670,647,613,565,287,625,667,684,698,607,484,320,134,141,201,255,291,230,181,535,484,14807
10:00:00,577,558,400,500,521,518,474,527,624,420,548,532,557,541,567,602,395,547,572,626,558,660,590,401,184,218,300,371,394,353,234,490,481,14869
11:00:00,638,672,565,537,515,529,541,616,803,553,577,596,612,588,639,713,553,567,602,670,696,738,667,511,299,305,454,508,505,509,366,559,568,17644
12:00:00,691,750,670,554,572,667,662,691,872,666,613,646,688,724,702,736,750,641,735,741,793,796,753,591,351,411,504,632,677,588,454,642,654,20321
13:00:00,692,722,671,687,658,776,714,716,829,687,633,690,765,626,738,724,649,715,704,844,776,858,741,561,320,443,605,617,708,709,462,680,679,21040
14:00:00,804,661,657,580,628,646,646,697,767,636,651,657,670,685,745,694,629,697,718,740,812,826,698,555,267,439,586,653,649,654,473,657,653,20220
15:00:00,867,700,637,798,808,721,814,845,764,552,793,843,799,827,894,628,648,842,846,876,857,795,688,520,212,439,613,638,669,644,484,752,716,22061
16:00:00,860,659,678,898,813,741,782,854,718,610,789,876,811,768,821,630,686,886,807,819,848,791,635,552,208,386,575,632,685,558,463,745,709,21839
17:00:00,790,629,577,722,763,719,765,766,705,559,723,828,834,804,788,689,571,747,795,782,777,637,534,413,197,275,504,577,593,543,407,685,650,20013
18:00:00,707,677,471,598,679,592,636,734,602,451,588,641,648,706,790,630,478,579,653,620,624,656,528,332,201,290,446,468,485,451,373,588,562,17334
19:00:00,656,641,419,484,501,522,578,673,564,407,484,485,582,543,701,614,449,447,570,559,624,571,495,262,200,307,373,396,451,378,333,510,495,15269
20:00:00,422,382,329,376,396,348,491,497,393,272,340,391,436,446,516,385,340,350,376,447,478,442,386,193,196,210,265,326,312,276,285,384,367,11302
21:00:00,311,335,217,280,298,247,403,362,246,224,243,281,335,380,429,304,245,299,301,340,378,328,259,146,123,137,210,239,238,225,216,293,279,8579
22:00:00,308,243,153,206,214,235,274,365,290,173,179,220,212,289,316,304,171,164,266,260,285,305,233,109,86,152,173,196,211,191,162,234,225,6945
23:00:00,282,237,101,102,110,106,182,298,295,97,105,121,124,185,303,253,118,109,145,173,265,272,237,72,72,101,144,183,180,135,104,170,168,5211
