,2023-02-01,2023-02-02,2023-02-03,2023-02-04,2023-02-05,2023-02-06,2023-02-07,2023-02-08,2023-02-09,2023-02-10,2023-02-11,2023-02-12,2023-02-13,2023-02-14,2023-02-15,2023-02-16,2023-02-17,2023-02-18,2023-02-19,2023-02-20,2023-02-21,2023-02-22,2023-02-23,2023-02-24,2023-02-25,2023-02-26,2023-02-27,2023-02-28,Workday,7 Day,Count
00:00:00,55,48,79,130,149,124,28,41,50,74,157,167,71,65,69,83,150,116,155,50,37,46,53,69,110,185,49,41,64,88,2451
01:00:00,41,34,77,100,139,122,22,33,23,43,119,112,67,73,61,62,123,99,125,35,29,31,36,40,91,134,26,20,50,68,1917
02:00:00,32,30,62,97,141,99,17,27,31,41,87,127,64,57,64,36,93,91,137,32,27,17,28,43,94,113,23,34,43,62,1744
03:00:00,13,11,34,61,102,76,11,13,11,22,57,95,32,24,28,9,65,45,76,21,13,17,17,29,47,76,18,17,24,37,1040
04:00:00,17,16,24,29,34,40,21,18,14,15,25,27,17,21,15,18,35,29,30,19,10,18,10,22,25,36,19,14,19,22,618
05:00:00,50,35,45,26,21,21,37,35,38,36,22,32,40,47,53,38,40,20,24,43,34,41,43,34,23,32,44,44,40,36,998
06:00:00,180,173,166,87,52,58,157,173,163,163,74,57,157,169,158,160,150,85,48,150,155,182,165,190,83,55,172,169,160,134,3751
07:00:00,631,598,549,145,117,107,611,604,575,634,168,108,530,566,603,542,533,140,97,615,597,629,630,595,173,138,625,610,569,445,12470
08:00:00,904,942,849,300,157,114,897,909,919,834,284,170,768,811,804,712,615,287,169,766,964,881,887,862,348,181,918,879,812,648,18131
09:00:00,690,643,635,448,228,183,717,759,739,626,492,280,609,615,624,576,585,457,252,635,714,751,688,612,519,298,655,669,636,561,15699
10:00:00,513,538,508,566,347,307,538,603,551,583,555,348,542,560,533,547,504,531,388,520,505,520,542,615,589,389,509,518,528,510,14269
11:00:00,553,564,593,706,457,398,581,599,551,618,650,513,509,596,558,570,618,656,498,541,503,540,561,596,709,498,492,550,555,564,15778
12:00:00,655,645,672,719,617,548,660,648,640,646,671,586,665,626,615,632,709,705,564,602,657,536,664,744,735,574,597,583,637,640,17915
13:00:00,750,664,700,736,589,550,610,724,676,714,729,619,630,658,677,713,721,647,641,589,669,698,669,739,782,654,637,699,674,674,18884
14:00:00,680,700,690,598,575,635,668,634,664,697,657,599,598,704,650,650,791,655,624,604,622,651,645,671,694,610,626,601,659,650,18193
15:00:00,729,763,805,532,598,588,847,744,823,838,472,545,684,788,756,749,790,685,599,719,771,734,765,826,605,615,799,774,765,712,19943
16:00:00,836,932,837,533,544,575,846,829,853,795,516,594,797,858,824,846,753,692,529,871,826,837,897,823,597,544,821,715,819,747,20920
17:00:00,817,846,702,534,550,520,848,860,889,726,497,564,808,822,762,814,666,599,522,743,792,799,781,713,575,523,780,665,768,704,19717
18:00:00,663,867,583,516,457,452,602,641,650,668,465,426,585,632,609,671,541,556,529,566,592,642,658,593,513,429,569,566,618,580,16241
19:00:00,537,563,470,456,434,420,493,563,515,570,442,441,475,566,467,583,532,483,418,468,481,493,574,493,529,445,485,519,513,497,13915
20:00:00,384,457,396,279,277,296,375,416,429,389,321,296,397,437,366,418,383,378,288,351,361,399,423,430,353,280,361,349,391,367,10289
21:00:00,287,329,242,234,235,181,239,289,321,241,263,222,266,288,253,322,298,278,202,260,275,279,258,271,228,191,262,309,274,262,7323
22:00:00,182,166,189,280,199,147,223,228,157,238,197,129,154,224,196,240,240,245,156,154,197,184,231,198,230,189,169,142,193,196,5484
23:00:00,90,132,207,187,124,64,97,111,128,195,217,109,93,140,124,183,174,223,72,51,84,97,120,164,191,86,72,76,120,129,3611
