,2024-02-01,2024-02-02,2024-02-03,2024-02-04,2024-02-05,2024-02-06,2024-02-07,2024-02-08,2024-02-09,2024-02-10,2024-02-11,2024-02-12,2024-02-13,2024-02-14,2024-02-15,2024-02-16,2024-02-17,2024-02-18,2024-02-19,2024-02-20,2024-02-21,2024-02-22,2024-02-23,2024-02-24,2024-02-25,2024-02-26,2024-02-27,2024-02-28,2024-02-29,Workday,7 Day,Count
00:00:00,66,88,120,185,120,41,44,51,88,117,155,55,72,53,80,136,124,154,58,28,45,54,81,120,151,36,39,42,62,64,86,2465
01:00:00,39,54,76,164,125,9,30,27,53,103,130,49,70,55,69,112,91,134,34,30,23,25,39,116,128,22,30,27,37,46,66,1901
02:00:00,19,59,96,140,100,5,15,16,50,93,119,25,48,35,51,95,54,111,14,17,18,23,48,99,118,14,18,28,18,34,54,1546
03:00:00,23,20,48,96,63,13,8,13,19,60,102,10,17,18,15,53,48,72,12,8,9,12,25,51,70,10,9,12,13,18,33,929
04:00:00,25,21,23,44,29,13,28,16,22,23,20,17,18,17,19,36,29,27,21,19,20,19,29,29,27,24,18,16,18,21,23,667
05:00:00,46,38,23,24,31,50,46,48,48,18,29,45,41,55,52,47,22,32,39,44,58,47,37,28,26,48,53,43,48,46,40,1166
06:00:00,170,164,76,49,46,183,180,190,179,79,56,145,184,183,179,160,64,50,161,166,166,179,164,74,46,160,187,174,160,166,136,3974
07:00:00,605,553,151,88,105,607,610,610,611,151,103,532,561,586,534,504,128,102,607,588,609,647,610,181,92,626,654,605,637,571,444,12997
08:00:00,905,859,299,165,128,955,943,918,887,293,153,764,828,809,697,613,250,155,937,919,963,910,850,298,143,933,937,975,925,841,663,19411
09:00:00,696,623,449,259,182,726,678,677,595,520,288,631,639,647,622,526,402,243,635,719,690,658,638,512,249,614,725,705,621,631,555,16169
10:00:00,566,575,550,391,306,542,528,507,568,587,387,538,542,536,527,543,527,368,559,512,560,548,572,596,349,507,529,544,534,531,513,14898
11:00:00,518,634,685,506,425,554,641,507,604,639,543,536,578,621,558,692,596,539,528,555,566,505,612,676,499,526,573,596,554,566,571,16566
12:00:00,637,705,735,597,578,637,676,584,674,698,589,597,629,629,656,711,688,595,596,592,619,575,626,847,575,552,632,617,619,626,637,18465
13:00:00,700,760,767,620,628,689,767,675,775,752,678,684,694,705,708,789,655,665,633,645,797,674,681,790,592,622,672,743,682,701,698,20242
14:00:00,732,722,750,569,595,651,659,671,737,672,653,640,676,672,700,714,679,710,635,610,691,663,732,655,588,627,579,619,700,668,665,19301
15:00:00,859,844,768,611,591,877,809,819,801,645,543,672,797,734,712,679,643,707,793,842,779,827,815,562,490,788,892,741,808,785,738,21448
16:00:00,847,881,598,530,577,886,828,825,828,561,511,814,822,874,833,786,616,613,880,885,840,849,822,627,491,891,876,846,836,835,759,22073
17:00:00,839,754,533,518,457,826,830,854,759,581,547,801,769,861,796,697,598,583,782,783,807,828,736,567,500,803,777,817,784,779,715,20787
18:00:00,741,593,445,443,405,633,678,759,664,535,425,576,656,665,635,605,479,426,620,688,675,714,633,495,524,619,629,632,726,645,595,17318
19:00:00,536,564,515,487,395,471,534,512,562,477,385,511,522,572,553,505,472,415,459,589,544,553,549,470,419,486,529,514,562,525,505,14662
20:00:00,459,346,439,298,248,424,427,444,376,361,287,412,401,430,483,343,360,297,374,433,423,428,396,318,307,410,419,404,429,405,385,11176
21:00:00,378,206,271,222,189,282,338,316,321,242,195,336,318,310,381,242,234,167,266,345,351,324,361,247,202,300,333,314,322,311,286,8313
22:00:00,242,228,282,191,126,152,164,215,260,296,155,181,209,238,215,242,229,137,153,223,212,252,259,238,158,158,181,190,274,208,209,6060
23:00:00,149,196,257,162,60,92,103,152,201,208,102,101,95,132,156,181,179,86,79,99,137,133,197,244,94,81,109,106,139,128,139,4030
