,2024-01-01,2024-01-02,2024-01-03,2024-01-04,2024-01-05,2024-01-06,2024-01-07,2024-01-08,2024-01-09,2024-01-10,2024-01-11,2024-01-12,2024-01-13,2024-01-14,2024-01-15,2024-01-16,2024-01-17,2024-01-18,2024-01-19,2024-01-20,2024-01-21,2024-01-22,2024-01-23,2024-01-24,2024-01-25,2024-01-26,2024-01-27,2024-01-28,2024-01-29,2024-01-30,2024-01-31,Workday,7 Day,Count
00:00:00,159,44,46,38,43,96,129,31,34,44,53,76,100,113,43,40,64,61,103,120,149,42,49,49,41,105,143,169,50,37,41,56,77,2312
01:00:00,201,22,31,32,30,82,105,24,23,19,25,28,74,100,24,36,29,32,80,67,111,22,29,21,23,46,98,99,32,24,23,37,53,1592
02:00:00,159,14,17,29,24,70,86,19,9,16,18,18,56,76,31,22,30,27,75,63,77,18,22,19,17,62,91,104,20,16,14,30,44,1319
03:00:00,111,9,12,18,13,43,62,12,13,11,12,21,33,65,18,12,16,14,49,30,63,10,16,12,14,30,41,70,17,8,15,20,29,870
04:00:00,53,15,25,14,19,21,33,19,12,17,18,19,17,25,21,17,21,16,30,21,29,13,21,23,18,17,32,42,17,16,16,20,22,677
05:00:00,36,31,47,35,40,18,22,47,47,61,40,35,20,27,42,48,60,51,41,21,18,46,42,60,46,43,24,35,50,49,50,46,39,1232
06:00:00,53,136,140,131,114,64,42,161,149,166,190,173,68,37,162,152,161,155,159,48,40,161,181,191,180,172,67,49,178,181,167,157,127,4028
07:00:00,85,396,442,437,434,147,100,625,623,605,574,558,139,111,592,582,591,540,535,154,115,572,629,602,617,558,177,93,595,607,624,540,423,13459
08:00:00,76,496,596,565,537,312,148,867,906,886,861,780,254,154,963,945,990,896,842,275,127,948,937,955,906,862,308,165,961,966,965,813,643,20449
09:00:00,124,364,425,466,460,357,190,626,609,604,581,550,468,230,681,709,660,709,613,463,202,699,733,688,749,611,462,237,666,735,719,599,521,16390
10:00:00,158,367,470,427,475,443,301,488,471,472,435,531,501,381,498,502,525,504,510,568,313,506,500,555,533,482,567,395,526,547,566,480,467,14517
11:00:00,298,503,496,527,483,598,414,423,481,476,461,533,606,511,545,566,528,521,610,576,417,517,540,581,524,551,641,485,536,597,615,518,522,16160
12:00:00,406,597,570,571,562,701,536,511,523,586,537,597,774,613,566,622,601,618,674,711,491,571,613,622,562,644,764,604,594,601,707,585,603,18649
13:00:00,399,600,571,608,665,748,595,554,585,740,622,677,687,644,608,666,749,658,734,666,519,623,675,781,607,704,721,620,713,635,771,650,650,20145
14:00:00,435,618,653,618,642,688,633,574,547,627,598,705,628,680,608,653,697,688,735,636,475,609,603,693,627,705,697,576,663,646,666,635,633,19623
15:00:00,400,712,718,708,683,692,623,775,807,700,776,765,665,661,796,834,786,840,843,588,458,772,836,741,830,823,690,552,836,818,786,765,722,22514
16:00:00,361,765,926,860,793,679,640,852,781,877,822,814,656,593,901,895,859,901,895,605,421,924,916,857,819,780,676,572,909,892,908,839,773,24149
17:00:00,343,737,835,740,732,628,521,799,760,855,786,725,554,528,875,902,868,827,727,534,351,878,865,872,802,774,607,540,860,885,826,794,720,22536
18:00:00,307,434,490,577,565,500,382,522,530,625,592,573,492,469,667,676,650,626,627,450,276,613,638,734,694,621,556,441,613,681,728,599,555,17349
19:00:00,275,398,420,498,512,465,379,425,434,455,450,474,405,371,490,517,444,501,523,417,200,513,493,552,554,592,441,394,469,539,524,481,453,14124
20:00:00,213,265,315,362,357,324,254,304,346,349,404,363,333,314,337,380,406,435,375,294,180,383,406,392,455,408,373,272,370,394,428,367,346,10791
21:00:00,154,217,213,247,279,243,158,197,238,296,286,267,256,199,243,272,276,300,276,206,113,243,238,318,310,285,246,186,217,272,283,258,241,7534
22:00:00,81,148,172,168,205,274,119,107,142,157,169,186,183,108,185,158,174,188,247,214,85,170,170,212,198,243,188,144,164,176,202,175,172,5337
23:00:00,58,91,125,94,121,176,52,74,109,73,87,125,173,83,65,70,106,100,188,180,49,75,74,107,120,182,232,91,63,91,101,100,108,3335
