,2023-07-01,2023-07-02,2023-07-03,2023-07-04,2023-07-05,2023-07-06,2023-07-07,2023-07-08,2023-07-09,2023-07-10,2023-07-11,2023-07-12,2023-07-13,2023-07-14,2023-07-15,2023-07-16,2023-07-17,2023-07-18,2023-07-19,2023-07-20,2023-07-21,2023-07-22,2023-07-23,2023-07-24,2023-07-25,2023-07-26,2023-07-27,2023-07-28,2023-07-29,2023-07-30,2023-07-31,Workday,7 Day,Count
00:00:00,119,135,64,57,46,50,66,123,156,35,47,60,56,76,124,143,53,47,49,54,81,133,136,57,32,62,66,79,155,152,76,58,81,2589
01:00:00,99,109,38,28,30,22,31,100,130,37,28,34,34,45,124,116,50,29,33,32,48,103,114,39,22,31,28,52,111,131,56,36,58,1884
02:00:00,90,117,43,27,25,15,40,82,112,42,21,16,21,38,100,129,42,20,27,20,34,83,134,30,18,20,24,42,124,123,31,28,52,1690
03:00:00,46,78,32,16,10,15,9,55,75,15,7,14,20,18,57,57,19,19,12,13,14,47,67,18,9,16,16,13,80,94,21,16,30,982
04:00:00,33,30,24,10,17,13,15,22,40,19,14,9,18,17,28,32,20,17,14,22,20,28,37,16,17,14,24,21,35,47,24,17,22,697
05:00:00,29,29,43,51,43,36,41,19,29,34,42,51,48,33,53,41,41,39,56,36,40,26,16,42,42,59,48,38,29,36,54,44,40,1224
06:00:00,84,67,151,175,184,167,165,86,45,164,143,173,143,158,99,63,147,155,149,166,146,60,55,154,158,160,155,157,67,60,146,158,132,4002
07:00:00,163,108,477,557,558,540,500,156,127,517,550,503,525,475,170,139,487,519,545,491,468,139,129,502,532,517,520,485,157,109,470,511,405,12135
08:00:00,256,133,641,719,728,675,598,270,165,594,680,660,644,595,236,155,610,665,663,629,584,225,155,586,672,686,668,583,268,152,563,640,515,15458
09:00:00,373,224,539,550,591,589,527,380,218,514,549,577,541,532,371,243,552,545,625,614,586,367,234,515,548,550,588,564,394,212,496,557,484,14708
10:00:00,491,340,472,470,506,502,544,435,328,509,511,502,517,503,472,350,509,499,561,543,542,462,319,457,491,540,531,539,465,302,467,510,478,14679
11:00:00,527,433,500,493,514,529,561,580,386,517,466,519,483,546,559,440,534,495,522,473,579,521,461,480,549,533,528,530,556,434,491,516,509,15739
12:00:00,597,518,507,557,545,566,642,641,486,596,587,507,572,656,618,499,588,541,590,520,636,653,574,536,575,593,635,606,634,474,520,575,573,17769
13:00:00,660,521,538,563,633,539,641,565,559,554,594,627,561,699,656,595,594,521,587,535,685,649,588,564,649,598,634,635,633,493,583,597,595,18453
14:00:00,542,484,572,600,575,604,653,587,550,574,540,573,627,647,597,557,580,620,551,554,618,589,547,558,598,525,602,607,628,501,572,588,580,17932
15:00:00,529,483,631,632,638,611,669,556,507,624,582,654,606,696,587,508,626,611,661,622,695,484,533,606,631,613,640,672,586,445,628,636,603,18566
16:00:00,542,473,786,752,747,743,720,566,480,782,716,725,759,724,541,475,731,731,808,796,790,487,424,715,749,727,784,715,549,387,714,748,675,20638
17:00:00,503,448,728,773,751,695,683,525,464,735,796,776,747,673,473,475,735,760,805,757,633,450,481,713,780,778,791,685,533,431,718,739,664,20295
18:00:00,475,433,498,597,571,529,564,451,451,498,597,552,554,540,461,416,482,651,545,582,551,479,460,552,621,543,582,559,486,386,510,556,526,16176
19:00:00,450,372,403,497,483,473,530,429,388,414,513,514,496,482,430,368,450,460,522,466,478,441,353,364,504,472,452,451,458,320,430,469,450,13863
20:00:00,362,262,355,412,416,375,377,323,289,373,414,422,430,439,316,316,319,410,409,388,412,336,301,405,412,416,448,407,388,304,369,400,377,11605
21:00:00,229,227,260,305,286,240,285,257,194,239,305,329,288,312,255,226,267,309,306,303,270,255,199,265,306,288,319,303,252,216,278,289,272,8373
22:00:00,229,185,135,194,191,182,228,202,163,168,189,211,210,205,206,156,164,212,189,204,205,225,140,156,193,202,187,229,227,148,242,195,193,5977
23:00:00,182,115,75,91,101,112,158,181,104,95,97,152,140,168,171,93,85,96,111,132,205,191,111,106,112,125,140,197,219,101,139,126,132,4105
