,2024-06-01,2024-06-02,2024-06-03,2024-06-04,2024-06-05,2024-06-06,2024-06-07,2024-06-08,2024-06-09,2024-06-10,2024-06-11,2024-06-12,2024-06-13,2024-06-14,2024-06-15,2024-06-16,2024-06-17,2024-06-18,2024-06-19,2024-06-20,2024-06-21,2024-06-22,2024-06-23,2024-06-24,2024-06-25,2024-06-26,2024-06-27,2024-06-28,2024-06-29,2024-06-30,Workday,7 Day,Count
00:00:00,148,157,168,56,38,52,114,120,184,67,53,58,86,105,147,159,67,31,65,63,99,154,155,73,49,88,64,89,118,173,74,96,3000
01:00:00,98,129,136,22,31,27,52,101,166,44,21,35,35,44,144,123,37,24,42,41,41,131,124,44,19,58,38,66,132,142,43,67,2147
02:00:00,71,116,121,24,18,11,37,86,133,36,20,17,31,35,95,101,25,17,16,22,50,114,118,31,15,38,27,52,95,168,32,54,1740
03:00:00,51,80,86,14,11,12,21,47,86,14,9,12,13,14,63,82,24,12,12,23,22,78,87,24,14,25,13,14,63,111,19,35,1137
04:00:00,21,23,38,15,15,18,21,22,31,18,15,17,13,21,29,36,22,18,16,12,14,31,42,21,22,15,21,21,21,47,19,22,676
05:00:00,17,13,24,52,45,53,49,37,24,45,56,54,61,57,36,29,47,60,53,52,55,22,17,39,54,48,35,56,26,27,50,43,1243
06:00:00,75,44,61,167,206,171,175,77,63,168,175,167,161,174,61,42,168,165,180,167,154,63,65,175,165,161,192,149,77,63,165,136,3931
07:00:00,177,125,113,563,605,567,498,178,102,559,564,574,524,519,156,130,531,559,589,549,463,159,131,509,566,566,551,513,156,130,524,416,11926
08:00:00,289,100,134,669,771,780,707,261,173,786,846,790,756,696,292,140,711,766,775,748,660,285,172,667,758,727,676,624,261,164,702,563,16184
09:00:00,439,103,219,604,648,626,624,441,265,640,657,624,620,634,435,283,575,598,596,552,601,384,273,543,608,634,554,591,360,263,587,512,14994
10:00:00,558,151,338,553,498,528,541,520,418,487,536,506,535,571,522,374,468,518,522,529,534,459,340,474,528,511,520,557,493,364,513,486,14453
11:00:00,676,219,477,527,554,521,601,648,540,501,486,554,513,527,584,513,491,511,519,537,539,548,471,450,531,557,484,629,629,507,525,528,15844
12:00:00,699,59,500,605,572,633,631,674,596,511,620,616,589,641,686,607,566,573,525,594,618,578,558,524,585,568,568,662,667,587,585,581,17412
13:00:00,606,69,586,606,643,628,655,719,656,611,634,646,705,641,643,646,592,629,606,638,616,609,556,582,618,609,589,655,647,661,624,612,18301
14:00:00,620,153,532,644,600,658,639,658,645,600,610,634,694,709,631,661,607,619,655,600,624,536,514,577,625,613,613,662,630,670,626,610,18233
15:00:00,568,366,546,729,715,728,745,653,623,680,653,724,697,719,550,636,602,666,707,668,667,519,516,644,644,649,692,718,649,665,680,650,19338
16:00:00,527,415,516,761,786,825,772,613,625,803,753,767,777,826,599,566,761,785,790,756,765,547,466,774,748,767,790,789,629,633,766,707,20931
17:00:00,529,445,448,796,765,784,721,621,572,758,812,739,759,709,538,586,759,806,810,784,729,496,439,693,759,763,741,709,586,580,742,684,20236
18:00:00,470,410,431,550,588,633,590,480,476,554,567,629,595,613,465,486,469,616,570,617,548,495,427,533,594,579,570,612,457,421,573,540,16045
19:00:00,401,437,436,497,520,573,510,555,409,458,505,508,541,557,427,413,479,489,516,536,514,472,398,419,530,462,514,513,419,433,504,485,14441
20:00:00,350,337,336,424,387,418,435,385,273,387,356,374,442,388,299,298,343,384,408,389,368,313,341,359,364,393,407,419,333,311,389,370,11021
21:00:00,243,256,221,267,310,322,322,269,203,264,314,316,321,286,271,217,219,248,308,270,298,262,214,240,294,319,320,329,228,235,289,275,8186
22:00:00,235,215,138,158,176,215,276,236,154,148,192,186,224,230,279,199,156,222,238,307,246,233,189,174,259,216,266,299,221,149,216,215,6436
23:00:00,183,207,75,81,103,158,204,244,120,78,109,133,184,223,250,118,76,135,106,195,240,197,119,97,189,100,162,242,225,117,144,154,4670
