,2023-03-01,2023-03-02,2023-03-03,2023-03-04,2023-03-05,2023-03-06,2023-03-07,2023-03-08,2023-03-09,2023-03-10,2023-03-11,2023-03-12,2023-03-13,2023-03-14,2023-03-15,2023-03-16,2023-03-17,2023-03-18,2023-03-19,2023-03-20,2023-03-21,2023-03-22,2023-03-23,2023-03-24,2023-03-25,2023-03-26,2023-03-27,2023-03-28,2023-03-29,2023-03-30,2023-03-31,Workday,7 Day,Count
00:00:00,35,55,76,146,158,50,40,37,43,62,127,159,58,53,44,71,114,183,167,53,44,60,51,102,157,145,62,54,56,71,98,60,87,2631
01:00:00,39,38,52,112,128,32,25,35,33,66,89,142,36,34,36,49,113,146,120,32,28,31,29,59,78,33,26,43,28,40,72,42,61,1824
02:00:00,19,22,55,95,96,29,18,24,29,54,96,107,31,21,28,45,107,122,103,18,20,27,22,66,85,133,29,32,30,24,54,35,55,1641
03:00:00,10,13,15,54,92,23,8,15,8,16,54,78,19,7,13,21,44,72,59,13,13,11,11,37,39,108,27,19,13,18,20,17,32,950
04:00:00,13,11,21,27,30,18,13,12,15,15,27,27,16,20,18,22,27,39,22,16,15,21,12,23,21,73,17,12,22,17,14,17,22,656
05:00:00,49,35,35,31,30,42,47,45,45,43,24,25,44,43,45,37,23,25,13,38,47,44,44,46,31,31,36,45,37,46,47,42,37,1173
06:00:00,198,166,168,79,68,174,166,161,173,168,85,62,157,172,152,156,53,71,61,166,192,176,169,170,80,54,169,157,174,183,159,164,137,4339
07:00:00,616,606,590,157,119,600,615,628,614,589,159,121,620,627,623,629,130,130,99,596,644,648,650,611,181,112,529,606,633,612,562,590,460,14656
08:00:00,910,920,870,310,159,911,940,924,921,795,310,189,920,963,933,858,148,238,151,858,940,924,922,834,367,147,937,884,860,866,881,866,685,21790
09:00:00,663,729,637,498,281,646,669,642,649,641,460,251,630,669,662,621,273,415,222,505,662,721,672,612,517,219,618,695,707,638,621,634,555,17445
10:00:00,551,533,556,601,406,529,507,512,515,519,594,375,524,591,557,598,377,497,357,564,514,580,547,569,588,344,565,585,522,548,507,538,519,16132
11:00:00,567,525,599,712,496,517,517,491,537,596,619,490,503,578,534,628,489,585,474,560,552,606,579,614,716,491,529,554,543,532,625,555,560,17358
12:00:00,634,633,740,762,587,607,579,686,577,627,665,554,566,650,604,662,576,669,552,633,605,591,590,622,689,610,614,653,640,595,740,627,630,19512
13:00:00,728,682,761,719,628,609,636,687,624,686,660,603,620,655,707,732,387,676,623,671,643,759,600,728,765,624,656,638,763,656,722,667,666,20648
14:00:00,623,664,667,668,635,632,653,642,612,688,678,566,597,633,632,651,382,652,573,644,595,617,656,750,659,602,637,660,693,724,703,642,638,19788
15:00:00,702,743,800,589,614,733,837,681,799,797,638,393,774,755,726,853,453,707,563,734,817,727,827,896,691,694,803,711,772,829,816,765,721,22474
16:00:00,698,733,815,650,597,772,832,800,862,734,591,443,826,817,832,885,442,615,515,739,825,810,841,878,586,587,942,748,820,872,823,798,733,22930
17:00:00,639,664,748,599,462,772,817,748,809,707,530,488,798,711,734,833,432,401,463,797,762,759,772,812,581,531,776,819,861,785,759,753,683,21369
18:00:00,606,615,593,484,434,521,590,568,586,633,515,410,577,640,657,645,429,344,416,565,612,565,663,610,569,577,616,647,650,617,650,602,564,17604
19:00:00,576,544,547,472,411,475,485,499,525,514,497,399,468,552,529,570,362,427,404,469,472,511,550,564,543,452,517,499,523,488,618,516,497,15462
20:00:00,445,419,380,333,320,338,345,404,390,380,324,303,358,414,411,469,276,311,303,329,360,383,425,372,327,366,385,463,448,408,437,393,373,11626
21:00:00,330,325,272,227,240,226,302,288,272,269,236,188,256,314,307,353,246,267,191,271,292,307,307,282,252,265,294,328,357,317,331,298,279,8712
22:00:00,214,208,254,220,148,163,162,184,209,226,265,138,176,208,191,260,218,230,168,185,171,214,221,241,189,189,188,173,212,212,302,208,204,6339
23:00:00,118,140,177,191,85,73,75,114,143,173,207,85,105,127,107,176,222,195,90,74,96,140,175,228,219,113,83,105,128,138,250,138,141,4352
