,2024-05-01,2024-05-02,2024-05-03,2024-05-04,2024-05-05,2024-05-06,2024-05-07,2024-05-08,2024-05-09,2024-05-10,2024-05-11,2024-05-12,2024-05-13,2024-05-14,2024-05-15,2024-05-16,2024-05-17,2024-05-18,2024-05-19,2024-05-20,2024-05-21,2024-05-22,2024-05-23,2024-05-24,2024-05-25,2024-05-26,2024-05-27,2024-05-28,2024-05-29,2024-05-30,2024-05-31,Workday,7 Day,Count
00:00:00,55,56,96,145,137,101,36,58,73,103,140,215,72,69,65,84,284,144,140,64,45,64,64,103,153,160,58,58,41,48,103,78,100,3034
01:00:00,33,34,48,113,141,118,19,28,44,86,101,158,26,26,40,36,136,100,129,42,36,38,36,67,134,118,34,42,29,30,47,47,69,2069
02:00:00,15,24,30,76,105,105,14,23,29,67,81,118,18,23,34,27,96,78,112,41,19,32,27,31,93,116,23,29,22,19,25,34,52,1552
03:00:00,10,15,17,55,80,83,17,10,23,31,74,91,11,9,7,25,45,58,88,25,6,13,12,19,63,72,13,7,17,18,23,20,35,1037
04:00:00,15,16,19,37,27,27,8,20,20,17,41,50,18,14,14,15,32,25,28,19,15,19,23,28,28,35,15,16,17,20,16,18,23,694
05:00:00,52,42,45,29,26,30,58,58,54,51,45,31,46,57,58,50,48,19,27,48,45,51,47,45,28,21,51,54,47,48,51,49,43,1362
06:00:00,173,160,159,73,52,66,184,171,184,194,92,49,143,177,171,154,160,85,56,170,177,173,181,155,86,50,147,173,167,173,174,165,137,4329
07:00:00,635,641,568,177,118,125,625,626,616,638,181,126,578,607,639,617,588,194,118,599,641,635,630,576,176,117,595,663,604,586,555,591,465,14794
08:00:00,884,883,790,298,197,148,870,924,866,824,326,162,818,871,888,830,865,341,214,839,838,900,871,788,329,167,848,819,782,834,695,812,653,20709
09:00:00,690,657,609,463,298,273,581,656,662,643,524,257,621,665,679,646,653,475,287,533,666,637,632,585,464,292,583,667,673,758,761,632,561,17590
10:00:00,569,508,562,568,384,329,548,500,529,588,577,420,467,535,510,543,556,515,402,495,538,521,522,509,595,386,550,527,554,560,799,536,520,16166
11:00:00,558,540,652,627,478,407,604,594,555,637,630,481,540,538,553,526,604,632,586,584,534,589,537,586,637,505,547,578,556,570,699,569,570,17664
12:00:00,604,615,716,731,508,513,667,660,638,700,735,591,569,608,616,564,694,758,582,633,607,649,618,607,724,651,652,663,655,631,669,633,640,19828
13:00:00,784,676,762,657,568,531,627,726,632,721,705,693,655,615,726,622,725,715,597,619,646,752,622,691,709,611,701,679,656,661,736,677,671,20820
14:00:00,627,610,691,673,561,579,665,645,649,752,656,642,645,576,618,713,692,699,548,638,629,642,673,675,649,581,606,620,676,680,707,653,645,20017
15:00:00,828,818,846,609,524,544,837,773,836,821,650,664,810,851,738,977,817,680,559,705,797,754,719,725,588,573,747,765,659,759,751,777,728,22724
16:00:00,903,818,762,651,479,541,882,872,831,812,698,638,860,792,871,869,792,615,455,808,812,847,798,776,583,494,817,863,833,815,870,819,750,23457
17:00:00,789,771,739,570,492,491,754,804,776,691,638,531,874,797,837,846,782,579,401,724,777,809,710,716,478,541,774,773,790,790,783,765,698,21827
18:00:00,693,679,676,486,422,435,637,694,664,643,509,469,559,679,681,639,634,546,400,549,584,575,637,619,497,464,558,623,663,677,602,626,583,18193
19:00:00,525,567,519,460,413,401,455,537,576,566,417,447,442,505,554,478,552,499,387,480,457,548,544,575,468,419,454,482,542,540,580,516,494,15389
20:00:00,437,463,451,369,330,326,410,424,446,504,336,342,380,383,476,416,424,382,325,375,419,446,456,486,369,352,403,430,441,514,436,432,409,12751
21:00:00,377,367,324,281,278,197,346,346,391,334,411,216,346,305,398,336,305,300,265,309,352,301,356,403,246,227,281,326,359,388,375,340,322,10046
22:00:00,247,228,257,230,208,135,199,275,264,306,373,166,242,223,255,223,261,237,177,199,227,224,230,275,217,170,176,234,242,235,311,238,233,7246
23:00:00,115,144,195,213,171,80,88,117,135,181,234,88,72,125,118,515,191,224,105,98,99,114,142,200,187,107,72,118,146,163,217,150,154,4774
