,2023-11-01,2023-11-02,2023-11-03,2023-11-04,2023-11-05,2023-11-06,2023-11-07,2023-11-08,2023-11-09,2023-11-10,2023-11-11,2023-11-12,2023-11-13,2023-11-14,2023-11-15,2023-11-16,2023-11-17,2023-11-18,2023-11-19,2023-11-20,2023-11-21,2023-11-22,2023-11-23,2023-11-24,2023-11-25,2023-11-26,2023-11-27,2023-11-28,2023-11-29,2023-11-30,Workday,7 Day,Count
00:00:00,167,64,93,121,150,35,52,47,46,70,113,181,48,47,63,67,92,159,185,55,56,57,52,87,144,184,56,37,85,76,66,91,2689
01:00:00,122,44,63,91,115,21,16,27,31,50,101,136,28,28,29,32,60,105,137,21,20,25,28,60,96,150,25,26,22,27,37,59,1736
02:00:00,112,35,52,81,109,18,13,12,22,59,61,126,28,19,26,24,88,78,122,16,12,15,15,50,87,140,19,19,18,16,31,51,1492
03:00:00,48,18,21,43,51,6,9,13,3,14,52,63,13,15,13,19,36,59,87,11,9,13,14,21,53,92,15,8,16,11,16,29,846
04:00:00,22,17,22,19,25,18,16,17,15,23,22,32,14,16,17,23,25,26,33,15,17,12,14,23,31,32,14,18,12,17,18,20,607
05:00:00,50,37,44,23,35,41,55,52,47,46,33,21,45,56,51,43,42,20,25,45,46,47,49,48,24,28,39,45,48,54,47,41,1239
06:00:00,166,174,161,66,47,172,194,164,185,183,85,47,155,171,186,184,220,94,62,178,180,176,163,169,70,46,169,166,177,174,176,144,4384
07:00:00,560,589,511,156,124,662,679,655,658,617,163,112,550,674,646,606,611,178,96,586,653,641,624,608,177,106,601,595,638,621,618,481,14697
08:00:00,778,740,673,269,188,932,903,975,927,874,303,158,728,945,968,927,887,308,166,944,947,985,957,857,346,146,919,932,957,944,895,707,21583
09:00:00,583,604,518,481,260,623,700,695,671,657,510,278,692,731,761,735,668,495,277,652,683,716,654,620,496,268,638,682,674,729,668,586,17751
10:00:00,535,495,542,566,446,502,596,589,530,550,587,424,652,560,618,561,571,527,390,522,524,536,553,528,573,348,516,566,580,599,556,535,16086
11:00:00,567,591,590,619,535,521,548,545,539,604,674,560,518,554,568,612,620,699,493,521,514,534,558,554,687,497,500,546,584,569,557,568,17021
12:00:00,607,645,702,677,628,552,647,650,617,679,695,662,606,591,680,579,736,762,609,583,624,604,647,693,750,572,598,628,622,623,632,643,19268
13:00:00,685,647,736,737,608,570,617,785,589,682,686,640,627,711,794,634,783,687,654,700,633,781,673,683,643,650,615,677,744,642,682,677,20313
14:00:00,653,671,719,648,681,649,660,641,670,765,667,650,548,642,713,717,747,621,649,567,659,751,664,707,641,640,614,659,695,684,672,666,19992
15:00:00,745,706,796,666,640,838,830,788,870,841,730,592,777,906,815,841,861,663,647,787,805,800,814,820,749,651,830,838,753,857,814,772,23256
16:00:00,789,820,794,664,600,883,888,845,871,847,653,639,851,906,870,864,829,642,649,855,873,868,880,847,689,594,836,884,845,840,854,793,23915
17:00:00,775,817,742,572,523,826,809,895,782,771,616,591,773,787,831,787,702,606,620,783,817,794,770,736,617,543,774,804,823,783,790,732,22069
18:00:00,637,706,531,470,478,640,613,672,749,646,534,433,609,717,628,689,667,508,466,675,671,644,705,609,564,435,580,641,638,654,651,604,18209
19:00:00,508,570,478,444,373,543,498,550,501,594,513,401,498,537,519,546,549,478,397,488,539,581,522,543,511,391,518,500,516,557,530,504,15163
20:00:00,396,460,401,352,293,354,375,442,454,388,345,290,350,453,443,450,460,343,281,362,404,442,434,376,358,289,389,408,378,472,413,386,11642
21:00:00,281,349,233,205,218,266,321,331,302,244,234,207,294,352,325,325,293,234,182,273,352,326,329,261,262,221,282,317,357,369,308,283,8545
22:00:00,203,237,206,205,145,189,173,195,199,238,239,146,177,197,169,259,210,225,137,154,173,197,217,212,266,196,171,189,189,284,202,200,5997
23:00:00,129,150,175,175,70,59,98,121,139,203,177,82,75,105,107,132,196,186,85,78,91,118,150,181,221,87,87,121,106,232,130,131,3936
