,2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14,2023-10-15,2023-10-16,2023-10-17,2023-10-18,2023-10-19,2023-10-20,2023-10-21,2023-10-22,2023-10-23,2023-10-24,2023-10-25,2023-10-26,2023-10-27,2023-10-28,2023-10-29,2023-10-30,2023-10-31,Workday,7 Day,Count
00:00:00,202,65,49,56,63,93,113,157,54,35,67,64,118,111,162,42,49,44,0,101,103,149,65,50,39,52,128,192,251,233,44,69,95,2951
01:00:00,143,28,26,48,37,87,100,163,33,19,34,30,71,115,156,29,44,33,1,86,83,102,36,34,32,22,81,198,313,190,40,47,77,2414
02:00:00,121,16,24,29,31,44,66,117,29,19,29,30,67,81,147,33,20,11,0,71,97,102,28,27,12,25,72,130,288,187,28,38,63,1981
03:00:00,92,14,19,11,11,28,59,105,10,11,23,17,62,58,96,12,5,20,2,36,64,49,17,13,13,19,33,86,80,119,15,23,38,1199
04:00:00,27,12,20,21,14,20,21,45,20,27,27,17,22,26,47,17,12,15,3,15,27,21,19,19,16,17,19,29,30,41,17,19,22,683
05:00:00,25,57,46,53,57,50,37,31,58,53,53,50,45,27,22,47,59,53,2,53,16,29,45,46,59,44,46,23,27,22,47,48,41,1282
06:00:00,48,156,164,178,173,161,65,51,175,161,173,175,185,82,48,165,188,167,9,169,74,50,158,183,151,192,177,80,38,39,141,156,129,3976
07:00:00,122,614,637,605,627,568,169,104,601,636,613,598,598,173,120,607,668,628,88,519,153,106,558,637,609,611,560,150,116,135,547,557,437,13477
08:00:00,187,923,982,1028,985,881,302,180,968,981,1011,1011,926,313,191,951,966,977,182,551,291,175,878,988,955,956,842,243,197,138,722,855,676,20881
09:00:00,219,684,773,683,758,596,469,274,714,748,826,720,640,625,251,725,744,886,368,424,418,210,654,712,770,731,618,392,268,211,580,662,572,17691
10:00:00,392,507,535,550,570,537,578,335,552,564,553,498,561,711,365,540,508,466,442,407,561,375,489,497,574,548,552,487,449,324,555,515,503,15582
11:00:00,543,504,558,523,570,587,697,468,534,547,548,593,592,747,516,533,510,468,462,455,678,500,487,605,560,539,647,624,562,465,602,540,555,17224
12:00:00,561,571,622,657,597,662,693,610,583,623,607,619,693,787,584,540,565,540,568,507,651,595,560,574,634,612,705,699,595,546,693,604,614,19053
13:00:00,608,693,677,732,663,767,755,592,669,630,761,631,811,770,611,618,604,644,566,596,672,626,617,617,796,660,754,705,720,607,698,673,673,20870
14:00:00,655,637,690,696,669,741,678,655,626,625,700,749,781,782,701,613,601,615,595,628,630,589,597,601,663,711,719,685,673,573,640,658,662,20518
15:00:00,591,761,842,809,858,789,661,586,840,830,748,902,841,702,636,779,856,714,732,800,650,566,783,857,805,861,727,615,683,621,695,793,747,23140
16:00:00,581,900,857,883,828,819,670,577,861,962,805,955,823,677,578,909,869,578,766,762,617,628,875,880,814,860,778,651,675,565,786,824,768,23789
17:00:00,576,789,783,841,779,709,562,559,852,786,805,849,748,590,589,825,816,455,699,691,591,538,816,793,759,831,743,640,617,525,784,758,709,21940
18:00:00,500,662,698,675,671,604,566,509,602,707,696,683,674,549,510,633,618,176,606,608,538,470,647,723,733,740,574,537,506,400,531,621,592,18346
19:00:00,457,513,592,595,616,688,537,501,543,541,505,585,585,507,432,583,412,45,531,516,529,405,508,568,564,620,535,512,457,373,450,521,510,15805
20:00:00,363,453,432,426,546,439,291,351,380,440,444,509,429,210,294,389,363,2,425,369,319,327,352,429,443,532,369,312,354,267,370,400,376,11629
21:00:00,242,290,313,367,362,337,177,257,297,359,327,347,327,127,191,306,259,3,313,248,171,206,284,324,379,344,298,240,272,175,348,300,274,8490
22:00:00,193,180,177,240,199,316,269,159,189,182,185,267,266,273,165,165,184,3,244,207,240,159,180,223,205,217,268,290,222,106,204,200,206,6377
23:00:00,116,74,106,92,183,189,210,117,71,115,105,155,172,201,87,65,78,5,118,167,215,97,83,89,120,186,186,257,256,81,130,117,133,4126
