,2023-09-01,2023-09-02,2023-09-03,2023-09-04,2023-09-05,2023-09-06,2023-09-07,2023-09-08,2023-09-09,2023-09-10,2023-09-11,2023-09-12,2023-09-13,2023-09-14,2023-09-15,2023-09-16,2023-09-17,2023-09-18,2023-09-19,2023-09-20,2023-09-21,2023-09-22,2023-09-23,2023-09-24,2023-09-25,2023-09-26,2023-09-27,2023-09-28,2023-09-29,2023-09-30,Workday,7 Day,Count
00:00:00,69,108,129,47,41,41,45,88,146,183,89,77,60,94,141,143,178,47,42,49,69,105,136,178,58,68,50,40,104,145,68,91,2770
01:00:00,31,112,130,29,25,25,22,44,111,135,66,63,45,64,110,113,136,41,29,44,37,92,98,144,35,36,32,31,75,119,46,68,2074
02:00:00,35,68,122,40,17,13,13,31,109,128,61,58,42,54,103,100,138,40,25,24,24,97,102,122,26,24,20,23,57,101,39,60,1817
03:00:00,19,35,80,15,12,19,14,18,76,99,29,30,27,29,43,56,95,16,7,18,13,35,57,73,18,12,19,14,29,54,21,35,1061
04:00:00,16,27,35,15,17,19,14,21,29,45,21,23,17,20,23,28,28,11,21,17,17,29,26,39,13,12,12,20,23,23,18,22,661
05:00:00,38,26,27,42,42,46,49,35,30,27,43,55,52,47,42,30,20,46,52,43,52,33,24,25,55,40,54,55,37,36,46,40,1203
06:00:00,186,80,61,157,170,180,168,155,70,45,191,189,162,185,174,90,42,156,180,178,184,177,80,42,165,196,181,160,176,80,175,144,4260
07:00:00,567,172,111,610,623,647,606,568,158,116,606,609,671,589,600,172,109,624,656,642,596,599,156,110,578,687,594,569,556,188,609,476,14089
08:00:00,807,304,151,859,870,837,856,777,324,189,909,916,883,841,801,318,150,960,905,896,910,902,306,160,922,972,931,961,918,276,887,703,20811
09:00:00,640,495,255,606,665,678,679,627,445,306,677,749,693,694,641,435,253,700,766,775,695,620,435,231,702,707,629,722,631,355,681,588,17506
10:00:00,477,541,399,465,515,507,539,537,552,373,530,504,548,491,498,534,374,560,542,570,507,542,512,331,581,518,454,555,546,520,523,505,15122
11:00:00,639,680,461,504,522,522,540,611,659,490,575,516,520,572,552,676,516,560,557,529,511,558,656,401,551,544,434,591,553,600,546,553,16600
12:00:00,662,703,549,545,568,598,638,655,708,599,586,593,640,629,673,692,547,559,635,594,601,682,674,521,564,598,554,626,721,663,615,619,18577
13:00:00,693,673,614,585,618,779,633,658,681,574,635,639,707,703,690,695,605,605,627,698,651,693,623,546,544,613,629,700,749,646,659,651,19506
14:00:00,642,588,605,629,625,642,635,691,605,633,626,658,668,665,774,658,621,591,605,604,644,731,594,540,644,611,566,707,739,583,652,638,19124
15:00:00,750,585,548,741,765,733,789,787,543,567,805,815,831,827,843,648,604,841,837,756,787,820,602,460,786,861,662,903,844,581,799,734,21921
16:00:00,699,641,543,856,840,857,871,748,524,579,892,852,832,799,780,661,578,897,817,901,898,830,577,361,866,884,753,883,836,585,838,759,22640
17:00:00,684,504,472,739,753,777,783,733,492,486,854,828,810,755,665,540,497,839,850,861,776,782,494,416,822,833,684,832,803,569,784,702,20933
18:00:00,606,510,445,582,603,613,671,629,532,476,616,738,752,610,584,505,455,564,644,681,639,661,523,436,650,716,498,739,681,485,642,597,17844
19:00:00,504,463,462,520,544,514,520,584,484,459,470,568,605,516,511,515,416,532,493,567,555,563,524,427,540,547,484,534,603,489,537,518,15513
20:00:00,490,362,333,402,425,459,443,471,374,356,398,454,491,488,375,315,371,393,447,431,521,504,285,313,424,454,375,503,443,334,447,416,12434
21:00:00,284,287,247,352,379,310,332,365,278,242,284,345,420,344,289,213,244,247,305,322,352,342,156,218,266,384,296,390,372,226,332,304,9091
22:00:00,211,230,155,162,176,180,206,262,232,177,167,199,183,207,280,241,162,161,186,204,224,260,253,171,143,193,153,231,292,192,204,203,6093
23:00:00,151,184,88,79,76,121,102,197,219,111,87,109,95,132,190,204,107,59,83,130,158,167,203,103,67,82,91,129,179,254,118,131,3957
