,datetime,value
0,01-01-2023 00:00,143
1,01-01-2023 01:00,206
2,01-01-2023 02:00,170
3,01-01-2023 03:00,128
4,01-01-2023 04:00,48
5,01-01-2023 05:00,17
6,01-01-2023 06:00,45
7,01-01-2023 07:00,85
8,01-01-2023 08:00,78
9,01-01-2023 09:00,117
10,01-01-2023 10:00,169
11,01-01-2023 11:00,301
12,01-01-2023 12:00,388
13,01-01-2023 13:00,463
14,01-01-2023 14:00,469
15,01-01-2023 15:00,448
16,01-01-2023 16:00,412
17,01-01-2023 17:00,327
18,01-01-2023 18:00,291
19,01-01-2023 19:00,270
20,01-01-2023 20:00,223
21,01-01-2023 21:00,161
22,01-01-2023 22:00,110
23,01-01-2023 23:00,79
24,02-01-2023 00:00,75
25,02-01-2023 01:00,66
26,02-01-2023 02:00,46
27,02-01-2023 03:00,26
28,02-01-2023 04:00,13
29,02-01-2023 05:00,23
30,02-01-2023 06:00,65
31,02-01-2023 07:00,85
32,02-01-2023 08:00,91
33,02-01-2023 09:00,146
34,02-01-2023 10:00,257
35,02-01-2023 11:00,388
36,02-01-2023 12:00,473
37,02-01-2023 13:00,580
38,02-01-2023 14:00,605
39,02-01-2023 15:00,563
40,02-01-2023 16:00,549
41,02-01-2023 17:00,456
42,02-01-2023 18:00,374
43,02-01-2023 19:00,299
44,02-01-2023 20:00,185
45,02-01-2023 21:00,183
46,02-01-2023 22:00,114
47,02-01-2023 23:00,78
48,03-01-2023 00:00,49
49,03-01-2023 01:00,36
50,03-01-2023 02:00,23
51,03-01-2023 03:00,14
52,03-01-2023 04:00,11
53,03-01-2023 05:00,40
54,03-01-2023 06:00,148
55,03-01-2023 07:00,413
56,03-01-2023 08:00,522
57,03-01-2023 09:00,385
58,03-01-2023 10:00,408
59,03-01-2023 11:00,457
60,03-01-2023 12:00,569
61,03-01-2023 13:00,551
62,03-01-2023 14:00,504
63,03-01-2023 15:00,626
64,03-01-2023 16:00,720
65,03-01-2023 17:00,684
66,03-01-2023 18:00,480
67,03-01-2023 19:00,408
68,03-01-2023 20:00,257
69,03-01-2023 21:00,218
70,03-01-2023 22:00,122
71,03-01-2023 23:00,76
72,04-01-2023 00:00,40
73,04-01-2023 01:00,10
74,04-01-2023 02:00,27
75,04-01-2023 03:00,15
76,04-01-2023 04:00,14
77,04-01-2023 05:00,38
78,04-01-2023 06:00,151
79,04-01-2023 07:00,458
80,04-01-2023 08:00,553
81,04-01-2023 09:00,463
82,04-01-2023 10:00,450
83,04-01-2023 11:00,477
84,04-01-2023 12:00,597
85,04-01-2023 13:00,609
86,04-01-2023 14:00,631
87,04-01-2023 15:00,677
88,04-01-2023 16:00,740
89,04-01-2023 17:00,678
90,04-01-2023 18:00,472
91,04-01-2023 19:00,382
92,04-01-2023 20:00,287
93,04-01-2023 21:00,218
94,04-01-2023 22:00,112
95,04-01-2023 23:00,74
96,05-01-2023 00:00,40
97,05-01-2023 01:00,22
98,05-01-2023 02:00,21
99,05-01-2023 03:00,13
100,05-01-2023 04:00,15
101,05-01-2023 05:00,37
102,05-01-2023 06:00,130
103,05-01-2023 07:00,548
104,05-01-2023 08:00,752
105,05-01-2023 09:00,497
106,05-01-2023 10:00,438
107,05-01-2023 11:00,424
108,05-01-2023 12:00,505
109,05-01-2023 13:00,559
110,05-01-2023 14:00,537
111,05-01-2023 15:00,703
112,05-01-2023 16:00,726
113,05-01-2023 17:00,669
114,05-01-2023 18:00,483
115,05-01-2023 19:00,385
116,05-01-2023 20:00,302
117,05-01-2023 21:00,253
118,05-01-2023 22:00,132
119,05-01-2023 23:00,86
120,06-01-2023 00:00,43
