,datetime,value
0,2023-01-01 00:00:00,8.0
1,2023-01-01 01:00:00,13.0
2,2023-01-01 02:00:00,10.0
3,2023-01-01 03:00:00,9.0
4,2023-01-01 04:00:00,5.0
5,2023-01-01 05:00:00,3.0
6,2023-01-01 06:00:00,3.0
7,2023-01-01 07:00:00,1.0
8,2023-01-01 08:00:00,1.0
9,2023-01-01 09:00:00,4.0
10,2023-01-01 10:00:00,11.0
11,2023-01-01 11:00:00,9.0
12,2023-01-01 12:00:00,27.0
13,2023-01-01 13:00:00,20.0
14,2023-01-01 14:00:00,25.0
15,2023-01-01 15:00:00,23.0
16,2023-01-01 16:00:00,26.0
17,2023-01-01 17:00:00,16.0
18,2023-01-01 18:00:00,19.0
19,2023-01-01 19:00:00,23.0
20,2023-01-01 20:00:00,15.0
21,2023-01-01 21:00:00,5.0
22,2023-01-01 22:00:00,2.0
23,2023-01-01 23:00:00,9.0
24,2023-01-02 00:00:00,7.0
25,2023-01-02 01:00:00,8.0
26,2023-01-02 02:00:00,5.0
27,2023-01-02 03:00:00,2.0
28,2023-01-02 04:00:00,2.0
29,2023-01-02 05:00:00,6.0
30,2023-01-02 06:00:00,4.0
31,2023-01-02 07:00:00,7.0
32,2023-01-02 08:00:00,5.0
33,2023-01-02 09:00:00,15.0
34,2023-01-02 10:00:00,25.0
35,2023-01-02 11:00:00,20.0
36,2023-01-02 12:00:00,28.0
37,2023-01-02 13:00:00,24.0
38,2023-01-02 14:00:00,32.0
39,2023-01-02 15:00:00,27.0
40,2023-01-02 16:00:00,23.0
41,2023-01-02 17:00:00,23.0
42,2023-01-02 18:00:00,15.0
43,2023-01-02 19:00:00,11.0
44,2023-01-02 20:00:00,11.0
45,2023-01-02 21:00:00,9.0
46,2023-01-02 22:00:00,7.0
47,2023-01-02 23:00:00,2.0
48,2023-01-03 00:00:00,0.0
49,2023-01-03 01:00:00,1.0
50,2023-01-03 02:00:00,4.0
51,2023-01-03 03:00:00,4.0
52,2023-01-03 04:00:00,5.0
53,2023-01-03 05:00:00,5.0
54,2023-01-03 06:00:00,19.0
55,2023-01-03 07:00:00,50.0
56,2023-01-03 08:00:00,74.0
57,2023-01-03 09:00:00,46.0
58,2023-01-03 10:00:00,55.0
59,2023-01-03 11:00:00,67.0
60,2023-01-03 12:00:00,51.0
61,2023-01-03 13:00:00,61.0
62,2023-01-03 14:00:00,52.0
63,2023-01-03 15:00:00,55.0
64,2023-01-03 16:00:00,69.0
65,2023-01-03 17:00:00,42.0
66,2023-01-03 18:00:00,18.0
67,2023-01-03 19:00:00,28.0
68,2023-01-03 20:00:00,19.0
69,2023-01-03 21:00:00,13.0
70,2023-01-03 22:00:00,4.0
71,2023-01-03 23:00:00,6.0
72,2023-01-04 00:00:00,0.0
73,2023-01-04 01:00:00,1.0
74,2023-01-04 02:00:00,1.0
75,2023-01-04 03:00:00,4.0
76,2023-01-04 04:00:00,5.0
77,2023-01-04 05:00:00,11.0
78,2023-01-04 06:00:00,28.0
79,2023-01-04 07:00:00,63.0
80,2023-01-04 08:00:00,55.0
81,2023-01-04 09:00:00,74.0
82,2023-01-04 10:00:00,66.0
83,2023-01-04 11:00:00,81.0
84,2023-01-04 12:00:00,58.0
