,2023-08-01,2023-08-02,2023-08-03,2023-08-04,2023-08-05,2023-08-06,2023-08-07,2023-08-08,2023-08-09,2023-08-10,2023-08-11,2023-08-12,2023-08-13,2023-08-14,2023-08-15,2023-08-16,2023-08-17,2023-08-18,2023-08-19,2023-08-20,2023-08-21,2023-08-22,2023-08-23,2023-08-24,2023-08-25,2023-08-26,2023-08-27,2023-08-28,2023-08-29,2023-08-30,2023-08-31,Workday,7 Day,Count
00:00:00,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4
01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,4
03:00:00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,3
05:00:00,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
06:00:00,0,0,0,0,0,0,0,1,0,3,0,0,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,11
07:00:00,1,2,3,4,0,1,1,0,1,0,5,0,0,3,1,2,2,0,0,0,0,0,3,0,1,0,0,1,4,1,5,2,1,41
08:00:00,3,5,2,2,0,0,1,3,2,2,1,0,1,6,4,2,1,3,1,0,2,3,2,1,1,1,0,2,2,3,3,2,2,59
09:00:00,3,1,1,4,0,0,2,0,2,0,4,1,0,2,3,0,3,3,0,0,0,2,3,3,3,1,0,0,1,0,3,2,1,45
10:00:00,2,3,1,1,1,0,1,4,2,2,2,1,0,5,2,1,0,4,0,0,2,1,1,4,1,1,0,2,0,4,5,2,2,53
11:00:00,0,0,1,3,0,0,0,2,1,3,4,0,0,6,3,0,4,5,1,0,5,2,1,2,2,0,0,3,3,2,1,2,2,54
12:00:00,2,3,2,1,0,0,0,2,4,3,3,0,0,1,2,2,2,7,0,0,0,1,2,1,4,0,0,8,1,2,1,2,2,54
13:00:00,1,0,2,0,0,0,1,3,1,1,0,1,0,4,1,4,2,2,1,0,2,1,3,0,2,1,0,0,0,5,2,2,1,40
14:00:00,1,1,4,3,1,0,1,3,1,4,2,1,0,2,0,2,0,4,0,0,0,2,0,7,3,0,0,1,1,1,5,2,2,50
15:00:00,1,4,2,1,0,0,0,3,4,6,0,2,0,4,2,3,4,4,0,0,1,0,3,0,2,0,0,4,1,4,0,2,2,55
16:00:00,1,2,3,1,0,0,1,1,2,3,1,0,0,2,1,3,1,1,0,0,1,1,2,0,1,1,0,0,0,0,1,1,1,30
17:00:00,2,0,1,1,0,0,1,1,1,1,1,0,0,2,0,0,1,2,0,0,2,2,2,2,4,0,0,1,1,2,3,1,1,33
18:00:00,1,0,1,1,0,0,1,1,1,1,1,0,0,1,2,0,2,2,0,0,0,0,0,0,1,0,0,1,0,3,1,1,1,21
19:00:00,0,0,1,0,0,1,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,12
20:00:00,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
21:00:00,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,5
22:00:00,0,0,2,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,18
23:00:00,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
