,2023-12-01,2023-12-02,2023-12-03,2023-12-04,2023-12-05,2023-12-06,2023-12-07,2023-12-08,2023-12-09,2023-12-10,2023-12-11,2023-12-12,2023-12-13,2023-12-14,2023-12-15,2023-12-16,2023-12-17,2023-12-18,2023-12-19,2023-12-20,2023-12-21,2023-12-22,2023-12-23,2023-12-24,2023-12-25,2023-12-26,2023-12-27,2023-12-28,2023-12-29,2023-12-30,2023-12-31,Workday,7 Day,Count
00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:00:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
04:00:00,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
05:00:00,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
06:00:00,2,2,0,0,1,1,1,0,0,0,0,1,1,2,1,0,1,0,0,2,1,0,0,1,0,0,0,0,1,0,0,1,1,18
07:00:00,1,0,0,6,0,0,0,2,1,0,3,10,0,2,3,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,33
08:00:00,1,0,0,14,2,0,6,0,1,0,13,14,1,3,4,0,0,2,4,4,8,2,0,0,0,0,3,4,2,0,0,4,3,88
09:00:00,4,0,0,16,3,3,2,1,0,0,9,10,1,2,2,1,0,1,2,0,2,1,0,0,0,0,0,0,0,1,0,3,2,61
10:00:00,3,0,0,21,2,1,1,3,0,0,10,8,1,1,2,1,0,4,2,3,1,0,0,0,0,0,0,0,1,1,1,3,2,67
11:00:00,2,0,0,14,1,2,6,4,0,0,4,12,2,3,2,1,0,5,5,4,3,1,0,0,0,0,1,1,1,0,0,3,3,74
12:00:00,2,0,0,19,3,0,3,4,0,0,4,8,0,5,2,0,0,10,3,2,2,4,0,0,0,0,0,0,0,1,0,3,2,72
13:00:00,2,1,0,16,0,1,1,0,0,0,7,5,1,3,3,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,0,2,2,49
14:00:00,2,0,0,16,1,0,1,0,1,0,4,0,3,5,1,0,0,3,3,1,0,0,1,0,0,0,1,0,1,0,0,2,1,44
15:00:00,2,0,0,13,1,2,0,4,0,0,4,3,0,1,1,0,1,6,1,3,1,0,0,0,0,0,0,1,0,0,0,2,1,44
16:00:00,3,0,0,2,1,0,0,1,1,0,1,1,0,0,1,0,0,2,0,1,1,1,3,0,0,0,2,0,0,0,0,1,1,21
17:00:00,2,0,0,3,3,1,2,2,1,0,6,2,0,6,1,0,0,4,4,0,1,0,0,0,0,0,2,0,0,0,0,2,1,40
18:00:00,0,0,0,0,1,1,0,1,0,0,1,2,1,1,1,0,0,4,2,0,0,0,1,0,0,0,1,0,1,0,0,1,1,18
19:00:00,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,8
20:00:00,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
21:00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3
22:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
23:00:00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
