,2023-02-01,2023-02-02,2023-02-03,2023-02-04,2023-02-05,2023-02-06,2023-02-07,2023-02-08,2023-02-09,2023-02-10,2023-02-11,2023-02-12,2023-02-13,2023-02-14,2023-02-15,2023-02-16,2023-02-17,2023-02-18,2023-02-19,2023-02-20,2023-02-21,2023-02-22,2023-02-23,2023-02-24,2023-02-25,2023-02-26,2023-02-27,2023-02-28,Workday,7 Day,Count
00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,5
05:00:00,1,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,8
06:00:00,1,1,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,2,3,0,0,0,1,1,15
07:00:00,1,0,0,1,0,0,14,2,1,0,1,0,3,1,2,4,3,0,0,1,2,1,1,3,0,0,1,0,2,2,42
08:00:00,2,2,3,0,0,0,10,4,3,2,1,1,6,4,2,1,1,0,0,1,3,3,7,1,0,0,3,4,3,2,64
09:00:00,1,4,3,1,0,1,13,7,4,2,1,0,3,0,6,7,3,0,0,2,3,2,6,4,1,0,1,5,4,3,80
10:00:00,1,2,5,0,0,1,13,7,3,2,0,0,3,4,3,3,2,0,0,2,2,3,5,6,0,0,3,5,4,3,75
11:00:00,2,2,3,0,0,1,15,5,3,1,1,0,3,2,3,10,3,0,0,6,2,0,4,2,0,0,5,8,4,3,81
12:00:00,2,3,4,2,2,0,12,8,0,1,0,2,2,3,3,2,3,0,1,3,1,1,1,2,0,0,2,2,3,2,62
13:00:00,2,1,3,0,0,0,5,4,1,3,1,0,1,2,3,3,2,1,0,0,4,2,2,2,0,4,3,0,2,2,49
14:00:00,2,3,4,0,0,0,10,6,3,1,1,0,1,2,6,0,2,0,0,4,2,4,2,0,0,0,3,1,3,2,57
15:00:00,0,3,4,0,0,0,4,6,3,4,3,2,3,1,0,4,7,0,0,5,1,4,2,2,0,1,3,2,3,2,64
16:00:00,2,5,0,0,0,0,3,2,4,0,1,2,3,0,1,1,2,1,0,5,2,1,2,1,1,0,1,1,2,1,41
17:00:00,1,1,1,0,0,0,0,1,2,2,1,0,2,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,18
18:00:00,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2,2,0,0,0,2,3,0,1,1,0,1,0,1,1,1,17
19:00:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20:00:00,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
21:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22:00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
