,2024-02-01,2024-02-02,2024-02-03,2024-02-04,2024-02-05,2024-02-06,2024-02-07,2024-02-08,2024-02-09,2024-02-10,2024-02-11,2024-02-12,2024-02-13,2024-02-14,2024-02-15,2024-02-16,2024-02-17,2024-02-18,2024-02-19,2024-02-20,2024-02-21,2024-02-22,2024-02-23,2024-02-24,2024-02-25,2024-02-26,2024-02-27,2024-02-28,2024-02-29,Workday,7 Day,Count
00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
04:00:00,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5
05:00:00,0,1,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,10
06:00:00,0,0,0,0,1,0,3,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,13
07:00:00,1,0,0,0,0,1,3,0,1,0,0,0,2,1,1,0,0,0,1,5,3,0,3,0,0,0,1,1,0,1,1,24
08:00:00,2,1,0,0,1,6,7,1,1,2,0,4,2,3,3,2,0,0,4,6,1,0,3,0,0,3,5,4,2,3,2,63
09:00:00,3,1,1,0,0,8,1,2,5,0,0,8,8,3,1,2,0,0,2,11,5,3,6,1,0,4,0,2,6,4,3,83
10:00:00,0,4,0,0,0,3,5,0,3,0,0,4,3,2,0,5,0,0,1,14,1,3,2,0,0,4,3,5,2,3,2,64
11:00:00,5,3,0,0,0,0,7,9,1,1,0,7,4,2,1,2,0,0,5,15,0,3,1,1,0,2,3,2,3,4,3,77
12:00:00,1,1,0,0,0,0,14,12,2,0,1,5,3,2,2,3,0,0,3,2,1,4,2,0,0,0,3,0,3,3,2,64
13:00:00,2,1,2,0,0,4,7,2,1,0,0,2,4,1,4,4,0,0,2,10,3,2,3,0,0,3,2,3,3,3,2,65
14:00:00,2,3,0,0,0,1,14,1,1,0,0,2,2,1,3,1,0,0,1,8,2,2,3,0,0,3,1,2,5,3,2,58
15:00:00,4,3,0,0,0,2,11,2,1,0,0,4,2,0,0,3,1,0,1,11,2,2,1,0,1,8,4,2,3,3,2,68
16:00:00,0,1,0,1,0,4,10,3,6,2,0,2,1,2,3,2,0,0,5,8,2,0,3,0,0,1,1,0,1,3,2,58
17:00:00,2,2,0,0,0,2,16,1,0,0,0,2,2,1,2,4,0,0,5,10,3,3,4,0,0,5,3,2,0,3,2,69
18:00:00,1,0,0,0,0,2,12,0,0,0,0,0,0,1,2,0,0,2,0,6,1,1,1,0,0,4,1,0,0,2,1,34
19:00:00,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,1,0,12
20:00:00,1,0,0,0,0,0,6,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10
21:00:00,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
22:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
