,2024-01-01,2024-01-02,2024-01-03,2024-01-04,2024-01-05,2024-01-06,2024-01-07,2024-01-08,2024-01-09,2024-01-10,2024-01-11,2024-01-12,2024-01-13,2024-01-14,2024-01-15,2024-01-16,2024-01-17,2024-01-18,2024-01-19,2024-01-20,2024-01-21,2024-01-22,2024-01-23,2024-01-24,2024-01-25,2024-01-26,2024-01-27,2024-01-28,2024-01-29,2024-01-30,2024-01-31,Workday,7 Day,Count
00:00:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3
01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
05:00:00,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,8
06:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,2,1,0,0,0,7
07:00:00,0,1,0,2,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,2,0,0,1,0,0,1,0,16
08:00:00,0,1,3,1,5,0,1,4,3,2,2,1,0,0,3,1,3,3,1,1,0,3,1,3,4,4,1,0,3,4,2,2,2,60
09:00:00,0,0,0,2,3,0,0,0,2,1,2,3,0,0,3,2,2,2,1,0,0,2,1,3,1,2,0,0,1,2,3,2,1,38
10:00:00,0,1,2,1,1,0,0,1,3,5,3,1,0,0,2,2,1,3,3,0,0,2,1,2,4,0,0,0,5,2,0,2,1,45
11:00:00,0,3,5,2,7,1,0,2,4,4,2,1,0,0,2,1,2,1,5,0,0,3,2,1,3,3,0,0,2,1,4,3,2,61
12:00:00,0,0,3,1,2,0,0,4,4,4,2,3,0,2,3,4,2,3,0,0,0,3,0,1,4,1,0,0,2,4,0,2,2,52
13:00:00,0,1,6,0,2,0,3,3,2,1,1,1,0,1,3,1,3,3,2,0,0,1,1,3,7,3,1,0,3,5,1,2,2,58
14:00:00,0,3,8,1,3,1,0,5,3,3,3,4,0,0,1,2,3,3,2,0,0,2,1,5,2,1,0,0,3,2,3,3,2,64
15:00:00,0,0,5,2,1,1,0,0,4,4,1,3,0,0,2,2,3,4,2,0,0,0,2,2,3,2,0,0,2,1,4,2,2,50
16:00:00,0,0,2,2,0,1,0,3,2,1,1,0,0,0,0,1,2,2,3,0,0,1,1,2,1,0,0,0,0,2,2,1,1,29
17:00:00,0,0,1,0,0,0,0,1,1,1,2,2,0,0,2,3,1,6,0,0,1,0,2,1,2,1,0,1,1,1,2,1,1,32
18:00:00,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,3,1,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,12
19:00:00,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,6
20:00:00,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4
21:00:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22:00:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
