,2023-07-01,2023-07-02,2023-07-03,2023-07-04,2023-07-05,2023-07-06,2023-07-07,2023-07-08,2023-07-09,2023-07-10,2023-07-11,2023-07-12,2023-07-13,2023-07-14,2023-07-15,2023-07-16,2023-07-17,2023-07-18,2023-07-19,2023-07-20,2023-07-21,2023-07-22,2023-07-23,2023-07-24,2023-07-25,2023-07-26,2023-07-27,2023-07-28,2023-07-29,2023-07-30,2023-07-31,Workday,7 Day,Count
00:00:00,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
01:00:00,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05:00:00,0,0,0,0,1,1,1,0,0,1,0,1,0,3,0,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0,0,1,0,13
06:00:00,0,0,1,0,0,2,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,13
07:00:00,4,0,2,0,0,3,2,0,1,2,2,1,0,1,0,1,0,0,2,0,0,0,0,10,0,4,2,0,0,0,2,2,1,39
08:00:00,0,0,3,4,1,3,6,0,0,3,2,2,2,2,1,0,0,1,1,2,3,0,0,24,0,0,2,0,3,1,2,3,2,68
09:00:00,4,0,3,4,2,3,0,0,0,2,0,2,1,2,0,0,1,1,3,1,3,0,1,20,3,4,1,3,0,0,2,3,2,66
10:00:00,1,0,3,1,2,2,2,0,1,2,2,2,6,0,1,0,2,0,1,1,2,0,0,20,1,1,3,4,0,0,1,3,2,61
11:00:00,1,0,3,1,3,7,3,1,1,4,2,5,0,2,1,0,0,2,0,2,0,0,0,19,1,3,5,1,1,0,6,3,2,74
12:00:00,0,0,1,0,1,2,3,0,0,2,1,2,2,4,2,0,2,0,2,1,2,0,0,15,2,1,5,1,1,0,6,3,2,58
13:00:00,0,0,2,2,0,3,3,0,0,0,0,1,2,1,0,0,1,2,4,2,1,1,1,13,1,0,6,1,0,0,5,2,2,52
14:00:00,0,0,1,2,3,2,3,0,0,3,0,1,1,4,0,0,0,2,0,5,1,0,1,11,3,0,4,3,1,0,4,3,2,55
15:00:00,0,0,4,2,1,1,2,0,0,2,0,1,2,0,0,0,1,2,0,4,5,0,0,7,4,2,11,4,1,0,6,3,2,62
16:00:00,0,1,4,3,3,3,2,0,0,0,3,1,2,3,0,0,2,0,3,1,3,0,0,5,3,0,0,5,1,0,7,3,2,55
17:00:00,0,0,1,2,1,1,0,0,0,1,0,3,0,1,0,0,1,2,2,2,4,0,0,1,0,1,1,0,0,0,1,1,1,25
18:00:00,1,0,2,0,0,0,1,0,0,2,0,1,0,3,0,0,2,0,1,1,0,1,0,1,3,0,0,0,0,0,4,1,1,23
19:00:00,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,2,0,0,13
20:00:00,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
21:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4
23:00:00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
