,2024-06-01,2024-06-02,2024-06-03,2024-06-04,2024-06-05,2024-06-06,2024-06-07,2024-06-08,2024-06-09,2024-06-10,2024-06-11,2024-06-12,2024-06-13,2024-06-14,2024-06-15,2024-06-16,2024-06-17,2024-06-18,2024-06-19,2024-06-20,2024-06-21,2024-06-22,2024-06-23,2024-06-24,2024-06-25,2024-06-26,2024-06-27,2024-06-28,2024-06-29,2024-06-30,Workday,7 Day,Count
00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04:00:00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
05:00:00,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
06:00:00,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,6
07:00:00,0,0,0,0,2,1,0,0,0,2,2,0,1,1,0,0,1,0,1,3,2,0,0,1,2,0,0,15,0,2,2,1,36
08:00:00,0,0,0,3,1,3,2,0,0,2,1,4,1,2,0,0,1,5,2,2,3,0,0,1,7,2,1,14,0,0,3,2,57
09:00:00,1,0,0,4,2,3,0,1,0,2,3,7,2,2,1,0,0,2,1,1,0,1,0,1,9,1,1,12,0,0,3,2,57
10:00:00,0,0,0,9,1,4,4,0,0,1,2,2,1,0,1,1,1,3,2,2,1,1,0,1,6,0,1,14,0,0,3,2,58
11:00:00,0,0,1,7,1,4,0,2,1,4,4,4,2,2,1,0,2,1,3,3,1,0,0,5,7,2,2,10,0,0,3,2,69
12:00:00,0,0,0,10,1,5,1,0,0,2,2,2,2,1,0,0,0,2,2,5,0,0,0,1,6,0,1,12,0,0,3,2,55
13:00:00,0,0,1,10,1,6,0,0,0,1,2,2,1,2,0,0,1,0,3,3,0,0,0,2,4,1,1,8,0,0,2,2,49
14:00:00,0,0,0,10,0,3,0,2,0,1,0,3,4,0,0,0,3,3,3,3,2,0,0,4,2,1,1,1,0,1,2,2,47
15:00:00,0,1,0,9,1,6,1,0,1,2,1,1,2,3,0,0,1,1,0,5,0,0,0,3,8,0,1,0,1,0,2,2,48
16:00:00,0,0,0,11,0,3,0,0,1,1,2,0,0,0,0,0,0,0,0,2,1,2,0,2,1,3,1,1,1,0,1,1,32
17:00:00,0,0,0,2,3,0,0,0,0,0,1,0,0,2,0,0,2,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,14
18:00:00,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,1,0,1,1,1,0,1,1,2,0,0,0,0,0,1,0,13
19:00:00,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7
20:00:00,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7
21:00:00,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,6
22:00:00,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4
23:00:00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
