,2023-03-01,2023-03-02,2023-03-03,2023-03-04,2023-03-05,2023-03-06,2023-03-07,2023-03-08,2023-03-09,2023-03-10,2023-03-11,2023-03-12,2023-03-13,2023-03-14,2023-03-15,2023-03-16,2023-03-17,2023-03-18,2023-03-19,2023-03-20,2023-03-21,2023-03-22,2023-03-23,2023-03-24,2023-03-25,2023-03-26,2023-03-27,2023-03-28,2023-03-29,2023-03-30,2023-03-31,Workday,7 Day,Count
00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,3
01:00:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4
02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,7
03:00:00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,1,1,0,0,0,8
04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
05:00:00,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,8
06:00:00,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,1,0,2,0,0,1,1,2,2,0,1,1,17
07:00:00,0,2,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,2,13,2,1,0,0,0,1,3,3,0,2,2,1,39
08:00:00,2,1,4,1,0,2,6,2,4,4,3,0,2,3,3,4,0,0,0,2,14,6,4,5,1,0,5,2,7,3,4,4,3,94
09:00:00,1,0,2,0,0,3,5,3,2,2,1,0,1,1,5,6,0,0,0,2,25,5,4,4,0,0,2,0,6,0,2,4,3,82
10:00:00,0,2,0,0,0,4,7,5,3,3,0,0,1,1,0,2,0,0,0,1,21,6,2,3,1,0,2,3,3,2,1,3,2,73
11:00:00,5,3,5,0,0,3,3,1,7,2,1,0,1,7,3,4,0,1,0,6,19,6,3,6,0,0,4,2,6,3,9,5,3,110
12:00:00,2,3,3,0,1,6,0,1,5,0,0,0,2,0,3,5,1,0,0,3,17,4,6,1,0,0,1,0,2,2,4,3,2,72
13:00:00,1,2,0,0,0,4,3,2,4,0,0,0,3,1,0,2,0,0,0,2,4,0,0,3,0,0,0,0,2,3,1,2,1,37
14:00:00,2,3,3,0,0,5,6,6,2,1,0,0,1,0,3,0,0,0,0,2,3,2,4,2,0,1,1,3,2,3,0,2,2,55
15:00:00,3,1,1,0,0,6,1,2,2,3,1,0,4,1,2,1,0,0,0,4,4,3,1,0,0,0,2,1,2,5,1,2,2,51
16:00:00,0,2,3,0,0,1,2,5,4,0,0,0,1,1,1,0,0,0,0,0,0,0,1,2,0,0,2,4,1,1,3,1,1,34
17:00:00,1,2,0,0,0,0,3,0,2,0,0,0,3,0,1,1,0,0,0,2,1,2,2,0,0,0,1,1,1,0,1,1,1,24
18:00:00,1,2,1,0,0,2,0,1,1,0,0,0,0,0,3,1,0,1,0,0,1,0,0,0,0,0,0,2,1,0,0,1,1,17
19:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
21:00:00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,5
22:00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,10
23:00:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3
