,2024-05-01,2024-05-02,2024-05-03,2024-05-04,2024-05-05,2024-05-06,2024-05-07,2024-05-08,2024-05-09,2024-05-10,2024-05-11,2024-05-12,2024-05-13,2024-05-14,2024-05-15,2024-05-16,2024-05-17,2024-05-18,2024-05-19,2024-05-20,2024-05-21,2024-05-22,2024-05-23,2024-05-24,2024-05-25,2024-05-26,2024-05-27,2024-05-28,2024-05-29,2024-05-30,2024-05-31,Workday,7 Day,Count
00:00:00,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04:00:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
05:00:00,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,7
06:00:00,0,0,1,0,1,2,0,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,14
07:00:00,3,2,1,0,1,0,0,1,2,0,1,0,2,3,0,4,0,2,0,8,1,2,3,6,0,0,2,0,9,1,1,2,2,55
08:00:00,5,2,5,0,0,0,3,1,5,0,1,1,3,14,5,7,2,2,0,9,2,1,6,9,0,0,2,3,9,3,1,4,3,101
09:00:00,7,9,5,0,0,0,3,4,3,2,1,0,1,10,6,10,2,0,0,11,1,9,6,7,1,0,4,2,13,2,3,5,4,122
10:00:00,6,3,0,0,0,0,5,2,2,6,0,1,3,11,6,7,2,0,0,16,2,7,9,10,1,1,11,0,8,5,5,5,4,129
11:00:00,4,3,2,1,0,0,6,8,4,0,0,0,3,9,5,6,2,0,0,14,3,3,3,6,0,0,8,1,17,3,1,5,3,112
12:00:00,5,4,2,0,0,0,5,7,4,2,1,0,3,6,6,7,7,0,1,10,1,4,6,8,3,0,1,0,11,4,1,5,3,109
13:00:00,3,2,2,0,0,0,0,4,4,1,0,1,0,11,1,8,6,0,1,7,0,8,3,7,0,0,7,1,13,4,2,4,3,96
14:00:00,0,5,0,1,0,0,2,1,5,1,0,0,3,9,6,11,1,0,0,6,1,4,7,7,0,0,4,0,14,1,1,4,3,90
15:00:00,2,1,2,0,0,0,6,3,3,2,0,0,4,3,5,9,1,0,0,0,0,4,8,6,0,0,6,1,14,1,1,4,3,82
16:00:00,1,1,2,1,0,0,1,3,4,0,0,0,0,3,4,5,2,1,0,2,3,3,2,7,0,0,10,1,8,2,1,3,2,67
17:00:00,2,1,1,0,0,0,3,0,2,0,1,0,0,0,5,1,0,0,1,1,3,3,1,0,0,0,6,1,3,2,0,2,1,37
18:00:00,1,0,1,2,0,0,2,0,4,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,4,1,1,1,0,1,1,21
19:00:00,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,11
20:00:00,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9
21:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
