,2024-11-01,2024-11-02,2024-11-03,2024-11-04,2024-11-05,2024-11-06,2024-11-07,2024-11-08,2024-11-09,2024-11-10,2024-11-11,2024-11-12,2024-11-13,2024-11-14,2024-11-15,2024-11-16,2024-11-17,2024-11-18,2024-11-19,2024-11-20,2024-11-21,2024-11-22,2024-11-23,2024-11-24,2024-11-25,2024-11-26,2024-11-27,2024-11-28,2024-11-29,2024-11-30,Workday,7 Day,Count
00:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
01:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
04:00:00,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7
05:00:00,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,7
06:00:00,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
07:00:00,2,1,0,1,2,0,2,0,1,0,0,0,0,1,0,2,0,0,6,1,0,0,0,0,0,0,1,0,1,1,1,1,22
08:00:00,1,0,0,2,7,5,1,2,1,0,5,0,2,2,3,0,0,0,7,2,1,2,1,1,0,3,6,0,4,0,3,2,58
09:00:00,1,2,0,2,2,9,4,1,0,0,0,0,1,1,5,1,1,0,12,1,3,1,0,0,3,5,4,1,2,0,3,2,62
10:00:00,0,1,0,2,0,4,5,2,0,0,1,0,0,1,3,0,0,2,9,3,2,1,1,0,1,5,6,4,6,0,3,2,59
11:00:00,0,0,0,4,6,9,4,1,0,0,1,2,3,0,1,0,2,3,10,0,1,3,0,0,3,1,8,3,4,1,3,2,70
12:00:00,0,1,0,1,8,3,0,0,0,1,3,1,5,4,1,0,0,4,11,2,1,2,0,0,2,8,6,7,3,0,3,3,74
13:00:00,1,0,0,1,5,3,0,1,0,1,0,2,0,1,1,0,0,1,8,0,4,1,0,0,1,5,8,4,1,1,2,2,50
14:00:00,1,0,1,3,5,2,1,0,0,0,0,0,2,1,2,0,0,1,9,0,2,5,0,0,1,4,8,4,0,0,2,2,52
15:00:00,2,0,0,0,4,3,0,2,0,0,3,3,2,2,0,1,1,2,9,0,2,0,0,1,0,2,3,3,1,0,2,2,46
16:00:00,1,1,0,1,3,2,2,0,0,0,2,0,1,0,0,1,1,1,3,0,2,1,1,0,1,1,4,3,0,0,1,1,32
17:00:00,2,0,0,1,1,1,1,2,1,0,2,1,2,2,1,1,0,3,2,1,1,2,0,0,1,2,2,1,2,2,2,1,37
18:00:00,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,13
19:00:00,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,6
20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
21:00:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
