,2024-10-01,2024-10-02,2024-10-03,2024-10-04,2024-10-05,2024-10-06,2024-10-07,2024-10-08,2024-10-09,2024-10-10,2024-10-11,2024-10-12,2024-10-13,2024-10-14,2024-10-15,2024-10-16,2024-10-17,2024-10-18,2024-10-19,2024-10-20,2024-10-21,2024-10-22,2024-10-23,2024-10-24,2024-10-25,2024-10-26,2024-10-27,2024-10-28,2024-10-29,2024-10-30,2024-10-31,Workday,7 Day,Count
00:00:00,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4
05:00:00,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
06:00:00,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,1,2,3,1,0,14
07:00:00,0,1,0,1,0,0,1,0,0,1,1,1,1,0,3,0,0,2,0,0,2,2,0,0,0,1,0,0,0,3,0,1,1,20
08:00:00,3,3,3,3,0,0,8,2,3,1,3,1,0,4,3,6,0,0,0,0,2,2,5,2,1,0,0,0,3,9,1,3,2,68
09:00:00,1,1,0,3,0,0,6,2,3,0,0,3,1,4,3,2,3,3,0,0,2,1,1,0,2,0,0,1,1,3,1,2,1,47
10:00:00,0,0,0,2,0,0,8,3,2,1,2,0,0,3,1,2,1,1,1,0,0,2,1,2,2,0,0,0,2,2,1,2,1,39
11:00:00,2,1,0,1,1,0,8,1,3,3,1,1,0,1,0,1,2,0,2,0,3,3,0,5,1,2,0,0,5,1,2,2,2,50
12:00:00,2,0,4,2,0,0,4,1,0,1,1,0,0,0,0,0,3,4,2,0,2,1,0,0,2,0,0,0,3,3,1,1,1,36
13:00:00,2,2,2,1,0,1,5,1,3,3,1,0,0,1,3,1,0,1,0,0,1,2,3,1,2,1,0,1,0,3,1,2,1,42
14:00:00,0,1,3,0,0,0,9,0,5,2,0,1,0,3,1,1,2,0,0,0,0,2,3,0,0,0,0,0,1,0,2,2,1,36
15:00:00,0,0,2,1,0,0,7,1,2,0,3,0,0,0,1,1,3,3,2,1,0,1,1,0,1,0,1,0,3,4,1,2,1,39
16:00:00,1,1,1,0,0,0,3,1,0,1,1,0,0,1,0,0,3,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,21
17:00:00,0,2,1,1,0,0,1,2,3,0,2,0,0,1,2,1,2,0,0,0,2,1,1,4,0,0,1,1,0,0,0,1,1,28
18:00:00,2,0,1,0,0,1,0,1,2,0,0,0,1,1,2,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,15
19:00:00,1,0,0,0,0,1,0,0,2,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10
20:00:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,6
21:00:00,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
22:00:00,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,6
23:00:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
