,2024-04-01,2024-04-02,2024-04-03,2024-04-04,2024-04-05,2024-04-06,2024-04-07,2024-04-08,2024-04-09,2024-04-10,2024-04-11,2024-04-12,2024-04-13,2024-04-14,2024-04-15,2024-04-16,2024-04-17,2024-04-18,2024-04-19,2024-04-20,2024-04-21,2024-04-22,2024-04-23,2024-04-24,2024-04-25,2024-04-26,2024-04-27,2024-04-28,2024-04-29,2024-04-30,Workday,7 Day,Count
00:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5
01:00:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
02:00:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
03:00:00,2,2,1,2,1,0,0,1,2,1,2,1,2,0,1,2,1,2,1,1,0,1,2,1,1,1,1,0,1,2,1,1,35
04:00:00,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9
05:00:00,0,0,1,1,0,1,0,2,2,3,2,0,1,0,1,3,5,2,3,1,0,1,0,2,1,1,0,0,1,2,2,1,36
06:00:00,1,8,8,5,5,1,0,4,6,5,3,6,1,0,3,7,6,3,6,1,0,4,4,5,3,4,2,0,3,2,5,3,106
07:00:00,0,4,7,7,11,1,0,9,4,7,3,6,3,2,8,8,5,10,4,3,1,4,11,9,10,11,3,3,10,8,7,6,172
08:00:00,3,6,6,9,11,2,0,8,10,9,8,12,0,0,8,15,9,14,8,3,2,12,11,8,12,7,1,0,9,9,9,7,212
09:00:00,0,12,10,13,16,0,3,15,12,13,10,11,3,3,11,12,13,11,9,3,3,12,11,13,13,9,2,1,8,7,11,8,259
10:00:00,1,6,9,3,11,6,3,8,8,9,9,9,2,1,15,10,10,11,11,1,1,12,16,10,11,7,5,0,6,12,9,7,223
11:00:00,0,7,7,8,18,3,0,7,7,11,8,6,3,0,12,13,13,15,13,5,0,22,11,4,10,15,8,2,5,5,10,8,238
12:00:00,2,16,9,7,11,3,0,5,7,9,15,8,1,1,11,5,5,14,8,3,2,11,12,11,8,15,2,9,13,8,10,8,231
13:00:00,2,3,6,8,9,2,4,2,10,6,8,7,2,0,7,5,4,9,15,3,2,9,10,8,6,13,4,2,3,8,7,6,177
14:00:00,2,7,14,9,14,4,3,4,11,10,7,12,2,0,7,7,16,4,7,1,1,11,7,6,11,17,0,2,7,4,9,7,207
15:00:00,0,9,7,9,2,3,0,7,12,12,13,7,1,1,8,14,9,11,11,3,2,12,10,11,17,15,0,2,8,7,10,7,223
16:00:00,3,8,5,2,4,3,2,6,6,10,6,3,3,0,7,6,7,2,3,4,3,3,11,6,9,1,1,0,7,7,6,5,138
17:00:00,0,0,2,2,5,0,1,3,3,3,2,2,0,1,4,4,2,5,1,0,0,0,5,4,1,1,2,3,2,3,2,2,61
18:00:00,0,2,0,1,1,2,1,0,2,1,5,0,1,2,2,1,2,5,0,1,0,3,3,4,1,1,0,2,2,3,2,2,48
19:00:00,0,1,1,0,1,0,5,3,2,2,0,0,0,0,1,1,1,1,0,0,2,0,6,3,2,2,1,0,2,0,1,1,37
20:00:00,0,1,1,0,1,0,0,1,1,2,0,1,0,0,1,0,2,0,0,0,2,2,4,1,0,1,1,1,2,2,1,1,27
21:00:00,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,1,2,0,0,0,0,0,0,0,13
22:00:00,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
23:00:00,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6
