,2024-08-01,2024-08-02,2024-08-03,2024-08-04,2024-08-05,2024-08-06,2024-08-07,2024-08-08,2024-08-09,2024-08-10,2024-08-11,2024-08-12,2024-08-13,2024-08-14,2024-08-15,2024-08-16,2024-08-17,2024-08-18,2024-08-19,2024-08-20,2024-08-21,2024-08-22,2024-08-23,2024-08-24,2024-08-25,2024-08-26,2024-08-27,2024-08-28,2024-08-29,2024-08-30,2024-08-31,Workday,7 Day,Count
00:00:00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3
02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2
03:00:00,2,2,1,0,2,2,1,2,1,2,0,1,2,1,2,1,1,1,1,2,1,2,1,1,0,1,2,2,2,0,1,2,1,40
04:00:00,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,1,0,2,0,0,0,0,10
05:00:00,4,2,3,0,0,1,3,2,1,0,0,4,2,4,4,1,1,0,1,1,2,2,1,0,0,1,2,3,4,3,0,2,2,52
06:00:00,1,12,3,0,0,4,6,5,8,2,0,4,9,5,4,8,0,0,3,7,4,3,4,4,0,3,3,4,4,8,2,5,4,120
07:00:00,11,8,3,1,0,7,7,7,12,3,1,8,11,3,6,9,4,0,10,10,16,8,13,2,0,9,10,10,9,8,3,9,7,209
08:00:00,6,9,1,1,4,9,9,7,8,3,1,15,9,11,6,9,6,2,9,14,8,11,9,1,2,9,12,12,8,10,5,9,7,226
09:00:00,13,14,1,1,0,14,11,8,13,2,2,9,20,12,8,11,6,3,10,11,15,10,15,2,2,11,16,8,8,11,0,11,9,267
10:00:00,3,16,0,1,1,8,8,11,7,0,1,14,13,15,13,10,7,3,7,9,13,17,8,0,3,11,11,11,10,9,0,10,8,240
11:00:00,3,8,0,0,0,5,14,6,9,1,0,9,11,7,6,14,4,0,10,8,7,6,5,3,1,14,13,3,6,6,1,8,6,180
12:00:00,9,9,3,0,0,15,5,9,4,0,1,7,5,9,9,8,2,0,13,7,8,10,5,4,1,4,11,6,7,12,2,8,6,185
13:00:00,6,6,0,1,1,2,1,6,4,2,0,5,4,7,6,8,3,1,11,5,16,13,9,2,0,6,6,6,6,8,2,6,5,153
14:00:00,5,9,1,1,2,5,5,5,9,1,2,6,12,9,12,8,1,2,12,4,8,10,10,2,1,15,4,9,3,6,2,8,6,181
15:00:00,8,6,1,0,0,10,5,8,9,1,0,11,4,6,7,8,1,2,10,9,9,7,9,0,2,6,4,4,5,5,1,7,5,158
16:00:00,4,3,3,0,0,5,5,3,4,2,3,3,5,1,6,5,4,3,9,7,3,6,8,2,0,7,2,1,5,3,2,4,4,114
17:00:00,1,0,0,1,0,4,1,2,5,1,1,2,3,6,1,1,2,0,2,1,0,3,5,2,2,3,2,1,4,1,0,2,2,57
18:00:00,1,1,1,2,1,0,3,1,0,0,2,0,2,2,1,2,0,1,2,2,1,2,0,0,0,2,2,2,1,0,2,1,1,36
19:00:00,1,0,0,2,1,0,2,0,3,0,3,2,2,1,0,3,0,0,2,4,2,1,2,1,1,3,1,3,1,0,2,2,1,43
20:00:00,3,3,1,0,0,2,2,1,0,2,0,3,3,3,1,1,1,0,0,1,0,2,1,2,0,2,4,0,1,0,0,2,1,39
21:00:00,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,7
22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,6
23:00:00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3
