,2024-12-01,2024-12-02,2024-12-03,2024-12-04,2024-12-05,2024-12-06,2024-12-07,2024-12-08,2024-12-09,2024-12-10,2024-12-11,2024-12-12,2024-12-13,2024-12-14,2024-12-15,2024-12-16,2024-12-17,2024-12-18,2024-12-19,2024-12-20,2024-12-21,2024-12-22,2024-12-23,2024-12-24,2024-12-25,2024-12-26,2024-12-27,2024-12-28,2024-12-29,2024-12-30,2024-12-31,Workday,7 Day,Count
00:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4
03:00:00,0,1,2,1,2,1,0,0,1,2,2,2,1,1,0,1,2,1,2,1,1,0,1,2,0,0,1,1,0,1,2,1,1,32
04:00:00,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,12
05:00:00,0,2,2,2,3,1,0,0,1,1,5,1,0,0,0,3,1,1,3,1,1,0,4,1,0,0,1,1,0,2,0,2,1,37
06:00:00,0,3,5,8,5,9,2,0,6,6,9,6,3,3,1,2,8,6,6,5,2,0,4,3,0,2,1,1,0,2,5,5,4,113
07:00:00,0,5,10,10,7,10,3,4,3,9,11,9,10,1,0,8,12,11,4,7,5,2,2,1,0,1,2,3,1,5,6,6,5,162
08:00:00,2,11,9,11,9,14,3,0,9,13,13,10,9,2,1,12,8,12,13,11,2,2,2,5,0,1,2,3,3,1,5,8,6,198
09:00:00,2,13,10,8,11,8,1,0,12,14,14,10,12,3,2,11,8,8,10,7,3,1,2,2,0,1,2,3,1,2,1,8,6,182
10:00:00,0,5,4,8,4,9,3,0,9,6,11,13,3,3,1,11,6,13,15,5,3,1,3,2,2,0,0,2,1,2,1,6,5,146
11:00:00,1,6,5,11,10,8,1,1,5,4,13,11,11,1,1,5,5,6,8,9,5,3,4,1,0,0,0,1,2,4,1,6,5,143
12:00:00,2,6,4,6,10,13,1,2,11,10,11,7,11,3,1,9,11,9,11,14,1,1,0,1,0,2,3,0,2,2,0,7,5,164
13:00:00,0,5,5,4,7,4,1,0,15,4,13,9,9,1,2,4,10,8,6,2,3,2,0,1,0,0,2,3,0,2,1,5,4,123
14:00:00,1,10,2,4,11,3,1,0,14,7,10,11,8,4,2,10,9,10,13,5,2,2,2,0,0,2,1,4,1,2,1,6,5,152
15:00:00,1,8,7,4,8,6,2,1,9,7,8,10,5,0,0,13,11,11,13,1,1,2,4,0,0,0,0,0,0,1,0,6,4,133
16:00:00,1,3,4,1,3,3,4,0,4,2,2,8,4,1,2,4,5,6,8,1,1,0,1,2,0,0,4,1,1,3,0,3,3,79
17:00:00,3,1,2,2,2,2,0,1,1,1,2,4,2,0,0,8,3,1,2,1,0,0,1,0,0,0,0,1,1,6,2,2,2,49
18:00:00,2,1,1,2,1,2,0,0,1,1,2,1,1,1,1,1,1,1,1,0,0,1,1,0,0,2,1,0,3,1,1,1,1,31
19:00:00,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,2,1,0,0,1,2,1,0,3,0,1,1,19
20:00:00,2,1,2,2,3,2,0,1,3,3,2,1,1,3,0,3,0,2,2,2,0,2,0,0,0,1,3,1,0,4,1,2,2,47
21:00:00,1,1,0,1,0,0,1,0,0,1,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,12
22:00:00,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,9
23:00:00,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
