,2024-02-01,2024-02-02,2024-02-03,2024-02-04,2024-02-05,2024-02-06,2024-02-07,2024-02-08,2024-02-09,2024-02-10,2024-02-11,2024-02-12,2024-02-13,2024-02-14,2024-02-15,2024-02-16,2024-02-17,2024-02-18,2024-02-19,2024-02-20,2024-02-21,2024-02-22,2024-02-23,2024-02-24,2024-02-25,2024-02-26,2024-02-27,2024-02-28,2024-02-29,Workday,7 Day,Count
00:00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3
01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
03:00:00,2,2,1,0,2,1,2,2,1,1,0,2,2,1,2,1,1,0,1,2,1,2,1,1,0,1,2,1,1,2,1,36
04:00:00,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,9
05:00:00,2,3,3,0,0,2,3,3,3,0,0,2,2,3,5,2,0,0,1,1,4,0,1,2,0,0,0,7,2,2,2,51
06:00:00,2,8,6,0,0,6,5,0,3,2,0,0,6,4,4,5,1,0,4,6,5,3,5,3,0,5,6,2,5,4,3,96
07:00:00,6,9,3,1,0,9,4,4,6,4,1,6,8,9,9,11,1,0,5,7,5,8,9,3,3,6,6,10,13,7,6,166
08:00:00,9,16,1,2,2,8,6,4,10,2,0,6,11,12,9,9,0,4,10,6,10,10,11,4,1,14,9,8,8,9,7,202
09:00:00,6,13,1,1,3,15,10,14,19,7,2,9,10,12,7,7,3,1,6,10,4,6,12,2,0,10,13,13,14,10,8,230
10:00:00,12,3,2,1,1,13,12,14,10,3,2,1,11,14,10,7,0,1,12,17,10,7,8,6,0,6,14,10,11,10,7,218
11:00:00,20,4,6,0,0,8,10,8,12,3,2,6,9,6,9,7,2,0,10,15,8,3,7,1,3,10,8,11,20,9,7,208
12:00:00,13,9,2,0,0,8,4,8,10,2,1,5,2,10,8,10,1,3,8,12,5,4,8,4,0,9,11,5,3,7,6,165
13:00:00,8,10,3,0,2,9,6,3,13,0,4,8,6,10,11,10,0,3,7,6,1,10,12,2,0,6,9,8,11,8,6,178
14:00:00,11,8,1,1,1,10,4,3,12,3,1,3,6,9,7,10,1,0,3,6,2,8,10,5,0,8,9,9,10,7,5,161
15:00:00,14,8,0,3,2,10,4,9,6,1,3,9,10,7,8,10,1,1,13,13,11,10,16,2,3,13,4,6,11,9,7,208
16:00:00,5,4,0,1,0,5,9,4,3,2,3,4,6,3,3,7,2,2,4,12,4,6,3,2,0,1,4,6,10,5,4,115
17:00:00,5,1,0,1,0,2,9,3,5,0,1,3,7,1,4,1,0,0,4,8,2,0,6,4,0,7,1,3,6,4,3,84
18:00:00,2,3,1,0,2,1,2,2,2,1,1,2,2,6,1,3,1,1,2,3,1,5,4,1,1,2,0,2,4,2,2,58
19:00:00,0,1,0,0,0,0,3,1,1,0,0,2,0,1,3,2,0,0,0,2,1,2,0,0,0,1,0,1,2,1,1,23
20:00:00,1,0,1,0,0,1,2,2,1,2,0,0,0,2,1,2,0,0,1,0,2,0,1,1,0,2,0,2,0,1,1,24
21:00:00,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,10
22:00:00,0,0,0,2,1,0,0,3,0,0,1,0,1,2,1,0,0,1,0,1,1,0,0,0,1,0,0,0,2,1,1,17
23:00:00,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5
