,2023-01-01,2023-01-02,2023-01-03,2023-01-04,2023-01-05,2023-01-06,2023-01-07,2023-01-08,2023-01-09,2023-01-10,2023-01-11,2023-01-12,2023-01-13,2023-01-14,2023-01-15,2023-01-16,2023-01-17,2023-01-18,2023-01-19,2023-01-20,2023-01-21,2023-01-22,2023-01-23,2023-01-24,2023-01-25,2023-01-26,2023-01-27,2023-01-28,2023-01-29,2023-01-30,2023-01-31,Workday,7 Day,Count
00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
03:00:00,0,1,2,1,4,1,1,0,1,1,1,1,1,3,0,1,2,0,2,1,1,0,2,1,1,3,1,1,0,1,2,1,1,37
04:00:00,0,0,2,2,2,2,0,0,1,3,1,5,0,0,1,1,0,3,1,1,0,0,1,1,1,3,2,0,0,3,2,2,1,38
05:00:00,0,1,1,3,1,1,0,0,2,2,3,3,1,2,0,2,2,3,2,1,0,0,3,1,4,1,3,0,0,1,1,2,1,44
06:00:00,0,1,2,2,3,4,2,0,3,7,3,5,7,1,0,5,0,1,1,6,0,0,4,8,1,1,6,2,0,2,5,4,3,82
07:00:00,0,0,8,3,5,15,6,0,4,4,5,8,12,4,0,2,7,8,6,5,4,0,8,7,5,6,7,2,1,7,3,6,5,152
08:00:00,0,1,7,2,7,25,7,0,10,7,13,12,16,1,0,9,7,8,13,8,2,2,11,8,11,14,12,2,3,13,8,10,8,239
09:00:00,2,3,7,5,4,19,5,1,11,3,6,9,8,2,3,9,7,12,9,13,2,0,10,14,5,9,10,1,2,10,12,9,7,213
10:00:00,1,0,10,9,1,23,6,2,13,9,6,8,3,2,0,7,11,16,14,5,2,0,9,14,6,9,12,3,0,10,10,9,7,221
11:00:00,0,0,5,11,6,18,4,0,13,9,7,6,6,3,0,4,10,13,11,5,1,1,15,7,3,7,6,0,1,6,7,8,6,185
12:00:00,1,1,4,7,5,16,4,0,10,10,13,8,8,3,0,8,6,15,8,5,3,0,7,10,13,6,9,0,0,8,11,9,6,199
13:00:00,0,0,3,8,4,7,2,0,6,6,6,8,3,2,1,2,7,10,7,9,1,2,8,6,9,4,11,1,2,5,8,6,5,148
14:00:00,0,1,3,6,6,12,4,0,6,5,6,10,11,3,2,4,4,11,4,5,2,0,10,3,8,4,12,3,0,5,6,6,5,156
15:00:00,0,1,0,5,10,9,0,0,3,10,8,5,5,1,4,13,6,5,10,12,4,2,7,4,10,10,7,3,0,5,7,7,5,166
16:00:00,1,0,1,1,0,2,0,1,2,5,5,4,2,3,0,3,4,5,5,3,2,0,4,0,4,3,8,2,3,3,7,3,3,83
17:00:00,0,0,1,1,1,1,0,1,2,3,2,5,3,2,1,3,0,2,4,1,1,0,1,1,1,4,1,2,1,5,0,2,2,50
18:00:00,0,0,0,0,1,2,1,0,3,3,0,3,1,1,0,1,0,0,0,1,0,1,3,0,1,2,1,0,1,1,3,1,1,30
19:00:00,3,0,0,0,1,0,0,0,0,3,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,15
20:00:00,1,0,0,1,1,1,0,1,2,1,0,1,1,0,2,1,1,1,1,0,0,2,0,0,1,0,1,0,0,0,0,1,1,20
21:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6
22:00:00,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
23:00:00,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
