,2024-07-01,2024-07-02,2024-07-03,2024-07-04,2024-07-05,2024-07-06,2024-07-07,2024-07-08,2024-07-09,2024-07-10,2024-07-11,2024-07-12,2024-07-13,2024-07-14,2024-07-15,2024-07-16,2024-07-17,2024-07-18,2024-07-19,2024-07-20,2024-07-21,2024-07-22,2024-07-23,2024-07-24,2024-07-25,2024-07-26,2024-07-27,2024-07-28,2024-07-29,2024-07-30,2024-07-31,Workday,7 Day,Count
00:00:00,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
01:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
02:00:00,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
03:00:00,2,1,3,3,1,1,0,1,2,2,1,1,1,0,1,2,1,2,1,1,0,1,2,1,1,1,1,0,1,2,1,1,1,38
04:00:00,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,9
05:00:00,1,2,2,1,1,0,0,2,3,3,2,0,1,0,1,2,1,3,1,0,0,0,2,2,1,4,0,0,0,3,4,2,1,42
06:00:00,5,8,10,8,5,2,0,5,5,5,4,7,1,0,4,4,6,5,8,4,0,2,1,6,2,6,2,1,8,7,8,6,4,139
07:00:00,4,13,3,7,7,6,4,10,5,9,6,17,4,3,10,6,9,6,11,3,0,6,15,8,5,8,6,0,7,17,9,9,7,224
08:00:00,13,20,13,10,9,1,2,9,10,13,13,22,8,3,5,12,13,12,13,5,2,11,11,11,14,7,6,1,11,9,8,12,9,297
09:00:00,9,21,12,10,9,8,1,7,17,9,11,9,3,1,12,13,14,11,12,3,1,7,12,6,8,9,4,5,15,11,8,11,9,278
10:00:00,9,14,11,14,7,2,1,6,9,9,13,8,1,2,9,4,15,10,5,3,0,5,9,5,5,5,4,4,4,5,5,8,6,203
11:00:00,7,16,13,15,4,2,1,7,9,11,13,9,5,2,5,9,7,12,6,0,2,1,8,7,3,9,2,1,5,7,4,8,6,202
12:00:00,9,7,4,8,9,1,2,5,9,5,8,10,2,3,4,10,5,10,13,2,2,5,8,5,8,5,1,0,5,8,6,7,6,179
13:00:00,3,10,6,9,8,2,1,5,10,8,5,8,3,3,5,12,9,9,5,1,0,2,3,1,12,4,1,1,7,6,3,7,5,162
14:00:00,12,8,12,8,6,0,0,7,6,7,2,7,0,0,6,4,3,5,8,2,0,5,8,3,5,4,3,1,6,9,4,6,5,151
15:00:00,6,5,5,11,7,1,1,4,10,7,4,7,1,0,3,6,7,6,8,2,0,3,12,9,8,8,1,2,4,8,2,7,5,158
16:00:00,4,8,8,10,3,2,1,3,5,4,7,4,2,3,2,6,8,3,2,3,0,3,1,4,3,3,2,0,1,3,2,4,3,110
17:00:00,3,2,3,1,1,2,1,2,2,5,2,4,2,1,2,4,2,3,2,7,0,3,2,5,3,3,1,0,3,4,1,3,2,76
18:00:00,2,2,3,0,2,2,1,3,1,5,3,2,1,1,1,0,4,4,2,0,2,1,0,3,2,0,2,1,1,1,1,2,2,53
19:00:00,1,3,1,1,0,0,0,0,1,1,3,1,0,0,0,3,1,1,1,0,0,0,0,1,3,1,0,1,0,1,2,1,1,27
20:00:00,0,2,2,1,2,1,3,2,0,1,4,2,1,1,1,2,1,2,2,2,0,1,1,2,2,2,2,1,1,2,1,2,2,47
21:00:00,0,0,0,0,1,0,2,1,2,1,0,0,0,1,0,0,0,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,14
22:00:00,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,2,0,0,11
23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
