,2024-06-01,2024-06-02,2024-06-03,2024-06-04,2024-06-05,2024-06-06,2024-06-07,2024-06-08,2024-06-09,2024-06-10,2024-06-11,2024-06-12,2024-06-13,2024-06-14,2024-06-15,2024-06-16,2024-06-17,2024-06-18,2024-06-19,2024-06-20,2024-06-21,2024-06-22,2024-06-23,2024-06-24,2024-06-25,2024-06-26,2024-06-27,2024-06-28,2024-06-29,2024-06-30,Workday,7 Day,Count
00:00:00,0,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7
01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
03:00:00,1,0,2,1,1,2,1,1,0,1,2,2,2,1,1,0,1,2,1,2,1,1,0,1,2,1,2,1,1,0,1,1,34
04:00:00,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,1,1,2,0,0,0,0,0,0,1,1,0,0,0,11
05:00:00,2,0,0,4,4,3,1,1,0,2,2,1,2,0,0,0,1,3,2,5,2,1,0,1,1,3,2,0,0,0,2,2,43
06:00:00,1,1,2,5,11,3,6,2,0,5,5,8,6,6,1,0,5,9,7,4,4,1,0,3,3,5,2,8,2,0,5,4,115
07:00:00,5,6,1,11,9,12,10,11,2,16,9,13,10,12,5,2,8,18,16,11,13,5,0,7,11,5,8,11,3,1,11,9,251
08:00:00,1,0,0,10,14,8,16,1,0,6,13,18,9,10,3,0,12,8,12,10,10,3,3,6,14,11,8,16,1,1,11,8,224
09:00:00,7,1,3,14,16,11,16,2,1,10,15,11,14,15,2,2,4,20,15,14,10,1,2,9,10,8,9,8,2,2,12,9,254
10:00:00,3,0,0,13,12,6,8,2,2,4,6,15,8,10,2,1,6,17,10,12,5,3,0,11,10,8,4,5,3,3,8,7,189
11:00:00,4,2,1,8,14,5,7,1,0,13,15,11,9,10,2,1,7,6,7,19,8,2,0,15,9,7,14,11,3,3,10,8,214
12:00:00,2,0,0,6,10,7,6,1,2,10,8,8,11,9,2,0,7,10,10,11,4,1,1,10,4,8,9,9,2,1,8,6,169
13:00:00,0,1,1,4,8,10,10,1,3,10,4,11,12,12,1,0,11,7,7,7,10,1,0,6,5,4,6,6,1,3,8,6,162
14:00:00,1,1,0,9,8,5,7,3,0,8,4,4,6,10,1,1,7,12,10,6,5,2,1,2,10,13,3,11,1,0,7,5,151
15:00:00,0,0,0,5,8,10,12,2,3,9,4,11,7,6,3,2,8,11,7,12,5,0,0,2,7,7,4,7,2,1,7,5,155
16:00:00,1,2,0,5,5,7,7,4,2,6,3,2,4,3,1,3,5,4,7,6,7,2,1,2,1,4,3,0,1,2,4,3,100
17:00:00,1,1,0,4,1,2,0,4,0,6,7,1,2,2,2,2,6,2,4,0,1,1,1,2,1,3,3,0,0,1,2,2,60
18:00:00,0,1,2,2,3,0,2,0,1,0,1,4,2,3,0,0,0,4,3,4,0,2,0,1,3,3,5,2,1,0,2,2,49
19:00:00,1,1,0,4,2,0,0,0,2,3,0,2,1,1,2,1,0,1,1,0,0,1,0,1,1,0,3,0,1,3,1,1,32
20:00:00,2,1,0,2,3,0,0,1,0,3,0,1,1,0,3,1,2,0,3,3,2,2,1,0,1,2,1,0,1,1,1,1,37
21:00:00,0,1,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,14
22:00:00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,5
23:00:00,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5
