,2024-05-01,2024-05-02,2024-05-03,2024-05-04,2024-05-05,2024-05-06,2024-05-07,2024-05-08,2024-05-09,2024-05-10,2024-05-11,2024-05-12,2024-05-13,2024-05-14,2024-05-15,2024-05-16,2024-05-17,2024-05-18,2024-05-19,2024-05-20,2024-05-21,2024-05-22,2024-05-23,2024-05-24,2024-05-25,2024-05-26,2024-05-27,2024-05-28,2024-05-29,2024-05-30,2024-05-31,Workday,7 Day,Count
00:00:00,1,0,0,1,0,1,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,4
02:00:00,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7
03:00:00,1,2,1,1,0,3,1,0,2,1,1,0,1,1,3,2,2,1,0,1,2,2,3,1,1,0,0,2,2,2,1,2,1,40
04:00:00,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8
05:00:00,3,1,2,1,0,0,2,3,1,1,0,0,0,0,4,2,0,0,0,1,2,3,2,1,2,0,1,0,3,4,1,2,1,40
06:00:00,5,4,5,1,0,2,6,8,5,7,5,0,3,6,8,4,3,0,0,5,7,7,6,5,4,0,3,9,8,8,4,6,4,138
07:00:00,7,4,9,2,0,2,8,4,6,7,5,2,13,10,9,6,11,5,0,11,5,7,10,8,3,2,2,8,8,5,12,7,6,191
08:00:00,13,5,14,0,1,1,10,11,10,14,3,0,13,12,17,10,10,8,2,20,8,9,12,13,5,1,14,7,12,11,7,11,9,273
09:00:00,18,6,13,1,4,3,9,16,10,9,5,2,17,11,7,11,8,2,2,9,7,12,11,15,2,2,12,10,11,8,15,11,8,268
10:00:00,11,6,11,3,3,3,8,15,12,10,6,1,11,10,12,4,14,2,2,12,15,13,7,5,2,1,5,15,8,9,12,10,8,248
11:00:00,13,7,8,2,0,1,8,8,10,13,5,0,13,11,9,9,10,2,3,7,7,7,8,5,3,2,5,8,8,5,15,8,7,212
12:00:00,9,6,5,6,0,1,12,18,4,19,3,2,16,13,5,8,7,1,2,8,8,5,8,10,1,1,5,7,7,5,10,9,7,212
13:00:00,9,5,7,2,0,1,6,7,11,15,5,1,7,7,4,6,8,3,0,10,9,5,3,7,0,0,5,5,3,8,5,7,5,164
14:00:00,7,12,7,3,1,2,7,11,11,11,2,1,7,7,9,13,10,1,2,7,7,5,4,7,2,1,10,6,5,6,7,8,6,191
15:00:00,10,13,6,2,0,1,12,13,9,10,0,2,3,8,9,7,8,1,4,6,9,13,4,8,0,1,10,6,7,5,4,8,6,191
16:00:00,3,2,5,3,1,0,11,7,5,4,2,1,8,3,5,6,5,0,1,7,5,11,5,3,2,1,3,3,9,6,4,5,4,131
17:00:00,3,2,3,1,0,0,5,5,6,1,1,0,0,3,5,4,3,0,0,3,6,3,5,4,0,0,3,2,1,4,5,3,2,78
18:00:00,2,2,2,1,0,0,2,1,1,0,4,1,1,4,1,2,2,0,3,0,1,4,1,2,1,0,0,1,1,3,1,1,1,44
19:00:00,1,0,1,1,0,0,6,1,1,0,0,0,0,0,6,2,2,0,0,2,1,1,0,0,2,1,2,0,0,0,2,1,1,32
20:00:00,3,0,0,0,0,1,2,3,0,0,0,2,2,2,1,2,1,1,0,0,0,3,3,2,1,2,1,2,2,3,0,1,1,39
21:00:00,0,0,1,0,1,0,1,0,2,0,0,3,1,0,0,1,0,0,4,0,0,1,2,0,0,1,0,1,0,2,1,1,1,22
22:00:00,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,6
23:00:00,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4
