,2023-09-01,2023-09-02,2023-09-03,2023-09-04,2023-09-05,2023-09-06,2023-09-07,2023-09-08,2023-09-09,2023-09-10,2023-09-11,2023-09-12,2023-09-13,2023-09-14,2023-09-15,2023-09-16,2023-09-17,2023-09-18,2023-09-19,2023-09-20,2023-09-21,2023-09-22,2023-09-23,2023-09-24,2023-09-25,2023-09-26,2023-09-27,2023-09-28,2023-09-29,2023-09-30,Workday,7 Day,Count
00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
01:00:00,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,4,0,0,0,0,0,1,0,0,0,0,9
03:00:00,1,1,0,1,2,1,2,2,1,0,1,2,1,2,1,1,0,1,2,1,1,3,1,0,1,3,1,3,1,1,2,1,38
04:00:00,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,6
05:00:00,1,2,0,0,1,3,2,2,1,0,3,1,1,2,0,1,0,1,1,3,1,1,1,0,1,0,4,1,0,1,1,1,35
06:00:00,7,3,0,3,6,8,7,7,2,0,6,5,4,2,7,1,0,2,5,4,2,5,1,0,3,6,9,6,7,5,5,4,123
07:00:00,12,3,0,7,1,5,5,9,5,2,12,7,8,9,7,2,0,7,5,14,9,11,9,0,5,10,9,7,14,5,8,7,199
08:00:00,9,4,2,10,7,12,10,9,2,2,6,7,9,6,9,3,4,4,12,7,9,10,2,1,6,15,9,8,9,2,9,7,205
09:00:00,8,5,1,9,10,13,14,9,8,2,14,11,12,11,9,5,3,5,8,11,8,5,7,3,8,15,11,11,6,1,10,8,243
10:00:00,11,1,1,4,7,7,12,6,2,0,10,12,8,10,8,4,1,7,9,8,7,5,1,0,8,11,10,8,10,3,8,6,191
11:00:00,4,4,1,10,7,9,7,10,2,2,6,18,6,7,6,4,1,3,10,7,14,5,4,2,6,8,7,3,11,1,8,6,185
12:00:00,4,3,0,4,7,7,7,7,5,0,10,6,4,10,9,2,0,8,10,10,11,5,7,2,5,17,8,6,10,1,8,6,185
13:00:00,10,1,1,8,4,6,11,4,1,1,10,4,5,4,5,4,1,4,14,12,8,6,4,0,7,11,9,6,10,0,8,6,171
14:00:00,6,0,0,4,9,8,8,7,0,0,9,7,15,11,6,2,1,10,9,10,8,6,2,2,5,8,11,8,7,2,8,6,181
15:00:00,8,1,0,8,15,9,12,6,1,1,14,15,8,10,11,0,1,9,9,14,6,8,1,1,11,4,8,12,9,0,10,7,212
16:00:00,6,1,0,3,5,12,4,5,2,1,4,3,4,4,5,2,0,10,6,9,3,9,0,3,4,5,4,3,4,1,5,4,122
17:00:00,2,0,0,3,4,2,7,2,0,0,3,4,4,3,1,3,1,3,1,2,0,4,1,0,0,0,8,5,3,0,3,2,66
18:00:00,3,1,1,0,2,1,2,0,1,2,3,4,2,3,0,0,1,0,1,2,3,3,0,2,0,3,1,2,2,0,2,2,45
19:00:00,1,1,0,0,1,4,1,1,2,2,1,1,2,2,0,1,0,0,1,2,4,1,0,2,2,0,4,2,1,1,1,1,40
20:00:00,2,0,0,1,1,4,1,1,1,0,1,1,2,1,0,2,1,0,2,4,4,1,3,1,2,2,2,0,1,2,2,1,43
21:00:00,1,0,1,0,0,1,2,2,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0,0,2,0,0,1,1,17
22:00:00,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,9
23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,5
