,2023-04-01,2023-04-02,2023-04-03,2023-04-04,2023-04-05,2023-04-06,2023-04-07,2023-04-08,2023-04-09,2023-04-10,2023-04-11,2023-04-12,2023-04-13,2023-04-14,2023-04-15,2023-04-16,2023-04-17,2023-04-18,2023-04-19,2023-04-20,2023-04-21,2023-04-22,2023-04-23,2023-04-24,2023-04-25,2023-04-26,2023-04-27,2023-04-28,2023-04-29,2023-04-30,Workday,7 Day,Count
00:00:00,8,7,4,4,3,3,5,5,10,2,1,4,4,3,6,8,2,3,2,3,3,6,7,0,0,2,4,5,7,10,3,4,131
01:00:00,17,16,0,1,2,2,10,7,9,3,2,1,2,4,8,13,6,1,1,2,9,8,6,1,2,2,3,5,3,8,3,5,154
02:00:00,9,14,4,2,2,3,10,11,8,13,1,1,3,3,5,9,1,3,2,3,0,5,13,0,1,5,5,4,6,10,3,5,156
03:00:00,10,6,8,3,2,5,10,7,8,6,3,6,1,6,5,13,3,2,3,3,5,5,7,5,4,3,0,4,4,6,4,5,153
04:00:00,4,2,4,5,4,7,6,7,1,6,6,3,7,5,5,2,5,5,6,8,4,4,3,5,7,3,8,4,4,2,5,5,142
05:00:00,4,5,10,5,5,8,6,7,4,1,6,10,7,7,3,2,7,7,9,7,11,7,1,9,5,15,8,10,5,3,8,7,194
06:00:00,12,4,26,32,28,36,22,9,5,5,24,33,37,36,16,7,28,28,33,36,30,9,9,33,34,26,20,34,12,4,29,23,668
07:00:00,39,11,79,67,72,83,71,30,7,11,68,66,64,64,28,6,65,61,76,63,73,25,12,79,76,66,81,85,26,4,68,54,1558
08:00:00,29,14,68,62,85,77,51,33,13,11,68,76,85,55,46,16,64,73,73,82,62,37,16,73,80,86,72,74,37,18,69,57,1636
09:00:00,24,19,83,70,62,55,53,32,7,25,71,64,66,67,45,21,73,75,79,58,59,46,24,75,95,81,76,83,40,11,68,57,1639
10:00:00,30,22,58,70,66,59,56,36,14,19,57,61,72,62,34,18,59,60,78,61,61,41,25,59,73,72,65,64,41,24,62,52,1517
11:00:00,44,26,63,57,64,59,65,39,30,21,64,66,70,56,63,24,67,55,73,60,79,67,32,47,55,72,59,64,61,29,61,55,1631
12:00:00,53,35,68,61,74,59,58,39,25,28,79,65,58,54,44,31,64,61,75,79,55,49,44,71,54,52,70,57,41,25,62,55,1628
13:00:00,34,35,56,45,51,53,54,42,24,31,68,69,47,56,47,30,48,56,61,53,58,35,34,67,74,57,62,58,48,23,56,50,1476
14:00:00,43,24,47,56,59,57,44,40,27,21,61,60,66,71,48,25,73,61,57,78,65,25,30,55,58,81,58,63,38,29,60,52,1520
15:00:00,41,25,60,61,67,65,62,44,27,28,70,77,61,75,39,28,77,79,76,65,79,44,25,63,74,73,91,71,36,34,69,59,1717
16:00:00,36,38,58,48,68,69,57,27,22,24,69,71,85,50,49,12,72,68,67,65,59,42,36,69,70,67,66,63,38,22,63,54,1587
17:00:00,29,32,53,50,42,55,45,35,15,20,62,63,54,50,45,39,45,47,51,57,61,45,29,52,63,63,64,49,35,32,52,47,1382
18:00:00,31,30,35,37,52,34,29,18,22,22,32,36,40,31,28,19,29,46,31,52,28,28,30,33,37,29,42,31,29,23,35,33,964
19:00:00,36,19,16,35,28,39,25,26,26,25,22,31,39,24,31,18,39,38,29,37,35,36,22,32,35,31,39,39,18,26,32,30,896
20:00:00,19,22,19,25,25,12,24,15,9,14,22,28,35,27,16,19,26,28,23,34,19,21,23,28,24,24,21,22,22,23,24,23,669
21:00:00,26,20,17,17,28,26,15,8,10,15,22,13,23,16,13,8,26,13,24,17,20,13,12,23,25,7,17,22,12,18,19,18,526
22:00:00,11,8,10,11,13,14,8,11,12,8,13,11,14,15,8,3,12,8,13,11,14,10,14,13,14,11,12,19,11,11,12,12,343
23:00:00,11,4,7,2,6,7,9,10,5,2,5,14,5,7,11,4,6,7,3,4,10,11,6,7,8,9,7,9,12,17,7,7,225
