,2023-11-01,2023-11-02,2023-11-03,2023-11-04,2023-11-05,2023-11-06,2023-11-07,2023-11-08,2023-11-09,2023-11-10,2023-11-11,2023-11-12,2023-11-13,2023-11-14,2023-11-15,2023-11-16,2023-11-17,2023-11-18,2023-11-19,2023-11-20,2023-11-21,2023-11-22,2023-11-23,2023-11-24,2023-11-25,2023-11-26,2023-11-27,2023-11-28,2023-11-29,2023-11-30,Workday,7 Day,Count
00:00:00,13,4,4,7,11,5,3,4,2,7,8,4,4,3,6,7,1,9,10,2,1,4,6,3,8,16,3,3,10,6,5,6,174
01:00:00,12,5,6,3,11,1,2,3,5,1,5,10,2,2,1,1,3,1,21,1,0,1,3,6,1,10,0,1,3,3,3,4,124
02:00:00,12,3,5,4,14,0,1,2,6,3,9,12,3,2,4,2,5,4,17,2,1,4,4,7,3,6,2,1,0,2,3,5,140
03:00:00,4,6,4,6,7,3,4,1,4,4,5,16,2,2,2,5,5,2,10,3,2,3,5,7,12,17,2,2,3,2,3,5,150
04:00:00,3,1,3,9,0,4,3,8,4,4,4,1,3,4,10,4,4,7,1,4,3,8,5,6,8,5,6,4,4,7,5,5,137
05:00:00,12,13,12,5,3,8,15,7,14,12,8,3,8,12,11,14,8,4,0,9,12,6,8,13,7,1,9,13,10,11,11,9,268
06:00:00,32,38,37,7,9,25,26,34,34,30,13,6,33,39,35,37,36,11,6,27,31,26,41,27,8,3,18,28,18,22,31,24,737
07:00:00,81,76,85,25,11,67,92,87,86,78,27,8,72,76,84,79,78,31,6,66,84,83,88,87,33,13,71,88,88,75,80,63,1925
08:00:00,62,65,80,47,18,76,83,78,72,84,36,11,79,82,66,84,74,42,15,65,83,67,77,94,44,12,78,67,70,86,76,62,1897
09:00:00,74,71,70,52,30,79,71,87,76,70,50,23,90,63,79,83,71,40,13,69,75,87,72,81,48,9,90,55,70,78,76,63,1926
10:00:00,72,52,62,49,24,71,65,71,91,73,53,26,77,78,68,79,59,51,28,58,71,62,64,57,48,25,81,66,77,72,69,60,1830
11:00:00,51,65,77,47,35,79,57,69,52,73,52,25,54,76,72,81,76,46,29,73,69,59,59,73,57,34,76,79,52,62,67,60,1809
12:00:00,64,43,63,55,44,58,80,71,77,71,48,36,62,54,74,61,81,51,28,78,72,53,70,79,53,27,69,65,67,77,68,61,1831
13:00:00,67,63,55,43,32,68,51,62,71,63,46,29,49,64,72,63,75,44,35,71,64,72,58,55,59,33,62,66,75,84,65,58,1751
14:00:00,51,71,66,43,39,73,60,81,71,62,37,25,60,62,86,62,66,48,41,61,72,66,63,72,38,33,53,69,83,83,68,59,1797
15:00:00,69,81,71,40,21,74,66,72,90,63,34,25,69,85,71,73,68,52,35,80,79,85,89,83,43,27,74,84,75,93,77,65,1971
16:00:00,56,72,70,39,36,77,60,69,83,82,35,35,78,73,73,75,68,30,29,83,66,93,73,60,40,36,67,71,44,86,72,61,1859
17:00:00,52,43,52,51,21,46,61,60,54,54,48,24,49,54,54,49,49,45,38,58,68,61,62,60,38,36,54,64,62,50,55,50,1517
18:00:00,36,38,28,22,27,41,48,49,46,39,27,25,33,39,41,33,37,32,31,34,44,44,40,28,36,32,31,36,35,37,38,35,1069
19:00:00,31,33,23,24,18,26,37,29,31,17,29,17,22,29,35,38,28,24,22,42,30,39,36,25,31,30,27,23,32,43,31,29,871
20:00:00,19,17,26,17,11,18,32,18,28,23,28,12,23,25,29,29,28,21,18,30,26,24,25,23,20,12,24,27,23,19,24,22,675
21:00:00,8,13,11,11,9,11,13,17,19,18,9,10,9,15,17,21,17,9,18,14,18,18,17,19,19,8,15,24,26,21,16,15,454
22:00:00,8,16,14,8,6,8,12,6,9,16,13,6,14,10,12,17,6,12,6,7,9,12,6,16,17,12,12,13,9,21,12,11,333
23:00:00,5,4,4,15,2,3,7,9,8,8,7,2,5,6,3,10,11,15,3,3,6,4,7,13,14,8,2,9,12,15,7,7,220
