,2024-08-01,2024-08-02,2024-08-03,2024-08-04,2024-08-05,2024-08-06,2024-08-07,2024-08-08,2024-08-09,2024-08-10,2024-08-11,2024-08-12,2024-08-13,2024-08-14,2024-08-15,2024-08-16,2024-08-17,2024-08-18,2024-08-19,2024-08-20,2024-08-21,2024-08-22,2024-08-23,2024-08-24,2024-08-25,2024-08-26,2024-08-27,2024-08-28,2024-08-29,2024-08-30,2024-08-31,Workday,7 Day,Count
00:00:00,1,4,12,11,6,3,6,4,3,11,14,6,3,3,6,7,5,7,10,3,3,6,3,12,10,3,3,2,4,2,7,4,6,180
01:00:00,4,2,5,5,7,0,2,4,6,5,8,4,1,3,2,2,6,7,5,1,2,2,4,11,10,4,5,1,2,8,6,3,4,134
02:00:00,1,3,3,7,6,1,1,2,2,5,12,3,4,3,3,7,5,9,5,1,2,8,6,6,3,1,2,0,5,3,9,3,4,128
03:00:00,3,2,13,8,10,4,4,3,4,10,9,5,6,4,2,3,4,6,4,4,3,1,5,4,9,2,5,3,4,5,8,4,5,157
04:00:00,4,2,1,3,1,2,4,4,3,7,8,5,5,6,2,5,2,1,3,2,4,2,6,2,6,7,2,6,4,4,8,4,4,121
05:00:00,7,4,7,0,3,5,9,5,3,5,1,5,7,4,6,6,7,0,9,6,10,10,8,3,2,13,8,9,7,6,4,7,6,179
06:00:00,23,28,16,3,9,21,31,31,38,12,7,22,25,25,25,29,18,6,17,22,24,21,20,14,1,23,22,24,27,25,11,24,20,620
07:00:00,68,64,22,10,10,60,60,67,73,29,15,77,71,68,83,56,22,10,67,47,62,70,70,26,10,72,66,67,74,76,22,65,52,1594
08:00:00,66,60,27,7,14,68,64,72,62,33,12,66,60,50,74,58,40,18,74,62,60,63,75,29,14,65,68,80,86,79,48,65,54,1654
09:00:00,74,68,42,13,15,54,74,52,51,32,8,60,74,72,66,79,41,19,53,64,62,73,76,41,18,59,63,61,68,83,32,64,53,1647
10:00:00,69,59,43,17,22,56,57,75,56,48,25,77,61,60,44,67,31,23,61,68,62,42,61,42,16,49,60,60,69,51,46,58,51,1577
11:00:00,55,72,49,30,16,49,67,68,66,37,26,66,59,54,64,52,45,15,52,56,64,57,60,51,37,61,78,65,62,60,39,59,53,1632
12:00:00,47,78,34,32,30,46,50,54,56,34,25,54,57,66,65,49,37,32,58,70,55,64,61,39,34,56,64,63,52,64,43,57,51,1569
13:00:00,45,65,43,33,25,61,56,36,63,22,22,50,59,57,63,46,48,28,59,60,59,51,61,44,30,59,56,45,53,78,44,55,49,1521
14:00:00,44,53,33,16,17,56,65,49,60,29,28,64,60,60,64,65,42,24,69,55,73,51,59,41,30,47,66,62,54,67,35,57,50,1538
15:00:00,62,68,24,31,25,54,46,62,77,43,30,54,69,49,53,71,43,32,41,65,41,68,69,31,35,67,55,67,62,69,28,59,51,1591
16:00:00,54,43,38,22,30,55,71,72,66,26,26,54,58,65,54,60,38,36,69,65,65,71,60,39,32,69,76,63,76,50,34,61,53,1637
17:00:00,44,47,32,22,24,50,49,50,46,27,27,45,60,45,51,57,33,30,51,55,41,41,45,38,20,53,47,56,50,39,31,48,42,1306
18:00:00,40,28,20,22,16,29,41,37,25,33,17,23,35,42,36,24,20,21,40,49,43,40,36,34,28,38,40,35,40,41,34,35,33,1007
19:00:00,30,30,26,28,11,21,29,30,24,28,22,26,28,47,29,28,27,20,32,26,39,46,27,20,26,24,30,34,31,36,25,30,28,880
20:00:00,20,25,16,15,11,20,24,25,23,15,24,19,33,28,26,22,16,21,23,26,32,16,27,14,16,21,31,26,29,29,19,24,22,692
21:00:00,14,16,10,8,7,16,18,21,14,20,7,13,21,16,19,22,16,17,13,19,17,12,16,9,8,10,17,18,10,16,15,16,15,455
22:00:00,8,14,7,15,5,4,8,9,9,19,11,8,6,16,8,16,9,9,10,7,4,10,18,13,8,15,8,7,8,15,16,10,10,320
23:00:00,2,3,9,5,6,5,3,7,6,15,6,6,3,2,5,9,9,5,5,4,10,3,13,5,8,9,5,10,3,9,10,6,6,200
