,2023-12-01,2023-12-02,2023-12-03,2023-12-04,2023-12-05,2023-12-06,2023-12-07,2023-12-08,2023-12-09,2023-12-10,2023-12-11,2023-12-12,2023-12-13,2023-12-14,2023-12-15,2023-12-16,2023-12-17,2023-12-18,2023-12-19,2023-12-20,2023-12-21,2023-12-22,2023-12-23,2023-12-24,2023-12-25,2023-12-26,2023-12-27,2023-12-28,2023-12-29,2023-12-30,2023-12-31,Workday,7 Day,Count
00:00:00,7,23,13,5,0,3,6,8,18,12,3,6,5,7,6,13,20,4,5,2,9,16,28,18,3,2,10,8,11,6,4,6,9,281
01:00:00,10,17,17,4,2,4,3,2,14,11,2,4,7,5,2,9,19,7,3,3,6,11,14,15,11,0,2,3,3,8,8,4,7,226
02:00:00,8,7,8,5,1,2,4,7,15,20,5,3,4,0,9,19,13,1,1,1,4,12,17,12,0,2,13,3,4,12,5,4,7,217
03:00:00,5,6,10,2,1,4,4,4,13,19,6,2,1,4,5,24,11,1,5,3,4,15,18,4,0,3,6,4,4,7,4,4,6,199
04:00:00,1,6,6,3,8,7,5,5,4,3,4,5,7,4,5,6,5,5,7,4,3,5,10,3,2,0,2,6,6,5,1,4,5,143
05:00:00,13,6,1,3,7,6,6,12,3,6,7,8,9,11,10,4,2,10,7,16,9,10,7,7,3,1,6,10,5,3,3,8,7,211
06:00:00,26,11,4,16,27,27,24,31,14,8,26,31,21,28,28,17,7,22,25,24,21,26,11,1,2,5,10,9,9,10,6,21,17,527
07:00:00,71,39,3,72,73,81,85,71,29,8,77,79,72,68,76,20,6,70,71,75,83,38,22,11,2,2,8,18,23,13,4,58,46,1370
08:00:00,77,37,14,89,88,71,66,76,30,12,60,71,81,58,79,38,10,59,65,68,74,71,24,16,4,3,19,23,19,8,6,58,47,1416
09:00:00,77,39,21,77,101,86,85,77,57,25,86,105,73,81,86,55,18,92,77,73,88,67,34,42,9,13,28,32,29,26,10,69,58,1769
10:00:00,52,42,16,80,72,87,76,73,61,29,86,93,60,75,76,41,21,72,70,86,75,66,63,26,7,11,38,47,48,30,13,64,56,1692
11:00:00,77,54,33,80,67,69,86,52,67,37,88,70,65,81,83,42,41,61,75,71,75,66,52,42,17,17,30,49,44,38,16,63,57,1745
12:00:00,76,55,40,70,73,69,60,70,49,25,75,59,82,48,83,43,34,73,75,92,85,58,44,32,26,31,34,48,47,40,27,64,56,1723
13:00:00,69,50,31,49,68,78,62,61,52,47,57,64,65,70,65,52,34,66,74,76,82,65,31,37,17,28,26,34,53,43,23,59,53,1629
14:00:00,68,42,44,61,60,63,61,64,43,28,66,72,67,73,51,57,37,76,73,71,57,69,54,31,12,24,27,36,60,45,25,58,53,1617
15:00:00,70,47,34,73,75,66,88,64,59,24,83,76,72,91,69,40,31,70,75,86,72,65,36,35,9,25,30,39,28,39,21,63,56,1692
16:00:00,67,38,30,71,65,78,89,71,47,27,64,71,73,65,61,39,34,70,64,59,48,36,37,22,8,24,32,35,37,36,26,57,50,1524
17:00:00,61,42,29,45,64,47,41,57,46,31,39,64,50,57,58,38,27,61,58,48,51,38,34,18,10,20,27,22,34,21,17,45,41,1255
18:00:00,38,45,26,43,43,50,40,40,37,23,26,52,42,35,30,28,31,33,38,35,29,34,35,15,5,12,23,27,22,40,30,33,33,1007
19:00:00,23,26,35,15,36,26,41,52,35,14,27,30,26,26,26,37,19,24,22,33,28,39,23,17,13,12,23,19,33,20,10,27,26,810
20:00:00,25,22,21,21,23,24,27,23,19,19,16,26,30,29,22,16,16,23,13,21,30,28,13,19,8,11,6,11,14,22,13,21,20,611
21:00:00,15,18,8,15,18,12,16,23,12,12,19,9,18,23,12,12,10,7,14,26,21,25,19,4,4,12,17,13,18,5,12,16,15,449
22:00:00,17,16,8,9,14,8,12,17,16,5,6,12,13,16,9,18,9,10,11,13,15,18,13,5,12,8,10,2,14,6,9,12,11,351
23:00:00,11,22,1,7,4,3,14,11,10,5,3,8,6,7,20,14,2,1,13,11,11,18,27,8,3,7,10,7,6,9,8,9,9,287
