,2023-02-01,2023-02-02,2023-02-03,2023-02-04,2023-02-05,2023-02-06,2023-02-07,2023-02-08,2023-02-09,2023-02-10,2023-02-11,2023-02-12,2023-02-13,2023-02-14,2023-02-15,2023-02-16,2023-02-17,2023-02-18,2023-02-19,2023-02-20,2023-02-21,2023-02-22,2023-02-23,2023-02-24,2023-02-25,2023-02-26,2023-02-27,2023-02-28,Workday,7 Day,Count
00:00:00,2,8,4,4,15,12,3,1,2,6,9,13,2,1,7,1,3,8,19,4,1,1,4,3,9,5,10,1,4,6,158
01:00:00,6,4,7,9,20,12,0,1,1,5,7,15,6,3,2,2,3,10,5,1,1,1,2,1,8,8,8,0,3,5,148
02:00:00,2,2,8,9,16,10,4,4,4,5,8,14,5,4,4,4,11,2,10,3,0,0,2,0,9,10,2,2,4,6,154
03:00:00,2,2,7,4,8,5,3,4,2,2,9,12,6,3,5,3,9,9,8,2,6,5,2,3,1,8,2,3,4,5,135
04:00:00,6,2,6,10,2,6,6,9,5,6,6,3,6,6,7,6,5,8,2,5,6,7,8,6,8,6,7,6,6,6,166
05:00:00,10,10,5,7,2,1,13,8,6,6,2,0,10,4,3,4,6,4,2,9,7,4,9,7,8,1,7,6,7,6,161
06:00:00,29,29,39,10,5,6,29,34,33,29,10,3,33,26,32,30,34,20,1,26,31,31,32,28,11,1,26,32,29,23,650
07:00:00,90,82,89,27,7,9,79,78,84,75,24,11,84,82,89,68,76,27,7,88,81,87,81,73,31,4,76,86,78,61,1695
08:00:00,78,68,70,32,8,12,64,77,75,91,36,14,73,54,82,68,69,26,20,62,80,60,68,75,35,6,75,95,70,56,1573
09:00:00,70,69,72,38,19,21,58,76,83,62,38,14,67,73,81,73,62,38,16,70,74,74,74,74,52,22,63,74,68,57,1607
10:00:00,69,69,56,50,22,30,60,60,56,62,40,22,54,67,60,74,75,45,15,56,55,75,60,69,64,28,58,63,61,54,1514
11:00:00,67,61,67,40,30,27,64,68,71,62,56,32,72,59,63,80,72,42,32,39,68,50,50,73,41,30,65,71,62,55,1552
12:00:00,48,53,57,43,33,30,53,65,56,54,32,37,59,59,66,67,51,48,26,53,72,54,61,48,56,41,43,59,55,51,1424
13:00:00,63,61,63,44,29,28,54,66,60,76,45,30,57,73,82,75,70,57,35,68,53,56,72,55,58,29,58,66,63,57,1583
14:00:00,69,65,66,34,30,34,59,75,57,76,47,24,58,79,69,62,60,35,32,63,46,57,70,82,38,32,59,67,64,55,1545
15:00:00,72,63,61,33,34,23,67,73,78,74,30,23,66,56,63,61,70,47,29,70,64,65,55,84,43,27,75,77,66,57,1583
16:00:00,69,74,55,30,26,34,68,67,77,58,24,22,69,69,64,78,60,35,25,76,67,74,68,56,36,22,72,65,66,55,1540
17:00:00,66,60,46,28,17,29,51,51,54,54,29,25,57,60,64,61,45,42,30,66,70,63,55,63,23,30,68,55,57,49,1362
18:00:00,31,56,40,34,27,18,26,31,29,32,28,35,30,41,35,43,40,31,29,42,32,32,39,30,29,27,27,42,35,33,936
19:00:00,27,30,36,24,21,18,41,27,28,34,18,22,27,29,25,28,29,30,17,24,26,31,37,27,23,31,27,34,29,28,771
20:00:00,17,14,17,23,13,21,23,21,28,22,21,14,23,19,20,21,25,27,11,21,23,29,29,26,28,18,26,18,22,21,598
21:00:00,14,13,12,12,15,9,15,18,17,12,16,9,17,17,13,27,8,14,13,10,19,12,20,14,14,8,10,14,15,14,392
22:00:00,14,9,19,8,5,5,11,10,13,11,12,10,9,6,12,7,10,17,8,10,8,9,10,10,9,6,8,11,10,10,277
23:00:00,4,7,6,17,12,2,4,10,1,11,11,8,6,7,7,3,4,14,5,1,0,1,5,8,8,7,6,3,5,6,178
