,2024-01-01,2024-01-02,2024-01-03,2024-01-04,2024-01-05,2024-01-06,2024-01-07,2024-01-08,2024-01-09,2024-01-10,2024-01-11,2024-01-12,2024-01-13,2024-01-14,2024-01-15,2024-01-16,2024-01-17,2024-01-18,2024-01-19,2024-01-20,2024-01-21,2024-01-22,2024-01-23,2024-01-24,2024-01-25,2024-01-26,2024-01-27,2024-01-28,2024-01-29,2024-01-30,2024-01-31,Workday,7 Day,Count
00:00:00,14,4,2,5,2,4,4,2,2,7,5,3,4,12,5,2,7,6,8,4,12,4,2,0,3,8,9,6,2,2,4,4,5,154
01:00:00,6,2,4,3,2,8,13,2,3,1,5,5,6,12,0,3,3,3,9,5,17,0,1,0,8,8,6,11,3,1,4,3,5,154
02:00:00,15,2,1,5,0,0,8,4,4,3,3,7,5,10,2,0,1,3,7,7,9,0,0,2,2,5,8,14,1,1,0,3,4,129
03:00:00,10,4,3,2,1,8,8,2,4,0,3,3,2,10,5,5,6,2,6,4,10,2,1,5,3,8,0,5,2,7,3,4,4,134
04:00:00,6,1,4,3,4,6,0,6,1,7,4,2,4,1,5,5,10,4,6,3,0,6,6,10,4,3,2,1,4,2,7,5,4,127
05:00:00,3,10,11,9,8,5,3,9,9,9,9,11,6,3,11,10,7,7,11,7,4,9,10,10,12,9,3,1,8,5,14,9,8,243
06:00:00,2,12,22,25,25,12,2,27,23,28,29,31,15,4,37,25,35,26,22,15,10,31,27,23,22,17,10,3,29,24,36,25,20,649
07:00:00,4,44,56,60,67,19,7,74,95,87,81,97,25,9,75,75,63,94,64,19,4,80,83,87,82,78,18,9,81,83,70,73,56,1790
08:00:00,8,49,71,61,69,22,17,68,79,77,62,86,26,16,68,63,74,72,82,31,11,65,73,62,78,71,35,11,74,78,77,68,55,1736
09:00:00,13,48,54,61,51,19,18,80,85,84,67,73,42,16,69,94,75,72,102,46,17,71,83,77,81,62,59,22,79,83,88,72,60,1891
10:00:00,7,45,49,62,55,46,22,76,67,67,98,58,42,25,62,83,72,64,68,48,23,56,63,91,71,70,48,26,67,67,65,64,56,1763
11:00:00,19,74,50,61,68,38,41,68,64,61,68,56,49,29,68,68,49,67,71,63,24,63,61,68,53,78,52,28,98,57,59,63,57,1773
12:00:00,21,38,73,63,61,51,34,67,71,69,61,78,61,44,74,64,63,78,61,58,33,60,76,76,57,63,52,45,82,49,70,64,59,1853
13:00:00,33,41,73,59,57,41,50,64,49,64,66,77,38,36,57,62,65,60,66,52,32,49,71,55,64,61,40,27,68,57,72,60,54,1706
14:00:00,19,35,57,48,62,38,30,59,52,57,55,60,45,33,50,52,64,56,81,33,22,60,52,71,51,64,42,39,58,64,50,56,50,1559
15:00:00,23,61,59,62,81,45,29,78,69,76,85,62,38,36,74,78,75,63,67,34,39,66,64,74,77,66,56,19,74,65,81,69,60,1876
16:00:00,19,54,57,65,54,37,43,81,81,74,78,76,46,37,75,77,82,66,67,41,38,80,90,62,72,56,41,22,68,77,70,69,60,1886
17:00:00,15,41,58,53,41,41,23,55,53,54,44,52,16,32,54,53,54,54,66,35,27,48,63,48,47,52,41,20,56,57,51,51,45,1404
18:00:00,19,32,22,30,37,34,24,34,33,30,32,33,27,22,34,42,31,34,31,21,21,38,41,43,25,38,44,21,39,40,39,34,32,991
19:00:00,11,29,24,28,19,30,23,40,27,22,26,26,10,25,35,30,37,35,23,21,13,32,36,16,28,28,27,14,35,33,29,28,26,812
20:00:00,9,13,12,26,19,26,17,15,21,21,23,19,4,17,28,27,23,25,16,20,9,22,14,20,22,24,14,14,24,28,28,21,19,600
21:00:00,6,14,11,13,25,17,6,17,9,22,16,17,7,9,17,10,17,15,13,6,5,13,15,14,11,25,8,5,15,13,18,15,13,409
22:00:00,1,7,10,4,9,11,7,4,5,11,5,13,12,11,9,7,10,11,10,8,6,6,9,12,8,8,8,5,10,7,7,8,8,251
23:00:00,6,6,4,5,8,13,2,6,5,3,4,10,6,5,7,7,3,10,6,12,2,5,6,5,7,6,8,7,5,5,8,6,6,192
