,2023-07-01,2023-07-02,2023-07-03,2023-07-04,2023-07-05,2023-07-06,2023-07-07,2023-07-08,2023-07-09,2023-07-10,2023-07-11,2023-07-12,2023-07-13,2023-07-14,2023-07-15,2023-07-16,2023-07-17,2023-07-18,2023-07-19,2023-07-20,2023-07-21,2023-07-22,2023-07-23,2023-07-24,2023-07-25,2023-07-26,2023-07-27,2023-07-28,2023-07-29,2023-07-30,2023-07-31,Workday,7 Day,Count
00:00:00,7,7,2,2,2,5,7,4,6,8,4,1,5,3,14,11,5,4,1,4,10,6,4,3,3,3,3,7,10,14,5,4,5,170
01:00:00,8,8,3,0,0,2,3,5,14,4,0,2,4,2,5,5,4,1,2,1,2,5,12,4,2,3,2,4,7,11,5,2,4,130
02:00:00,11,10,4,3,3,3,4,4,13,5,1,3,2,2,3,11,3,0,2,3,3,10,10,2,3,2,2,5,9,7,3,3,4,146
03:00:00,5,11,3,2,2,4,4,9,4,2,4,2,2,4,4,8,4,5,3,1,3,7,12,4,3,2,5,4,8,7,5,3,4,143
04:00:00,10,2,3,5,5,4,8,7,6,3,2,7,2,4,7,1,2,5,9,5,4,6,3,8,5,6,6,5,9,1,3,5,5,153
05:00:00,3,3,7,10,9,7,8,4,3,7,10,5,12,10,6,5,9,11,13,14,13,4,0,6,15,11,8,11,7,2,6,10,8,239
06:00:00,12,8,29,31,38,29,27,12,10,26,29,30,36,35,18,5,25,26,37,30,30,11,7,19,29,24,34,33,15,8,37,30,25,740
07:00:00,26,8,69,91,90,83,77,26,8,82,91,87,79,75,28,10,65,87,84,84,67,28,13,82,90,108,86,79,21,12,62,82,64,1898
08:00:00,32,14,78,68,82,52,66,23,6,60,78,82,82,81,25,7,64,69,68,75,67,29,11,68,64,76,64,66,49,7,57,70,56,1670
09:00:00,47,9,56,68,77,71,63,37,20,69,68,72,58,72,30,14,90,69,74,92,63,44,10,73,76,72,75,80,37,16,76,72,59,1778
10:00:00,41,17,68,70,69,70,58,49,15,58,65,75,70,64,33,16,53,68,70,69,68,44,21,63,70,77,61,63,42,21,67,66,56,1695
11:00:00,43,27,66,71,86,72,70,43,17,59,62,64,79,55,34,26,61,63,60,65,78,33,33,61,77,80,55,76,51,28,62,68,58,1757
12:00:00,41,37,59,47,73,62,56,36,37,82,67,54,50,70,57,30,52,56,51,53,68,32,32,58,72,44,59,54,44,27,56,59,53,1616
13:00:00,34,30,54,62,70,62,49,35,29,60,53,49,53,48,34,23,53,59,73,65,51,44,29,41,52,64,53,55,31,20,53,56,49,1488
14:00:00,29,20,65,53,58,66,62,39,25,55,46,60,39,50,42,27,60,55,62,56,75,32,27,41,59,57,55,66,52,37,67,57,50,1537
15:00:00,21,33,68,47,61,61,59,27,20,69,59,63,65,65,39,26,79,61,56,66,75,42,29,75,65,74,64,71,43,29,59,65,55,1671
16:00:00,28,35,70,64,62,58,63,37,23,59,53,64,71,68,35,27,66,65,85,72,64,39,22,58,70,58,70,51,40,17,75,65,55,1669
17:00:00,24,29,46,46,59,55,43,25,22,43,53,43,49,46,29,24,48,56,49,47,52,31,23,63,56,49,59,48,34,17,54,51,44,1322
18:00:00,39,23,42,42,35,36,20,27,24,33,41,36,46,43,22,23,33,35,38,34,27,29,23,26,31,38,37,29,28,31,40,35,33,1011
19:00:00,24,21,29,31,32,27,27,28,24,28,29,29,41,34,27,15,18,39,26,38,31,26,21,36,28,35,39,26,35,21,30,31,29,895
20:00:00,16,16,20,26,27,15,24,17,19,27,24,20,21,29,23,7,23,23,19,18,25,14,16,34,33,24,26,25,17,10,19,24,22,657
21:00:00,19,8,16,13,15,17,13,16,10,11,25,25,22,20,4,6,13,25,23,20,17,12,10,25,17,16,20,16,15,10,13,18,16,492
22:00:00,12,7,11,10,8,12,17,15,8,7,12,12,11,10,10,10,8,10,12,12,14,9,6,13,14,11,11,16,12,13,7,11,11,340
23:00:00,15,9,2,3,4,8,8,4,8,3,7,5,5,14,8,9,3,5,8,6,12,6,5,8,8,8,10,15,16,7,11,7,8,240
