,2024-06-01,2024-06-02,2024-06-03,2024-06-04,2024-06-05,2024-06-06,2024-06-07,2024-06-08,2024-06-09,2024-06-10,2024-06-11,2024-06-12,2024-06-13,2024-06-14,2024-06-15,2024-06-16,2024-06-17,2024-06-18,2024-06-19,2024-06-20,2024-06-21,2024-06-22,2024-06-23,2024-06-24,2024-06-25,2024-06-26,2024-06-27,2024-06-28,2024-06-29,2024-06-30,Workday,7 Day,Count
00:00:00,12,10,10,1,2,4,10,15,15,2,3,4,5,11,9,10,3,2,0,4,4,8,8,10,4,7,5,5,5,7,5,6,195
01:00:00,5,11,16,0,0,2,0,10,10,2,3,1,2,8,10,11,3,0,0,2,2,12,13,0,3,0,2,3,11,14,2,5,156
02:00:00,3,6,13,1,1,2,2,7,8,1,1,1,5,7,12,10,3,2,1,6,3,6,12,3,2,6,0,3,10,24,3,5,161
03:00:00,10,7,11,1,4,3,2,7,6,1,1,3,2,2,4,5,3,4,5,4,3,4,5,5,3,5,2,3,9,9,3,4,133
04:00:00,2,2,6,4,8,5,3,0,4,4,2,7,1,4,2,5,3,4,4,2,4,0,7,4,2,7,3,2,3,5,4,4,109
05:00:00,9,2,6,8,10,7,11,8,3,8,5,12,8,5,3,1,6,5,8,6,11,2,3,8,7,9,8,6,7,2,8,7,194
06:00:00,8,4,4,23,34,34,32,14,4,26,29,32,34,32,11,2,19,27,36,31,24,17,5,23,31,29,31,30,17,5,28,23,648
07:00:00,29,14,13,83,66,78,78,13,8,72,75,78,63,71,31,11,69,77,73,80,66,26,11,76,78,70,71,67,30,12,70,55,1589
08:00:00,26,15,11,88,81,65,72,29,10,85,99,79,79,75,41,9,76,77,78,64,87,34,12,79,78,69,76,74,25,16,75,59,1709
09:00:00,52,6,18,75,86,76,71,42,24,93,95,90,58,83,36,21,96,72,86,77,76,45,12,81,86,81,84,75,36,17,78,64,1850
10:00:00,45,7,21,76,57,81,62,49,42,57,65,66,68,68,61,19,58,59,78,75,75,29,22,78,61,62,82,68,39,23,66,57,1653
11:00:00,42,13,41,58,83,62,67,57,30,63,63,55,57,65,41,33,55,60,61,66,69,48,29,65,60,67,72,70,46,29,63,55,1627
12:00:00,39,0,41,54,69,80,64,51,38,61,66,64,78,66,55,25,59,58,59,52,67,30,40,68,62,61,68,77,36,39,64,56,1627
13:00:00,41,5,35,63,70,58,70,45,26,48,60,54,55,58,36,32,62,51,66,52,59,39,31,67,61,59,49,47,39,28,57,50,1466
14:00:00,35,15,24,61,71,64,61,39,36,50,64,53,54,69,34,29,52,66,77,58,67,31,32,58,57,71,48,57,35,30,59,51,1498
15:00:00,37,25,21,62,62,73,77,31,28,76,66,64,84,62,27,28,65,63,57,63,78,30,23,64,62,71,75,76,43,35,66,56,1628
16:00:00,23,22,30,65,65,64,65,41,25,75,70,73,60,68,34,33,66,67,65,60,60,26,19,64,59,66,57,48,41,24,62,53,1535
17:00:00,34,24,18,80,52,64,35,31,23,41,56,45,47,50,27,31,45,52,47,68,52,28,21,48,62,49,49,45,27,31,50,44,1282
18:00:00,18,17,21,33,38,36,28,26,34,35,56,38,43,42,27,26,27,31,35,31,38,31,19,21,25,32,42,29,25,24,34,31,928
19:00:00,20,27,33,38,44,32,33,23,22,26,25,36,38,32,23,27,26,27,30,30,44,20,14,29,31,24,29,26,31,28,32,29,868
20:00:00,12,16,19,23,23,26,29,18,18,21,24,22,21,21,13,13,33,28,22,20,18,20,17,22,23,31,26,26,15,15,24,22,635
21:00:00,13,13,9,13,14,18,29,13,8,12,16,21,14,27,15,13,12,14,19,20,15,11,17,13,15,15,23,26,12,10,17,16,470
22:00:00,16,9,5,12,7,17,11,17,6,8,10,9,5,11,14,10,9,7,8,10,16,13,3,9,11,6,15,15,9,2,10,10,300
23:00:00,12,14,4,3,6,14,7,10,6,3,2,5,13,15,12,11,4,2,6,9,10,9,5,3,12,7,10,13,7,13,7,8,247
