,2024-03-01,2024-03-02,2024-03-03,2024-03-04,2024-03-05,2024-03-06,2024-03-07,2024-03-08,2024-03-09,2024-03-10,2024-03-11,2024-03-12,2024-03-13,2024-03-14,2024-03-15,2024-03-16,2024-03-17,2024-03-18,2024-03-19,2024-03-20,2024-03-21,2024-03-22,2024-03-23,2024-03-24,2024-03-25,2024-03-26,2024-03-27,2024-03-28,2024-03-29,2024-03-30,2024-03-31,Workday,7 Day,Count
00:00:00,7,10,18,2,2,8,2,8,12,12,3,2,2,4,1,4,15,18,2,1,3,15,5,7,3,3,2,3,9,7,10,5,6,200
01:00:00,6,8,7,1,2,2,3,4,7,4,1,2,1,1,3,8,14,12,0,1,1,6,5,14,2,3,5,4,9,9,,3,5,145
02:00:00,3,6,13,3,3,0,5,6,13,10,3,0,5,4,7,10,9,18,0,3,1,7,5,4,3,4,1,5,6,8,2,4,5,165
03:00:00,4,6,6,5,4,5,4,4,6,11,4,5,3,7,6,5,7,8,2,4,5,4,6,10,2,5,5,5,4,9,13,5,5,174
04:00:00,6,5,3,3,4,5,6,2,6,2,4,3,4,4,4,4,5,4,3,5,3,3,1,5,3,4,5,4,4,2,6,4,4,122
05:00:00,5,4,0,10,15,8,13,10,2,2,7,9,9,7,9,4,0,3,15,16,10,13,9,0,12,11,10,10,8,5,5,10,8,241
06:00:00,27,17,1,27,24,31,29,36,18,4,29,24,45,28,28,13,4,6,32,29,29,29,13,5,31,32,33,41,24,16,3,29,24,708
07:00:00,80,24,7,76,81,76,82,72,34,1,82,80,74,79,75,23,9,16,70,74,80,74,30,15,86,81,73,77,64,20,5,74,58,1720
08:00:00,82,40,5,84,82,74,69,76,31,11,80,76,82,83,75,29,10,12,77,73,81,78,41,17,68,69,72,75,58,38,5,73,58,1753
09:00:00,75,56,25,80,75,78,63,50,43,21,81,92,95,76,75,43,15,18,76,80,74,63,44,31,74,79,62,65,54,31,23,71,60,1817
10:00:00,66,54,35,69,70,55,53,56,53,21,69,61,60,60,70,40,22,28,82,71,75,73,37,27,71,67,58,59,56,37,17,63,55,1672
11:00:00,70,51,29,70,52,57,60,78,54,36,52,59,65,62,77,47,19,36,52,60,49,72,57,39,62,48,71,70,64,59,26,61,56,1703
12:00:00,68,40,41,53,80,74,70,65,49,30,68,66,69,68,68,28,28,31,70,55,62,76,54,29,52,58,58,67,54,46,25,63,56,1702
13:00:00,53,52,36,53,60,67,45,49,43,42,69,78,55,71,53,41,27,38,67,69,60,77,33,34,60,48,57,66,76,44,30,61,54,1653
14:00:00,65,37,33,64,55,67,69,66,51,34,63,54,54,65,63,39,29,33,59,71,70,59,42,32,59,63,49,61,58,25,25,60,53,1614
15:00:00,62,37,36,74,75,63,57,61,30,31,57,62,70,65,51,38,19,41,64,72,75,45,33,29,63,57,69,62,45,45,30,61,53,1618
16:00:00,61,30,24,74,64,67,79,55,35,38,77,63,53,54,51,37,25,25,53,85,81,63,34,21,63,77,77,70,43,31,17,64,54,1627
17:00:00,42,33,31,46,59,59,55,49,19,25,59,45,39,58,42,27,17,26,53,55,49,38,39,32,49,54,52,55,45,32,15,49,43,1299
18:00:00,30,32,24,32,45,29,45,35,19,27,42,35,28,37,31,22,11,31,44,40,37,41,24,19,39,38,34,44,39,23,17,37,33,994
19:00:00,39,33,19,32,26,23,36,16,34,26,32,25,16,40,34,33,30,15,32,33,42,21,25,16,27,28,33,45,32,34,16,30,29,893
20:00:00,20,26,8,19,19,21,21,24,19,7,16,25,22,26,9,23,16,14,16,15,30,28,19,7,22,28,24,27,19,18,16,21,20,604
21:00:00,20,13,14,11,18,16,14,14,16,14,12,15,22,21,12,14,15,8,11,23,16,13,18,8,12,15,12,14,13,14,15,15,15,453
22:00:00,9,18,7,10,10,13,8,9,10,6,12,11,9,10,11,14,23,4,10,5,11,11,15,7,10,8,6,8,15,12,11,10,10,323
23:00:00,10,12,8,4,7,3,8,13,12,6,3,10,3,6,4,11,8,4,4,3,6,5,16,6,5,1,3,9,6,13,5,6,7,214
