,2023-05-01,2023-05-02,2023-05-03,2023-05-04,2023-05-05,2023-05-06,2023-05-07,2023-05-08,2023-05-09,2023-05-10,2023-05-11,2023-05-12,2023-05-13,2023-05-14,2023-05-15,2023-05-16,2023-05-17,2023-05-18,2023-05-19,2023-05-20,2023-05-21,2023-05-22,2023-05-23,2023-05-24,2023-05-25,2023-05-26,2023-05-27,2023-05-28,2023-05-29,2023-05-30,2023-05-31,Workday,7 Day,Count
00:00:00,12,2,3,3,3,8,6,0,10,4,3,6,15,10,4,2,1,2,4,12,13,0,5,1,5,7,10,12,8,5,6,4,6,182
01:00:00,12,1,1,1,4,10,15,0,0,2,1,7,12,17,4,1,3,3,3,4,15,4,1,6,1,6,9,12,3,4,3,3,6,165
02:00:00,11,2,5,2,1,8,4,2,3,4,5,6,9,8,1,3,6,4,6,10,10,4,2,9,4,6,11,10,2,5,4,4,6,167
03:00:00,9,1,3,3,4,11,10,5,5,3,1,4,2,6,1,0,3,4,2,8,8,3,5,4,7,5,9,7,1,5,5,4,5,144
04:00:00,4,5,7,3,2,4,5,2,4,3,4,6,3,1,5,6,4,4,2,4,2,4,5,5,6,8,10,8,6,8,5,5,5,145
05:00:00,0,6,4,9,11,5,0,7,4,9,8,10,9,4,9,6,6,12,13,5,2,8,4,9,11,10,8,1,6,8,8,8,7,212
06:00:00,9,27,27,29,29,14,4,27,35,32,34,31,15,8,26,36,28,32,36,13,10,29,21,33,37,36,10,4,25,25,27,29,24,749
07:00:00,8,69,81,77,75,29,9,68,73,81,75,81,22,10,88,73,78,75,70,26,10,74,83,76,71,73,28,11,77,67,75,73,57,1813
08:00:00,18,70,79,75,76,31,15,65,70,85,65,78,41,19,76,82,76,79,78,38,20,96,65,67,72,86,49,17,74,74,74,73,60,1910
09:00:00,15,70,70,64,75,40,23,77,66,81,83,79,62,24,95,83,70,78,77,39,29,69,94,86,71,76,49,11,73,89,78,75,63,1996
10:00:00,26,78,75,66,88,45,28,68,52,58,73,75,42,20,64,68,61,63,78,45,29,58,59,70,70,77,55,22,55,55,73,66,57,1796
11:00:00,31,65,71,69,63,40,41,70,59,57,57,70,34,29,59,65,76,54,64,53,27,60,66,61,54,55,48,37,70,61,56,61,55,1722
12:00:00,33,56,46,72,78,47,40,73,64,67,73,60,46,23,62,64,65,64,64,47,30,52,62,71,56,58,40,25,68,72,63,63,55,1741
13:00:00,37,52,59,75,67,51,37,54,60,67,61,65,42,31,55,79,62,52,56,48,40,75,57,71,63,72,44,33,59,60,78,62,56,1762
14:00:00,29,47,51,69,78,41,26,68,60,70,52,76,40,29,66,54,52,67,61,46,24,59,55,75,77,50,36,29,82,54,78,62,54,1701
15:00:00,29,67,73,70,75,47,36,86,70,87,77,84,38,27,82,76,79,66,73,32,26,57,64,77,80,70,37,22,77,60,78,72,61,1922
16:00:00,24,76,75,70,50,44,36,70,74,67,71,57,36,38,61,55,78,60,59,40,28,65,76,65,63,62,33,25,56,70,69,64,56,1753
17:00:00,29,54,71,57,49,37,23,37,65,61,47,46,30,31,58,63,38,46,66,37,24,44,50,69,48,53,29,21,51,43,61,52,46,1438
18:00:00,20,41,33,52,28,26,50,26,38,36,36,38,24,28,41,34,42,46,36,33,30,29,26,37,38,32,30,21,29,35,40,35,34,1055
19:00:00,27,27,45,35,31,28,28,26,35,29,36,35,22,20,36,34,40,34,40,31,19,30,35,25,25,40,31,24,30,28,26,33,31,952
20:00:00,17,31,23,24,19,23,21,20,27,23,23,27,18,19,20,32,30,26,36,16,15,32,23,32,31,29,21,15,25,32,23,26,24,753
21:00:00,11,15,28,15,16,15,4,21,27,15,16,16,16,8,24,20,22,19,17,15,12,13,26,35,19,17,18,8,12,25,23,20,17,548
22:00:00,6,3,10,9,12,19,3,13,11,11,6,14,11,9,14,13,22,17,25,15,6,20,17,18,11,21,19,11,19,10,6,13,13,401
23:00:00,0,3,4,10,8,10,4,5,3,4,5,16,13,6,5,2,5,11,12,14,6,3,4,7,4,11,12,4,6,7,6,6,7,210
