,2023-08-01,2023-08-02,2023-08-03,2023-08-04,2023-08-05,2023-08-06,2023-08-07,2023-08-08,2023-08-09,2023-08-10,2023-08-11,2023-08-12,2023-08-13,2023-08-14,2023-08-15,2023-08-16,2023-08-17,2023-08-18,2023-08-19,2023-08-20,2023-08-21,2023-08-22,2023-08-23,2023-08-24,2023-08-25,2023-08-26,2023-08-27,2023-08-28,2023-08-29,2023-08-30,2023-08-31,Workday,7 Day,Count
00:00:00,3,5,4,8,9,6,8,2,3,5,3,10,14,10,3,1,2,3,6,8,4,4,3,3,4,8,7,3,2,6,3,4,5,160
01:00:00,1,2,3,2,5,11,3,2,5,4,4,7,13,1,5,5,6,3,5,13,2,3,1,2,2,9,6,2,1,5,7,3,5,140
02:00:00,7,2,2,7,5,5,12,4,6,6,3,5,17,1,1,3,2,3,7,13,6,4,1,4,7,11,9,1,3,0,4,4,5,161
03:00:00,5,2,1,3,7,12,12,1,2,4,5,4,6,4,1,6,2,6,5,8,3,7,2,2,6,6,6,4,8,3,3,4,5,146
04:00:00,8,4,4,6,5,3,3,2,5,4,2,2,1,4,5,5,3,3,7,2,6,6,3,4,2,6,9,4,8,5,4,4,4,135
05:00:00,10,7,10,6,9,0,2,14,10,8,12,5,1,6,9,8,12,10,8,0,9,9,7,8,6,4,3,10,8,9,7,9,7,227
06:00:00,37,37,30,31,16,5,7,20,33,32,26,10,6,23,30,21,25,32,20,6,34,25,29,29,37,12,3,30,22,36,27,28,23,731
07:00:00,78,68,63,77,20,3,6,55,88,78,68,29,7,68,89,79,89,85,23,9,83,89,106,88,70,35,12,96,86,76,91,77,60,1914
08:00:00,74,72,60,85,29,10,13,70,67,58,78,30,13,72,71,77,69,71,28,6,70,78,68,70,94,47,10,71,74,93,87,71,57,1815
09:00:00,74,76,78,61,32,16,24,76,75,74,77,28,24,68,73,73,70,78,38,24,68,80,78,83,75,34,14,70,77,79,90,73,60,1887
10:00:00,56,66,67,64,37,24,29,68,62,66,61,51,22,65,70,72,63,67,55,27,64,74,73,85,64,42,23,67,86,77,74,67,58,1821
11:00:00,73,58,60,59,47,30,28,54,61,74,68,38,40,48,69,64,52,62,53,24,62,58,80,80,83,45,30,61,73,62,60,63,56,1756
12:00:00,80,63,71,64,40,34,26,65,59,51,76,42,28,59,64,69,68,78,55,23,65,52,80,74,66,32,25,64,64,70,68,65,56,1775
13:00:00,56,57,50,64,34,36,28,55,60,54,67,25,39,53,55,57,43,62,57,27,53,67,49,54,76,41,32,66,62,66,76,58,52,1621
14:00:00,61,61,56,76,46,28,32,67,54,63,63,39,22,56,46,55,51,67,45,26,59,64,66,77,79,50,16,60,80,74,58,62,54,1697
15:00:00,74,77,65,68,49,20,19,67,78,61,64,44,26,62,60,61,61,65,40,30,63,61,73,68,70,49,30,69,61,73,71,65,57,1779
16:00:00,78,68,60,46,29,24,23,54,63,79,60,35,31,66,68,72,75,52,42,28,69,83,78,84,59,46,24,77,81,87,81,68,58,1822
17:00:00,46,65,39,40,39,21,29,48,34,49,36,29,27,50,49,66,60,45,25,24,70,51,62,50,55,43,24,60,62,57,62,52,45,1417
18:00:00,36,35,30,44,23,27,23,38,43,43,35,29,27,31,38,48,36,31,17,28,39,37,34,42,37,26,30,42,43,37,37,37,34,1066
19:00:00,36,27,22,24,35,18,17,29,26,40,31,26,28,35,30,34,24,20,25,23,30,25,44,32,35,18,35,30,35,29,32,30,29,895
20:00:00,21,35,28,19,10,19,13,22,28,20,18,27,13,23,33,28,21,17,21,13,37,24,30,31,33,19,13,29,29,33,39,27,24,746
21:00:00,12,17,18,14,13,18,11,18,25,23,21,13,13,18,13,20,20,18,13,9,18,23,23,17,22,13,12,18,27,21,21,19,17,542
22:00:00,16,7,13,10,15,9,8,14,13,16,11,18,9,9,12,16,5,9,16,9,11,9,6,16,12,18,4,5,12,12,20,11,12,360
23:00:00,2,7,6,10,16,12,7,9,4,7,11,9,4,8,6,5,6,13,13,3,4,6,8,4,11,15,2,5,4,6,5,7,7,228
