,2023-09-01,2023-09-02,2023-09-03,2023-09-04,2023-09-05,2023-09-06,2023-09-07,2023-09-08,2023-09-09,2023-09-10,2023-09-11,2023-09-12,2023-09-13,2023-09-14,2023-09-15,2023-09-16,2023-09-17,2023-09-18,2023-09-19,2023-09-20,2023-09-21,2023-09-22,2023-09-23,2023-09-24,2023-09-25,2023-09-26,2023-09-27,2023-09-28,2023-09-29,2023-09-30,Workday,7 Day,Count
00:00:00,3,7,14,4,5,4,2,1,7,18,7,3,2,10,9,5,4,0,1,2,3,7,7,8,3,3,3,5,6,12,4,5,165
01:00:00,1,7,15,6,3,0,1,2,7,9,4,4,5,5,5,8,9,1,0,1,2,5,6,12,4,4,5,4,4,7,3,5,146
02:00:00,3,8,5,0,1,1,5,3,3,15,2,3,4,3,4,10,4,2,3,3,2,6,5,12,3,1,1,3,9,7,3,4,131
03:00:00,1,5,15,3,2,3,2,3,9,12,7,6,3,5,7,7,8,1,5,3,4,4,8,5,2,5,5,4,4,11,4,5,159
04:00:00,9,6,6,5,5,5,5,4,8,7,5,5,7,4,5,6,1,8,4,3,4,8,5,1,6,4,4,3,6,6,5,5,155
05:00:00,9,5,5,7,17,11,8,13,8,1,9,13,14,13,14,12,4,11,16,12,13,11,9,3,9,13,8,12,10,7,12,10,297
06:00:00,28,14,8,24,24,28,31,38,7,7,25,26,33,31,21,12,7,21,35,30,30,31,11,7,24,23,26,33,32,11,28,23,678
07:00:00,88,24,14,88,88,80,89,81,29,9,75,91,85,98,78,40,13,78,61,87,82,91,26,12,80,70,81,75,91,34,83,65,1938
08:00:00,84,38,9,82,66,77,86,88,31,16,72,76,89,70,82,32,8,76,64,73,70,91,37,10,81,74,83,76,86,31,78,63,1858
09:00:00,76,48,18,71,70,101,93,70,39,19,90,81,82,68,103,44,14,98,82,88,80,57,45,17,80,79,75,89,75,34,81,67,1986
10:00:00,86,45,21,73,71,80,70,61,25,16,71,71,69,79,67,48,28,60,76,60,65,74,38,27,68,55,65,73,60,55,69,59,1757
11:00:00,78,50,36,60,71,65,59,87,52,33,78,58,71,63,70,53,34,68,74,57,54,66,47,35,72,61,75,68,74,41,68,61,1810
12:00:00,66,47,34,73,55,75,77,61,47,36,60,53,71,62,66,53,25,55,64,62,65,56,48,31,62,65,73,69,73,39,65,58,1723
13:00:00,77,29,24,52,69,70,59,47,40,23,58,56,81,68,78,39,38,74,39,56,59,59,36,33,53,59,58,54,56,54,61,54,1598
14:00:00,70,39,36,76,77,61,58,72,48,39,83,65,60,50,73,44,41,55,73,75,57,74,43,32,61,65,74,63,66,38,67,59,1768
15:00:00,77,37,24,69,64,73,58,78,38,15,68,72,67,73,69,62,21,60,67,65,61,75,35,24,91,96,58,82,76,45,71,61,1800
16:00:00,58,37,27,66,65,68,71,76,26,27,77,71,75,74,71,38,29,67,73,90,83,60,31,24,62,66,71,87,61,42,71,60,1773
17:00:00,47,33,22,50,61,57,59,48,30,22,60,69,59,66,77,29,23,57,53,48,63,54,30,28,63,54,48,54,52,24,57,48,1440
18:00:00,38,23,23,44,37,30,33,29,23,24,43,36,51,40,36,38,25,51,51,42,40,22,37,31,54,53,32,36,39,30,40,37,1091
19:00:00,31,26,18,35,45,39,47,33,20,29,26,39,38,29,30,20,24,41,34,47,38,32,26,21,45,37,35,33,28,27,36,33,973
20:00:00,47,22,16,24,37,32,25,25,15,11,15,26,30,25,17,14,21,31,27,23,21,25,15,11,32,30,21,17,26,19,26,23,700
21:00:00,20,14,8,24,22,15,22,14,13,17,22,14,16,12,18,16,16,15,16,18,30,14,9,16,10,22,19,17,16,15,18,17,500
22:00:00,13,24,4,7,11,14,13,11,13,10,7,11,8,17,14,15,7,8,10,12,16,13,16,7,7,13,3,17,15,12,11,12,348
23:00:00,7,12,5,2,7,5,8,10,11,7,6,5,3,6,10,4,1,4,3,4,3,5,16,3,4,4,5,2,10,11,5,6,183
