,2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14,2023-10-15,2023-10-16,2023-10-17,2023-10-18,2023-10-19,2023-10-20,2023-10-21,2023-10-22,2023-10-23,2023-10-24,2023-10-25,2023-10-26,2023-10-27,2023-10-28,2023-10-29,2023-10-30,2023-10-31,Workday,7 Day,Count
00:00:00,8,7,1,2,7,11,16,4,1,2,4,1,7,9,13,3,2,3,0,5,14,10,4,3,0,3,10,11,12,14,1,4,6,188
01:00:00,11,0,4,3,2,6,9,10,4,2,6,6,7,5,7,1,5,1,1,2,9,12,0,2,1,3,6,10,21,23,2,4,6,181
02:00:00,9,1,3,2,1,14,8,17,6,2,3,5,8,8,11,1,1,0,0,2,11,10,2,4,3,1,15,8,23,16,1,4,6,196
03:00:00,10,1,1,2,4,5,5,13,2,2,5,5,5,6,13,5,4,6,1,4,8,7,1,2,5,1,2,12,7,12,3,4,5,159
04:00:00,0,4,4,4,4,2,5,2,5,6,9,7,8,6,7,4,5,8,1,4,4,3,1,9,8,4,5,10,3,2,3,5,5,147
05:00:00,1,10,17,8,12,10,4,2,3,10,6,20,15,5,4,9,13,11,1,12,5,5,5,13,14,9,13,7,3,2,5,10,8,254
06:00:00,9,33,32,26,26,32,22,5,32,28,33,21,37,13,7,27,31,26,1,19,12,3,15,27,27,27,27,18,3,6,32,26,21,657
07:00:00,8,89,86,91,77,64,22,5,59,76,80,89,77,27,6,67,89,70,13,65,20,7,64,93,92,80,74,23,6,15,61,71,55,1695
08:00:00,5,90,74,76,60,79,32,16,78,69,66,92,86,43,13,79,77,56,18,52,26,23,58,73,74,88,68,27,10,21,74,69,55,1703
09:00:00,24,72,86,64,78,74,39,13,105,83,70,86,67,48,25,84,88,67,63,60,47,17,57,72,75,98,76,38,9,19,59,73,60,1863
10:00:00,27,70,63,64,75,79,45,27,83,81,78,79,69,52,20,62,82,67,61,63,45,29,61,59,60,71,74,46,25,30,57,68,58,1804
11:00:00,37,70,73,72,77,75,51,27,66,62,77,52,80,48,37,61,64,59,66,54,57,30,66,82,64,89,74,48,32,31,65,67,60,1846
12:00:00,38,55,64,76,60,79,48,31,75,76,69,59,73,55,39,72,64,69,55,59,37,39,53,77,50,69,76,50,31,34,58,65,58,1790
13:00:00,36,57,53,58,53,66,36,37,58,55,64,74,75,50,31,65,60,68,60,51,49,32,55,63,62,79,52,48,32,32,57,60,54,1668
14:00:00,29,54,70,74,78,78,53,29,70,54,80,56,72,58,32,57,82,59,64,68,38,26,74,62,67,83,83,55,38,35,78,68,60,1856
15:00:00,24,77,73,73,83,77,45,17,79,85,73,84,77,44,39,67,82,66,73,83,37,25,79,82,81,70,56,44,31,21,63,73,62,1910
16:00:00,25,89,84,61,73,75,26,27,77,71,73,68,54,41,28,78,74,44,77,52,37,22,75,74,87,68,68,29,34,36,59,69,58,1786
17:00:00,35,48,61,57,66,53,35,32,58,56,67,66,61,32,39,46,50,19,50,44,40,15,56,56,61,67,43,44,24,28,45,53,47,1454
18:00:00,27,41,34,37,44,39,31,23,34,45,30,51,42,39,31,40,25,15,43,33,39,22,35,40,43,39,30,26,23,32,38,37,35,1071
19:00:00,27,42,34,31,35,39,32,34,31,30,35,34,28,30,21,25,25,3,45,29,18,22,25,39,31,26,34,24,16,30,35,31,29,910
20:00:00,13,27,25,33,18,31,17,19,25,21,17,24,29,10,16,24,20,0,18,31,23,20,22,26,33,22,13,17,13,21,23,23,21,651
21:00:00,16,22,21,19,22,19,5,16,17,16,19,20,17,6,10,14,20,0,15,12,7,11,11,16,11,21,12,16,8,9,15,16,14,443
22:00:00,15,6,8,7,14,11,18,9,10,14,11,14,12,17,5,2,7,0,10,6,22,5,11,7,12,10,15,18,12,12,10,10,11,330
23:00:00,9,6,8,11,8,16,10,2,2,7,8,6,6,5,6,5,9,1,6,10,5,4,6,4,10,11,14,14,9,4,4,7,7,226
