,2024-09-01,2024-09-02,2024-09-03,2024-09-04,2024-09-05,2024-09-06,2024-09-07,2024-09-08,2024-09-09,2024-09-10,2024-09-11,2024-09-12,2024-09-13,2024-09-14,2024-09-15,2024-09-16,2024-09-17,2024-09-18,2024-09-19,2024-09-20,2024-09-21,2024-09-22,2024-09-23,2024-09-24,2024-09-25,2024-09-26,2024-09-27,2024-09-28,2024-09-29,2024-09-30,Workday,7 Day,Count
00:00:00,12,4,3,0,6,6,13,11,4,8,6,8,9,8,10,3,3,7,6,7,11,10,2,0,4,5,4,8,8,2,5,6,188
01:00:00,15,2,2,3,1,4,7,12,3,3,7,1,11,13,6,5,4,2,4,10,3,9,0,3,6,2,4,10,9,4,4,5,165
02:00:00,7,5,4,0,2,5,5,12,2,8,5,5,9,7,11,10,2,3,2,10,6,10,0,1,3,1,7,7,19,0,4,6,168
03:00:00,4,4,1,4,4,6,6,11,6,5,9,7,7,13,7,2,3,3,1,4,9,4,1,4,3,1,4,6,9,4,4,5,152
04:00:00,5,5,4,10,2,2,1,6,3,6,5,8,6,6,5,7,6,4,7,4,3,5,3,2,8,6,4,2,1,7,5,5,143
05:00:00,1,11,9,8,8,10,5,0,12,8,3,12,10,8,2,9,10,7,5,7,3,0,8,6,9,5,10,7,0,6,8,7,199
06:00:00,8,22,23,34,26,23,24,5,28,28,29,23,34,15,4,26,36,37,33,25,17,4,25,36,34,37,40,12,0,23,30,24,711
07:00:00,13,56,60,70,67,64,20,11,66,73,77,81,68,26,6,93,67,53,63,76,22,13,70,65,59,62,72,22,13,67,68,53,1575
08:00:00,8,68,72,71,74,85,49,8,47,74,66,78,77,40,14,98,73,80,72,65,32,16,82,79,66,75,74,35,15,72,74,60,1765
09:00:00,24,65,67,62,79,66,46,21,66,83,76,93,69,37,22,96,77,80,66,86,44,20,84,94,81,72,66,41,17,86,77,64,1886
10:00:00,30,73,42,68,57,60,40,23,51,71,67,60,61,39,18,57,60,58,60,64,48,25,51,59,66,61,60,50,24,76,61,53,1579
11:00:00,33,57,58,70,52,77,37,29,59,69,79,60,53,50,28,65,57,73,66,64,45,51,52,72,75,65,50,55,26,58,63,57,1685
12:00:00,25,40,58,56,65,62,48,36,56,64,50,55,58,47,27,67,61,60,59,57,35,48,59,62,59,55,67,41,26,64,59,53,1567
13:00:00,28,59,61,55,72,65,43,38,64,46,58,57,62,46,27,76,72,64,75,60,53,34,56,70,63,62,55,41,22,43,62,55,1627
14:00:00,28,60,59,50,50,56,37,33,58,53,58,49,60,34,34,63,64,61,41,54,30,25,65,37,62,72,62,39,21,68,57,50,1483
15:00:00,31,64,65,61,69,60,37,20,70,75,58,56,75,39,27,63,52,66,63,67,33,42,62,70,74,69,73,26,19,67,66,56,1653
16:00:00,23,63,59,68,81,69,31,34,65,71,63,85,65,48,41,61,84,79,76,54,33,31,88,83,57,62,52,32,25,56,69,58,1739
17:00:00,29,48,46,41,45,51,40,29,48,52,50,51,53,24,23,53,70,59,39,43,18,28,66,58,45,49,51,32,20,53,51,44,1314
18:00:00,34,36,41,36,27,34,29,40,42,43,38,35,23,41,30,34,35,33,34,35,25,17,31,31,41,48,39,20,13,32,36,33,997
19:00:00,19,26,27,30,30,36,34,23,26,37,37,34,23,28,30,37,29,40,40,30,42,18,34,34,32,37,45,34,18,27,33,31,937
20:00:00,18,15,27,25,29,25,21,18,22,41,22,30,35,13,25,20,21,27,23,19,27,23,20,32,14,12,30,19,11,32,25,23,696
21:00:00,9,15,20,22,21,25,12,12,18,16,22,22,16,17,13,16,14,17,19,15,8,5,13,19,24,20,18,14,7,22,19,16,491
22:00:00,3,4,9,7,12,11,13,7,11,8,7,16,14,11,9,7,11,7,14,14,15,8,13,5,7,10,9,10,7,9,10,10,288
23:00:00,6,3,4,3,7,9,12,3,9,10,10,7,8,13,5,9,6,7,6,4,4,5,3,7,7,5,14,5,0,3,7,6,194
