,2023-04-01,2023-04-02,2023-04-03,2023-04-04,2023-04-05,2023-04-06,2023-04-07,2023-04-08,2023-04-09,2023-04-10,2023-04-11,2023-04-12,2023-04-13,2023-04-14,2023-04-15,2023-04-16,2023-04-17,2023-04-18,2023-04-19,2023-04-20,2023-04-21,2023-04-22,2023-04-23,2023-04-24,2023-04-25,2023-04-26,2023-04-27,2023-04-28,2023-04-29,2023-04-30,Workday,7 Day,Count
00:00:00,461,445,229,200,162,306,453,401,417,357,238,355,398,382,425,471,201,217,178,215,511,501,482,244,212,151,210,296,447,434,276,325,9999
01:00:00,276,337,169,123,87,161,289,316,374,233,108,205,194,182,301,356,129,81,78,107,214,324,330,108,96,80,99,127,313,339,144,196,6136
02:00:00,269,273,79,96,92,93,231,241,275,183,54,143,178,139,214,295,90,63,71,105,136,231,287,75,57,70,66,116,242,280,107,151,4744
03:00:00,180,226,77,87,95,91,162,170,199,165,64,138,145,126,168,223,63,90,68,61,140,217,245,65,91,62,64,104,161,206,98,127,3953
04:00:00,134,139,128,142,163,151,146,156,146,132,152,165,145,144,138,202,130,148,151,117,256,151,151,107,121,135,169,158,131,143,148,148,4451
05:00:00,205,134,283,324,315,286,229,211,103,116,289,318,293,277,201,140,323,326,344,318,415,248,136,293,305,340,344,299,226,132,302,265,7773
06:00:00,341,193,837,1010,936,928,661,283,181,291,880,901,916,826,400,238,923,963,984,967,859,410,210,889,1035,995,994,817,383,222,881,711,20473
07:00:00,586,402,1767,1931,1863,1777,1065,463,344,337,1767,1819,1792,1524,546,373,2081,2255,2291,2220,1907,731,420,2102,2250,2308,2258,1887,581,411,1860,1467,42058
08:00:00,998,590,1942,2152,2131,1981,1121,838,404,424,2017,2088,2110,1838,1125,625,2526,2530,2587,2546,2459,1298,598,2431,2306,2522,2520,2341,1031,543,2129,1750,50622
09:00:00,1477,936,1632,1837,1681,1800,1379,1325,674,658,1718,1582,1756,1739,1599,856,1703,1901,1900,1901,1810,1999,954,1699,1923,1894,2093,1803,1745,897,1720,1585,46871
10:00:00,1822,1278,1658,1589,1663,1670,1634,1676,958,1072,1589,1558,1700,1677,1955,1165,1484,1588,1609,1781,1678,2129,1352,1504,1749,1675,1638,1717,2048,1319,1612,1600,47935
11:00:00,2051,1637,1608,1634,1709,1722,1754,1925,1167,1348,1637,1573,1675,1765,2082,1437,1508,1538,1488,1620,1706,2527,1682,1426,1679,1635,1737,1913,2186,1602,1634,1690,50971
12:00:00,2224,1923,1722,1820,1810,1936,1983,2031,1620,1652,1767,1742,1854,1969,2377,1833,1513,1656,1824,1737,1952,2511,1978,1547,1686,1796,1844,2073,2408,1996,1794,1879,56784
13:00:00,1951,2116,1851,1796,2030,2031,2018,1995,1604,1958,1832,1879,1975,1810,2215,2090,1748,1800,2105,1834,2097,2230,2235,1797,1785,2165,1976,2308,2405,2240,1940,1988,59876
14:00:00,2075,2134,1863,1832,1966,2002,2045,2055,1416,2060,1957,1885,1829,1771,2118,2088,1891,1888,2016,1897,2172,2515,2137,1940,1871,1998,1981,2323,2378,2409,1959,2009,60512
15:00:00,2036,1991,2076,1954,1939,2017,2104,1919,1600,1918,1917,1841,1916,2227,2066,1937,2241,2230,2119,2178,2349,2335,2011,2067,2204,2109,2356,2371,2195,1935,2107,2077,62158
16:00:00,2033,1963,2148,2280,2237,2264,1901,1790,1857,1915,2206,2157,1903,2193,1991,1915,2027,1954,2351,1339,2321,2253,1929,2320,2380,2430,2360,2458,2049,1561,2157,2093,62485
17:00:00,1888,1808,2378,1934,2376,2302,1910,1705,1294,1638,2184,2447,2086,2202,1778,1747,2305,1982,2435,977,2166,2098,1877,2378,2498,2421,2533,2404,1818,1759,2178,2063,61328
18:00:00,1720,1678,1747,2033,2067,2101,1671,1512,1184,1506,1774,2051,2128,2068,1677,1711,1885,2108,2118,1086,2269,1923,1683,2130,2046,2162,2328,2179,1665,2677,1973,1907,56887
19:00:00,1633,1432,1457,1663,1760,1830,1552,1486,1123,1355,1437,1658,1762,1815,1529,1272,1524,1746,1825,1471,1961,1613,1415,1646,1757,1821,1997,1988,1469,1457,1701,1627,48454
20:00:00,1124,977,1057,1359,1456,1431,1165,1021,811,988,1060,1250,1284,1317,1125,998,1363,1309,1187,1396,1499,1133,1026,1302,1205,1293,1382,1515,1050,1028,1291,1216,36111
21:00:00,824,765,704,882,1141,1049,838,707,592,680,1195,1432,975,984,753,692,761,943,964,1390,1140,761,693,1207,894,913,973,1078,783,761,1007,929,27474
22:00:00,681,561,529,604,816,849,678,684,577,547,929,1045,839,777,739,539,589,600,620,1171,1008,793,585,619,550,687,840,763,709,662,753,724,21590
23:00:00,617,404,383,338,433,563,433,543,360,360,597,672,512,508,599,316,331,308,328,691,665,575,304,283,293,319,496,602,611,483,456,463,13927
