,2023-08-01,2023-08-02,2023-08-03,2023-08-04,2023-08-05,2023-08-06,2023-08-07,2023-08-08,2023-08-09,2023-08-10,2023-08-11,2023-08-12,2023-08-13,2023-08-14,2023-08-15,2023-08-16,2023-08-17,2023-08-18,2023-08-19,2023-08-20,2023-08-21,2023-08-22,2023-08-23,2023-08-24,2023-08-25,2023-08-26,2023-08-27,2023-08-28,2023-08-29,2023-08-30,2023-08-31,Workday,7 Day,Count
00:00:00,298,244,195,314,394,434,407,237,264,253,282,434,450,253,235,206,353,288,379,477,236,256,221,264,284,494,405,187,269,246,247,263,311,9506
01:00:00,118,125,126,142,261,350,316,130,122,99,164,275,360,104,99,105,160,143,258,392,134,79,102,93,175,405,381,130,118,154,133,134,191,5753
02:00:00,85,86,71,111,215,301,236,61,90,101,117,190,279,74,78,82,92,125,220,287,112,89,81,90,143,292,283,112,124,117,89,103,147,4433
03:00:00,89,67,97,96,166,198,198,106,80,96,119,164,206,78,101,78,86,116,171,248,82,99,72,63,100,261,275,105,101,90,114,97,130,3922
04:00:00,150,170,126,159,138,174,155,131,145,123,143,146,150,135,144,170,138,150,130,202,128,147,158,151,174,181,187,140,145,169,173,149,153,4732
05:00:00,318,318,306,297,173,134,145,256,322,301,274,205,140,280,288,317,286,280,188,167,293,274,328,303,295,186,142,319,315,360,349,297,260,8159
06:00:00,911,894,930,791,326,205,246,853,874,890,835,361,214,836,942,938,866,784,367,214,812,908,936,895,780,341,198,839,940,933,931,851,687,21790
07:00:00,1718,1768,1710,1365,488,379,339,1613,1730,1659,1484,505,354,1646,1861,1830,1744,1540,513,416,1641,1842,1893,1852,1674,558,347,1883,2042,2106,2107,1698,1340,42607
08:00:00,2146,2108,1961,1667,825,478,422,2043,2032,2041,1853,843,450,1846,2109,2123,2075,1802,843,668,1908,2205,2252,2135,1983,933,480,2192,2638,2657,2613,2035,1651,52331
09:00:00,1670,1706,1803,1693,1282,835,676,1662,1693,1666,1568,1288,782,1531,1755,1735,1835,1654,1405,850,1635,1903,1798,1838,1835,1567,795,1618,1832,1869,1977,1694,1524,47756
10:00:00,1615,1698,1583,1750,1649,1137,991,1703,1636,1607,1683,1713,1083,1532,1651,1678,1669,1692,1751,1182,1596,1700,1678,1726,1734,1798,1193,1674,1629,1642,1627,1630,1575,49000
11:00:00,1627,1652,1747,1854,1932,1426,1297,1755,1682,1710,1728,2057,1387,1603,1669,1668,1677,1804,2027,1582,1627,1759,1692,1776,1981,2186,1531,1765,1853,1715,1712,1711,1727,53481
12:00:00,1846,1896,1887,1994,2110,1738,1602,1797,1783,1788,1981,2220,1730,1777,1785,1728,1840,2032,2250,1707,1823,1820,1895,1976,2132,2269,1819,1908,1983,1902,2023,1878,1907,59041
13:00:00,1927,1938,1964,2158,2037,1733,1598,1969,1959,1944,2018,2129,2000,1763,1873,1934,2005,2056,2407,1953,1822,2101,2091,2009,2324,2208,2142,2028,2069,2219,2057,1992,2016,62435
14:00:00,2006,1962,1977,2140,2058,1580,1792,2004,1940,1931,2127,2135,1994,1883,1967,2011,2024,2149,2365,2010,1847,1969,2034,2135,2319,2236,1867,2057,2061,2110,2059,2022,2024,62749
15:00:00,2062,2056,1960,2248,1900,1738,1816,1985,1988,1884,2267,2086,2013,1939,1987,1964,1999,2272,2102,2035,1929,2035,2051,2086,2332,1990,2087,2212,2274,2134,2201,2073,2050,63632
16:00:00,2341,2452,2368,2190,1903,1611,1607,2302,2289,2289,2387,2003,1756,2229,2310,2368,2327,2004,2031,1848,2225,2477,2401,2429,2464,1896,1907,2424,2510,2363,2524,2317,2189,68235
17:00:00,2422,2437,2405,2115,1531,1377,1651,2407,2312,2330,2223,1765,1760,2322,2539,2563,2371,1879,1709,1770,2441,2567,2595,2547,2351,1854,1764,2456,2641,2520,2517,2374,2179,68141
18:00:00,2050,2103,2089,1798,1528,1353,1451,1990,2011,2185,1853,1713,1596,1824,2004,2081,2200,1657,1462,1563,1939,2071,2194,2169,2100,1680,1611,1905,2217,2119,2150,2007,1880,58666
19:00:00,1625,1655,1812,1608,1341,1254,1321,1463,1651,1771,1683,1485,1275,1428,1608,1736,1730,1371,1389,1408,1552,1667,1734,1840,1795,1412,1455,1537,1697,1718,1857,1646,1569,48878
20:00:00,1148,1175,1277,1281,1015,954,918,1157,1305,1157,1265,1101,900,1045,1296,1286,1301,968,1107,1014,1155,1237,1205,1471,1398,1084,1092,1170,1426,1300,1473,1235,1178,36681
21:00:00,756,926,1057,811,682,710,627,834,949,951,979,751,744,846,834,1047,847,630,874,709,761,829,982,953,880,705,735,726,810,845,1001,864,828,25791
22:00:00,595,666,757,615,625,623,468,614,655,706,709,661,556,641,629,854,703,517,707,482,529,587,658,659,781,716,503,505,580,566,671,638,629,19538
23:00:00,402,405,466,466,502,501,366,390,491,496,544,551,393,433,415,492,471,472,587,393,358,385,398,460,600,624,347,355,333,353,403,433,448,13852
