,2023-12-01,2023-12-02,2023-12-03,2023-12-04,2023-12-05,2023-12-06,2023-12-07,2023-12-08,2023-12-09,2023-12-10,2023-12-11,2023-12-12,2023-12-13,2023-12-14,2023-12-15,2023-12-16,2023-12-17,2023-12-18,2023-12-19,2023-12-20,2023-12-21,2023-12-22,2023-12-23,2023-12-24,2023-12-25,2023-12-26,2023-12-27,2023-12-28,2023-12-29,2023-12-30,2023-12-31,Workday,7 Day,Count
00:00:00,424,644,610,184,184,151,184,411,790,679,213,169,175,261,438,763,696,195,212,281,321,622,681,586,138,139,263,286,414,443,417,270,373,11974
01:00:00,242,457,439,75,70,66,89,207,552,470,115,90,93,108,276,561,504,101,110,155,205,410,527,441,115,86,226,207,232,332,300,156,242,7861
02:00:00,175,319,332,82,60,63,86,191,396,419,135,64,79,77,223,404,395,93,96,135,165,343,436,316,47,47,200,203,178,279,189,131,193,6227
03:00:00,116,269,272,74,78,76,74,121,283,335,99,80,51,85,147,311,348,105,84,79,114,244,386,271,21,52,181,130,139,213,156,102,154,4994
04:00:00,161,191,189,152,143,114,135,155,195,196,184,140,140,156,163,244,250,168,162,168,150,236,284,161,13,78,148,144,165,190,167,146,164,5142
05:00:00,287,127,119,297,327,346,311,310,164,154,298,305,370,325,292,153,152,346,311,310,252,296,182,178,42,101,164,167,180,135,126,268,234,7127
06:00:00,834,341,242,857,900,975,1002,844,378,250,897,936,986,959,808,365,268,829,866,884,758,617,303,294,70,168,329,339,399,282,251,727,604,18231
07:00:00,1904,651,371,1941,2062,2134,2130,1867,607,409,1985,2113,2232,2133,1845,589,466,2026,2111,2121,1869,1369,585,582,160,233,541,559,557,421,356,1614,1297,38929
08:00:00,2492,1120,522,2655,2523,2672,2518,2385,1135,490,2627,2652,2745,2673,2520,1128,578,2514,2694,2539,2488,2079,1183,754,185,312,607,817,825,586,418,2072,1706,51436
09:00:00,1915,1715,938,1930,2030,1980,2133,1900,1812,991,1958,2043,1968,2093,1887,1837,1055,2003,2092,2050,2113,1997,1790,1057,301,508,845,1023,1020,948,644,1704,1583,48576
10:00:00,1894,2039,1416,1655,1683,1709,1808,1868,2367,1636,1752,1762,1772,1856,1965,2095,1524,1862,1928,2002,2058,2155,1931,1465,554,751,1144,1320,1404,1334,1083,1662,1670,51792
11:00:00,1876,2260,1826,1824,1672,1722,1878,1924,2547,2040,1818,1792,1836,1965,2106,2330,2050,1960,2052,2110,2178,2278,2227,1808,756,1073,1494,1725,1858,1665,1282,1805,1861,57932
12:00:00,2096,2380,2193,1774,1798,2030,1989,2199,2075,2333,2012,2003,2057,2077,2193,2443,2315,2151,2083,2355,1905,2093,2385,1996,943,1306,1834,2156,2291,2079,1597,1969,2029,63141
13:00:00,2249,2449,2269,1894,1964,2201,2120,2273,2014,2453,1985,2021,2224,2173,2263,2489,2372,2057,2185,2319,2316,2249,2333,1972,1069,1477,2059,2332,2411,2141,1757,2088,2127,66090
14:00:00,2385,2427,2355,2004,1982,2122,2192,2414,1717,2399,2139,2106,2193,2187,2359,2346,2328,2216,2235,2184,2390,2302,2391,1938,910,1559,2107,2387,2325,2179,1820,2128,2146,66598
15:00:00,2517,2231,2274,2212,2297,2156,2363,2583,2193,2277,2376,2408,2374,2365,2541,2328,2396,2337,2422,2216,2448,2367,2339,1842,534,1469,2115,2236,2300,2154,1715,2221,2208,68385
16:00:00,2553,2360,2340,2394,2635,2346,2568,2672,2237,2161,2425,2577,2576,2493,2420,2323,2295,2486,2650,2632,2442,2436,2182,1642,457,1291,1939,2145,2305,2049,1633,2307,2254,69664
17:00:00,2539,2086,2186,2516,2678,2179,2444,2615,1952,2023,1515,2373,2789,2615,2344,2279,1881,2409,2416,2563,2427,2182,2062,1360,512,1116,1739,1990,2085,1847,1447,2193,2113,65169
18:00:00,2459,2046,1798,2015,2502,2181,2305,2536,2138,1753,1852,2087,2222,2406,2375,2123,1745,2022,2259,2277,2323,2116,1797,1009,562,928,1448,1720,1789,1546,1273,2018,1934,59612
19:00:00,2283,1899,1361,1564,2095,1838,2202,2372,2014,1401,1499,1762,2031,2160,2233,1871,1474,1717,2023,2063,2160,2029,1600,863,570,849,1047,1381,1530,1295,1117,1781,1698,52303
20:00:00,1529,1144,1043,1151,1256,1166,1641,1772,1229,1045,1191,1260,1455,1547,1660,1249,1089,1276,1389,1530,1671,1474,1245,640,504,567,787,982,1093,888,899,1281,1214,37372
21:00:00,1298,754,740,818,910,964,1167,1187,918,778,825,950,1031,1274,1280,894,744,956,900,1148,1281,1236,937,500,352,480,640,790,759,712,626,964,906,27849
22:00:00,1070,773,505,618,575,695,911,994,874,579,502,666,685,947,1031,900,630,669,852,771,960,1005,826,350,299,384,519,550,677,652,463,732,710,21932
23:00:00,897,875,316,309,317,375,601,896,905,300,338,407,417,699,808,775,388,456,518,536,701,794,620,209,173,422,360,445,508,514,372,523,524,16251
