,2023-02-01,2023-02-02,2023-02-03,2023-02-04,2023-02-05,2023-02-06,2023-02-07,2023-02-08,2023-02-09,2023-02-10,2023-02-11,2023-02-12,2023-02-13,2023-02-14,2023-02-15,2023-02-16,2023-02-17,2023-02-18,2023-02-19,2023-02-20,2023-02-21,2023-02-22,2023-02-23,2023-02-24,2023-02-25,2023-02-26,2023-02-27,2023-02-28,Workday,7 Day,Count
00:00:00,149,158,249,456,437,354,130,186,142,254,439,426,212,186,252,224,470,396,406,166,153,136,175,230,412,438,155,129,206,269,7520
01:00:00,79,76,178,306,340,267,49,85,80,126,300,354,127,136,135,132,298,337,321,81,77,91,87,118,308,360,81,70,119,179,4999
02:00:00,77,78,176,243,283,216,47,66,92,89,211,269,110,92,94,100,255,209,244,82,54,77,76,112,206,297,71,68,102,143,3994
03:00:00,47,64,95,170,214,153,54,64,71,65,136,161,92,77,91,72,199,179,221,63,84,50,60,88,164,221,71,61,81,110,3087
04:00:00,109,104,118,144,94,89,99,108,103,89,136,84,124,113,109,89,149,138,86,111,86,123,118,117,126,91,120,108,109,110,3085
05:00:00,313,293,279,211,109,144,329,311,324,275,167,112,264,339,297,303,278,180,116,296,333,309,352,300,163,125,285,322,297,255,7129
06:00:00,930,942,868,305,281,240,886,906,945,868,420,260,834,904,914,917,834,290,259,887,922,962,911,891,373,278,888,1007,873,712,19922
07:00:00,2160,2090,1944,569,397,397,2202,2144,1978,2011,601,372,1715,1863,1920,1820,1600,540,415,2072,2231,2242,2189,2059,609,373,2121,2305,1953,1534,42939
08:00:00,2550,2582,2475,1061,522,382,2525,2536,2475,2418,1025,530,1900,2097,2142,2140,1825,936,526,2584,2576,2605,2573,2519,1077,532,2502,2547,2298,1863,52162
09:00:00,1955,1925,1841,1588,849,645,1963,1817,1955,1825,1753,842,1585,1694,1794,1661,1704,1481,848,1764,1997,1916,1859,1821,1687,983,1716,1870,1765,1619,45338
10:00:00,1552,1533,1617,1938,1126,1029,1534,1539,1576,1674,1959,1220,1580,1590,1607,1622,1661,1799,1302,1533,1562,1527,1549,1655,2031,1350,1539,1535,1551,1562,43739
11:00:00,1575,1517,1756,2143,1548,1414,1640,1578,1696,1742,2192,1543,1562,1611,1609,1715,1870,2164,1559,1466,1497,1561,1683,1701,2259,1691,1609,1598,1620,1696,47499
12:00:00,1817,1683,1957,2345,1823,1733,1744,1808,1761,1918,2343,1957,1785,1801,1788,1904,2037,2320,1815,1674,1700,1740,1696,1982,2438,2155,1664,1624,1791,1893,53012
13:00:00,2059,1846,2134,2395,2019,2026,1769,2090,1842,2133,2541,2232,1865,1879,1999,2047,2097,2256,2143,1764,1802,2206,1910,2194,2443,2333,1775,1775,1961,2056,57574
14:00:00,1959,1995,2161,2016,2111,1946,1893,1966,1971,2113,2151,2008,1745,1936,1827,1951,2269,2221,2324,1815,1838,1970,1974,2291,2263,2266,1806,1842,1963,2022,56628
15:00:00,2095,2298,2408,1877,1866,1937,2248,1961,2202,2386,1770,1885,1982,1960,1958,1986,2310,2067,2089,2197,2235,2095,2271,2439,1844,2081,2221,2197,2169,2102,58865
16:00:00,2425,2432,2367,1827,1786,1862,2469,2246,2349,2359,1803,1907,2175,2354,2272,2393,2232,1906,1785,2234,2420,2418,2421,2423,1981,1905,2360,2473,2334,2199,61584
17:00:00,2525,2399,2430,1726,1626,1860,2513,2452,2563,2391,1815,1844,2329,2585,2388,1940,2192,1898,1976,2391,2531,2447,2582,2356,1990,2018,2451,2538,2393,2241,62756
18:00:00,2130,2117,2213,1820,1475,1619,2030,2065,2167,2210,1620,1525,1882,2039,1959,1590,2060,1658,2200,1915,2064,2190,2209,2156,1635,1574,1935,2155,2035,1936,54212
19:00:00,1626,1800,1795,1522,1211,1304,1572,1703,1734,1924,1472,1247,1511,1632,1774,1767,1748,1498,1369,1609,1612,1845,1925,1972,1546,1360,1644,1674,1709,1621,45396
20:00:00,1130,1329,1252,944,907,933,1072,1119,1250,1242,985,959,1045,1154,1090,1337,1303,1071,937,1067,1216,1139,1263,1257,1049,888,1071,1153,1171,1113,31162
21:00:00,871,986,949,1274,605,582,874,928,957,946,680,616,720,795,839,1046,916,646,729,844,823,961,967,991,609,710,862,935,890,845,23661
22:00:00,527,692,675,1384,544,474,595,682,646,856,616,509,513,600,586,707,824,650,455,425,502,551,803,790,638,507,449,525,621,633,17725
23:00:00,291,410,589,548,426,240,299,321,370,638,589,334,282,375,367,655,568,550,301,286,245,303,412,577,488,316,263,261,388,404,11304
