,2024-02-01,2024-02-02,2024-02-03,2024-02-04,2024-02-05,2024-02-06,2024-02-07,2024-02-08,2024-02-09,2024-02-10,2024-02-11,2024-02-12,2024-02-13,2024-02-14,2024-02-15,2024-02-16,2024-02-17,2024-02-18,2024-02-19,2024-02-20,2024-02-21,2024-02-22,2024-02-23,2024-02-24,2024-02-25,2024-02-26,2024-02-27,2024-02-28,2024-02-29,Workday,7 Day,Count
00:00:00,170,238,397,529,360,121,116,190,196,478,426,207,177,176,281,309,332,455,140,130,158,183,341,367,472,150,240,239,231,207,271,7809
01:00:00,104,147,219,408,243,54,69,65,156,281,349,129,92,126,144,224,255,338,87,78,102,84,191,270,326,77,180,181,140,127,178,5119
02:00:00,74,102,196,374,201,53,73,69,109,239,252,93,96,94,133,212,192,248,67,62,73,83,112,207,268,78,153,152,121,105,146,4186
03:00:00,116,107,192,269,244,62,53,70,104,167,189,84,105,78,128,164,181,226,79,61,61,81,100,192,265,89,132,133,129,104,134,3861
04:00:00,135,159,172,215,170,114,112,139,190,142,150,174,123,120,157,180,162,175,165,124,116,188,162,167,180,178,129,117,169,149,155,4484
05:00:00,334,317,148,140,131,325,353,347,300,130,148,317,336,383,340,308,174,151,344,338,359,327,323,150,164,328,358,348,301,325,275,8022
06:00:00,966,852,312,277,254,1043,1018,1022,881,341,355,837,1000,948,972,844,361,285,872,966,989,955,930,401,293,874,986,1017,982,915,747,21833
07:00:00,2149,1922,579,368,356,2191,2183,2171,1930,597,489,1722,2040,1975,1913,1618,578,410,2092,2222,2179,2158,1963,680,369,2118,2227,2172,2209,1977,1557,45580
08:00:00,2700,2537,980,524,419,2637,2725,2485,2524,1067,674,2267,2283,2305,2081,1875,946,528,2632,2636,2653,2681,2607,1071,570,2543,2723,2724,2655,2414,1951,57052
09:00:00,2125,1898,1599,870,651,2041,2052,1967,1922,1642,1003,1757,1777,1791,1710,1675,1465,885,1832,2066,2022,2058,1797,1692,890,1716,1965,2000,2009,1849,1680,48877
10:00:00,1674,1703,1937,1238,1120,1521,1567,1549,1658,1860,1386,1577,1668,1647,1688,1525,1759,1291,1490,1614,1594,1628,1740,2023,1339,1476,1556,1577,1735,1586,1591,46140
11:00:00,1674,1810,2310,1583,1399,1611,1674,1603,1821,2118,1645,1590,1726,1686,1670,1721,2198,1709,1527,1576,1630,1688,1814,2303,1628,1608,1589,1594,1671,1652,1733,50176
12:00:00,1815,2074,2394,1927,1724,1741,1805,1821,2074,2302,2022,1707,1769,1869,1952,2043,2259,1933,1645,1656,1848,1769,2038,2479,1985,1637,1699,1887,1842,1829,1925,55716
13:00:00,1915,2160,2509,2206,1926,1854,2149,1883,2223,2284,2222,1840,1950,1960,2015,2186,2295,2135,1720,1805,2178,1980,2236,2601,2080,1737,1944,2136,1966,1989,2075,60095
14:00:00,1955,2281,2639,2124,2025,1905,1988,1959,2342,2189,2224,1852,2005,1961,1990,2328,2243,2313,1824,1875,1974,1829,2296,2104,2283,1977,1927,2109,2005,2019,2090,60526
15:00:00,2339,2517,2597,2006,2121,2135,2110,2256,2485,2069,1857,2004,2111,2089,2066,2348,2221,2223,2155,2166,2158,2214,2421,1766,1995,2226,2245,2161,2267,2219,2182,63328
16:00:00,2375,2409,2212,1887,1850,2328,2492,2531,2498,1949,1673,2246,2500,2300,2446,2331,2020,2118,2440,2345,2481,2556,2498,1947,1729,2496,2418,2502,2488,2406,2274,66065
17:00:00,2633,2421,1729,1691,1694,2069,2650,2429,2536,2094,1777,2385,2609,2082,2467,2360,1948,1892,2474,2480,2561,2538,2493,1859,2127,2515,2613,2660,2704,2446,2287,66490
18:00:00,2285,2176,1539,1566,1455,1942,2163,2244,2300,1941,1531,2000,2119,1590,2214,2075,2034,1630,1964,2105,2218,2212,2073,1755,2070,2004,2152,2162,2345,2086,1992,57864
19:00:00,1972,1791,2414,1242,1298,1610,1794,1914,1769,1523,1223,1607,1752,1789,1983,1873,1539,1342,1638,1807,1930,1856,1938,1573,1279,1727,1779,1887,1966,1794,1715,49815
20:00:00,1419,1177,1525,934,896,1115,1247,1388,1340,1040,947,1054,1193,1199,1490,1285,1081,943,1123,1238,1274,1437,1304,1080,912,1208,1300,1399,1471,1265,1206,35019
21:00:00,1032,829,872,691,675,757,929,1013,1191,1667,764,841,904,926,1174,992,727,651,809,941,1016,1488,1263,841,675,1425,1375,1365,1208,1055,1000,29041
22:00:00,728,743,777,555,449,482,550,703,792,979,599,511,590,884,852,769,727,449,584,567,665,1180,870,796,497,1010,880,929,872,743,723,20989
23:00:00,432,522,638,415,291,262,319,357,620,549,350,340,333,508,498,545,582,289,328,345,407,686,577,570,283,471,553,503,500,447,451,13073
