,2024-01-01,2024-01-02,2024-01-03,2024-01-04,2024-01-05,2024-01-06,2024-01-07,2024-01-08,2024-01-09,2024-01-10,2024-01-11,2024-01-12,2024-01-13,2024-01-14,2024-01-15,2024-01-16,2024-01-17,2024-01-18,2024-01-19,2024-01-20,2024-01-21,2024-01-22,2024-01-23,2024-01-24,2024-01-25,2024-01-26,2024-01-27,2024-01-28,2024-01-29,2024-01-30,2024-01-31,Workday,7 Day,Count
00:00:00,499,161,189,186,217,320,,,,217,236,312,306,344,149,212,160,149,227,355,394,157,207,158,165,227,414,501,137,121,127,201,251,6847
01:00:00,490,77,101,96,100,3,,,,188,204,157,194,300,90,91,91,96,155,197,275,96,78,77,85,132,238,314,87,74,77,126,162,4160
02:00:00,388,40,52,72,77,,,,,110,143,122,166,217,80,75,93,74,134,154,225,56,63,60,83,116,232,300,71,61,63,97,131,3327
03:00:00,356,92,66,81,81,,,,,123,128,170,154,182,74,87,84,71,135,178,205,88,55,70,71,92,203,235,70,67,73,102,128,3291
04:00:00,191,107,127,119,153,,,,,98,157,159,162,146,164,130,104,149,153,157,139,165,113,115,151,162,173,133,133,141,121,139,142,3822
05:00:00,139,201,281,238,271,,,,,363,305,274,150,131,328,302,291,335,294,171,117,298,342,340,326,319,151,128,291,307,372,296,252,7065
06:00:00,212,691,783,731,738,,,,,957,1003,816,316,249,857,906,889,932,782,304,232,857,906,999,939,856,308,232,882,936,1026,843,680,19339
07:00:00,233,1403,1578,1560,1441,,,,,2114,2141,1938,549,364,1991,2089,2158,2082,1813,592,351,2012,2212,2247,2114,1916,575,394,2063,2216,2208,1882,1479,42354
08:00:00,226,1493,1754,1892,1709,,,,,2625,2675,2618,956,500,2551,2596,2664,2365,2533,999,431,2622,2626,2697,2605,2640,1073,584,2619,2776,2606,2328,1879,53435
09:00:00,343,1258,1446,1602,1531,,,,,1875,1883,1789,1579,934,1777,1980,2046,2002,1756,1533,755,1881,1962,2024,1973,1771,1736,918,1789,1997,1958,1745,1601,44098
10:00:00,536,1336,1430,1507,1528,1203,,,,1401,1516,1563,1832,1272,1423,1439,1547,1597,1611,1854,1005,1498,1545,1524,1549,1672,1963,1248,1479,1766,1554,1477,1479,41398
11:00:00,766,1550,1695,1602,1805,2081,,,,1477,1553,1692,2188,1630,1490,1514,1538,1540,1756,2022,1401,1571,1515,1614,1629,1689,2301,1679,1449,1787,1627,1565,1661,46161
12:00:00,1027,1975,1969,1959,2032,2331,,,,1725,1691,1863,2285,2000,1520,1601,1739,1680,1903,2007,1671,1639,1633,1925,1768,1999,2336,2045,1754,1655,1895,1760,1856,51627
13:00:00,1338,1992,1982,2047,2111,2273,,,307,1948,1810,2029,2439,2195,1749,1811,1992,1827,2080,2449,1617,1804,1816,2191,1854,2193,2460,2112,1800,1825,2135,1921,2006,55879
14:00:00,1391,2057,1818,2022,2167,2353,,,1835,1929,1894,2211,2389,2168,1945,1874,2054,1929,2318,2333,1531,1803,1828,2010,1965,2324,2483,2235,1875,1932,2060,1966,2036,58733
15:00:00,1337,2132,1994,2056,2264,2171,,,2147,1931,2209,2479,2225,2221,2203,2266,2046,2138,2510,2170,1570,2100,2175,2051,2169,2573,2314,2106,2210,2247,2226,2157,2144,62240
16:00:00,1185,2372,2330,2347,2231,534,,,2392,1861,2465,2537,2142,2313,2515,2500,2390,2375,2504,2214,1376,2438,2500,2520,2434,2434,2143,1921,2405,2570,2517,2356,2259,63931
17:00:00,1171,2327,2303,2542,2303,,,,2598,2501,2722,2405,1883,1793,2556,2630,2727,2596,2449,1814,1175,2448,2540,2688,2569,2515,2057,1819,2522,2523,2472,2459,2259,64648
18:00:00,1045,1816,1710,1911,1965,,,,1961,2075,2146,2006,1669,1555,1882,2047,2099,2165,2047,1490,905,1901,2028,2251,2228,2170,1745,1511,1967,2043,2161,1983,1839,52499
19:00:00,976,1225,1367,1521,1635,,,,1589,1628,1636,1666,1379,1156,1531,1582,1738,1771,1831,1312,742,1597,1519,1827,1759,1897,1536,1209,1574,1764,1825,1612,1500,42792
20:00:00,689,866,930,1087,1253,,,,1012,1129,1214,1228,989,894,1116,1041,1176,1310,1385,888,608,1039,1175,1258,1490,1332,1057,864,1119,1126,1245,1146,1071,30520
21:00:00,515,624,640,838,925,,,,1066,1349,1478,994,799,681,772,812,831,950,864,683,437,744,690,900,1092,998,714,620,853,808,911,893,825,23588
22:00:00,405,403,541,607,664,,,,740,968,1002,662,623,399,491,486,516,553,618,783,293,509,456,575,666,800,601,441,593,504,690,611,586,16589
23:00:00,311,280,308,330,125,,,,508,584,610,447,466,241,287,240,218,316,485,528,186,277,269,301,400,549,573,269,306,271,367,365,368,9927
