,2023-07-01,2023-07-02,2023-07-03,2023-07-04,2023-07-05,2023-07-06,2023-07-07,2023-07-08,2023-07-09,2023-07-10,2023-07-11,2023-07-12,2023-07-13,2023-07-14,2023-07-15,2023-07-16,2023-07-17,2023-07-18,2023-07-19,2023-07-20,2023-07-21,2023-07-22,2023-07-23,2023-07-24,2023-07-25,2023-07-26,2023-07-27,2023-07-28,2023-07-29,2023-07-30,2023-07-31,Workday,7 Day,Count
00:00:00,499,418,278,239,183,206,221,466,610,277,246,369,361,349,468,442,291,260,211,209,312,480,444,271,334,228,251,332,475,469,297,273,331,10496
01:00:00,299,364,135,145,120,115,161,340,434,226,129,234,295,168,328,381,139,139,151,139,125,312,354,147,109,140,115,179,328,369,128,154,210,6748
02:00:00,274,296,107,82,74,75,115,225,311,91,93,157,191,146,238,283,101,87,83,73,131,210,291,75,63,105,87,103,237,248,105,102,148,4757
03:00:00,226,249,101,92,78,87,97,184,263,79,100,189,144,109,214,228,89,113,72,82,110,174,257,82,85,94,81,115,192,239,82,99,134,4307
04:00:00,192,173,138,166,155,131,132,148,220,140,167,189,173,172,144,168,139,152,115,153,170,150,158,137,120,161,142,153,152,156,144,150,155,4810
05:00:00,222,151,315,297,357,335,294,187,177,346,315,370,337,301,219,140,335,321,355,327,283,175,114,340,306,349,310,286,219,153,326,324,282,8562
06:00:00,435,230,817,959,947,892,809,403,263,831,949,931,930,784,326,220,861,915,930,929,799,358,229,853,960,949,955,784,378,264,777,884,720,21667
07:00:00,609,483,1621,1826,1785,1704,1466,537,413,1644,1872,1754,1734,1576,523,354,1595,1745,1805,1757,1510,514,362,1590,1760,1713,1722,1538,538,384,1535,1679,1334,39969
08:00:00,1065,602,1897,2139,2109,1951,1856,973,520,1910,2094,2148,2057,1785,894,538,1898,2085,2107,2064,1730,857,503,1875,2099,2104,2096,1775,963,485,1842,1982,1627,49021
09:00:00,1474,812,1606,1782,1781,1705,1657,1358,806,1519,1779,1704,1736,1645,1279,793,1539,1717,1779,1776,1676,1375,748,1596,1770,1779,1861,1617,1396,823,1528,1693,1520,46416
10:00:00,1794,1138,1571,1704,1663,1734,1622,1733,1132,1545,1698,1747,1668,1628,1742,1146,1539,1651,1664,1708,1697,1683,1113,1587,1664,1661,1660,1578,1834,1115,1503,1642,1585,48922
11:00:00,1949,1474,1571,1511,1608,1659,1617,1936,1420,1586,1645,1660,1553,1693,1937,1473,1576,1699,1591,1618,1786,1925,1404,1549,1700,1675,1669,1672,2037,1414,1566,1629,1648,51173
12:00:00,2178,1773,1659,1709,1727,1750,1934,2154,1758,1749,1650,1766,1783,1969,2138,1719,1725,1713,1765,1719,1994,2080,1719,1756,1838,1816,1879,1936,2259,1748,1696,1787,1835,57059
13:00:00,2139,2016,1744,1860,1853,1854,2060,2107,2121,1854,1850,1924,1911,2036,2111,1924,1691,1916,1833,1888,2111,2070,1920,1846,1903,1795,1963,2032,2227,1965,1865,1895,1942,60389
14:00:00,2028,1957,1871,1858,1877,1858,2084,2165,1938,1814,1862,1923,1758,2140,2132,1904,1746,1906,1798,1873,2094,2108,1855,1786,1822,1771,1952,2196,2230,1937,1882,1899,1935,60125
15:00:00,1903,1749,1946,1862,1917,1781,2206,2086,1777,1902,1836,1837,1902,2164,1981,1838,1819,1896,1849,1855,2212,1994,1669,1798,1869,1840,1959,2297,2061,1799,1868,1934,1920,59472
16:00:00,1867,1675,2240,2317,2183,2154,2219,1778,1716,2216,2161,2173,2159,2174,1894,1654,2135,2217,2220,2309,2305,1804,1489,2106,2259,2193,2321,2230,1997,1499,2187,2213,2077,63851
17:00:00,1658,1520,2280,2330,2289,2099,2100,1624,1642,2207,2321,2280,2312,2239,1731,1609,2351,2433,2355,2341,2301,1744,1588,2215,2379,2342,2380,2244,1745,1518,2277,2289,2103,64454
18:00:00,1611,1628,1865,1965,1879,1763,1865,1446,1569,1801,1887,1913,2041,1866,1570,1578,1796,1967,2003,2072,1821,1524,1546,1845,1922,1991,2198,2066,1584,1427,1840,1922,1815,55849
19:00:00,1391,1295,1587,1536,1696,1543,1717,1308,1250,1396,1535,1634,1790,1701,1362,1420,1523,1489,1632,1627,1614,1374,1305,1468,1546,1670,1856,1766,1404,1232,1455,1609,1530,47122
20:00:00,1002,953,1084,1118,1260,1195,1245,1140,1047,1133,1138,1244,1224,1226,1048,1045,1035,1152,1230,1255,1296,961,872,1048,1191,1128,1328,1330,1101,908,1146,1191,1138,35083
21:00:00,758,720,786,813,767,737,876,951,773,703,1399,1494,1010,920,676,773,738,855,941,898,792,709,627,706,890,868,1039,1126,768,759,712,908,863,26584
22:00:00,654,506,516,537,522,573,670,727,573,511,1045,1260,761,727,606,581,479,585,606,700,693,616,576,556,651,561,746,798,644,545,581,670,651,20106
23:00:00,606,356,384,373,369,398,511,741,390,341,677,741,548,583,584,379,348,397,374,435,627,578,457,361,433,373,546,617,626,392,420,469,481,14965
