,2024-06-01,2024-06-02,2024-06-03,2024-06-04,2024-06-05,2024-06-06,2024-06-07,2024-06-08,2024-06-09,2024-06-10,2024-06-11,2024-06-12,2024-06-13,2024-06-14,2024-06-15,2024-06-16,2024-06-17,2024-06-18,2024-06-19,2024-06-20,2024-06-21,2024-06-22,2024-06-23,2024-06-24,2024-06-25,2024-06-26,2024-06-27,2024-06-28,2024-06-29,2024-06-30,Workday,7 Day,Count
00:00:00,507,458,479,223,204,190,293,434,488,255,336,247,250,292,502,521,258,265,260,288,367,497,453,327,228,345,221,503,490,473,292,346,10654
01:00:00,305,330,387,99,121,148,200,273,332,139,139,129,136,181,356,387,134,110,116,137,243,400,336,148,102,161,113,356,284,353,165,214,6655
02:00:00,237,238,328,60,73,97,125,209,279,101,71,57,122,140,224,308,99,66,77,121,152,283,250,118,104,142,114,213,264,337,119,160,5009
03:00:00,198,240,293,113,73,107,95,227,234,140,145,86,136,102,213,267,121,82,90,121,154,302,266,117,104,122,119,194,240,388,126,163,5089
04:00:00,188,183,208,196,186,164,219,210,206,200,195,188,218,206,200,167,204,164,197,199,239,200,187,160,189,179,157,209,165,223,194,194,5806
05:00:00,171,193,142,314,351,328,280,167,144,285,381,368,335,335,175,153,321,337,348,347,339,174,138,326,347,319,350,341,143,168,325,278,8120
06:00:00,409,469,284,946,950,981,872,400,299,828,972,961,922,875,409,279,822,910,1029,894,803,392,270,847,944,934,939,866,450,275,879,732,21231
07:00:00,588,1055,402,1905,2034,1942,1667,676,497,1882,1930,1967,1867,1751,624,491,1751,1988,1876,1856,1598,591,431,1672,1859,1944,1815,1547,700,433,1763,1433,41339
08:00:00,1002,676,492,2180,2189,2305,2197,1064,687,2326,2336,2421,2380,2040,966,704,2095,2417,2394,2301,2110,958,609,2151,2246,2199,2181,1994,1124,639,2148,1775,51383
09:00:00,1739,952,834,1959,1278,1954,1709,1597,882,1874,1934,1995,2035,1817,1661,940,1672,1911,1913,2031,1767,1580,885,1681,1955,1935,1869,1773,1489,906,1795,1643,48527
10:00:00,2099,910,1057,1648,1463,1781,1698,1877,1286,1595,1624,1636,1629,1817,1916,1414,1583,1670,1664,1705,1664,1885,1254,1591,1631,1783,1734,1770,1897,1236,1637,1620,48517
11:00:00,2365,1194,1497,1827,1800,1763,1849,2260,1698,1632,1544,1732,1717,1928,2191,1669,1519,1777,1760,1765,1902,2087,1540,1619,1688,1664,1718,1941,2044,1585,1732,1770,53275
12:00:00,2478,1368,1727,1932,1997,2022,2095,2280,1883,1794,1849,1846,1906,2087,2357,1946,1784,1827,1852,1908,2052,2241,1822,1803,1786,1830,1949,2179,2179,1882,1911,1949,58661
13:00:00,2518,1588,1861,1935,1926,2115,2349,2177,2048,1845,1962,2050,1994,1926,2316,2132,1872,1971,2042,1990,2136,2145,2032,1849,1921,1959,2131,2182,2303,2070,2001,2039,61345
14:00:00,2225,1603,1909,2026,2032,2055,2282,2140,2170,1892,2040,2043,2069,2070,2248,2031,1976,2061,2075,2102,2286,2010,2044,1841,2028,1980,2038,2200,2244,2021,2050,2057,61741
15:00:00,2091,1538,1885,2097,2166,2340,2368,2052,1995,2094,2168,1798,2171,2301,2100,2003,1965,2003,2009,2180,2230,2018,1850,1978,2169,2050,2192,2271,2164,1946,2122,2080,62192
16:00:00,2316,1552,1818,2355,2422,2365,2461,2012,1805,2305,2413,2328,2419,1702,2002,1978,2269,2383,2431,2479,2381,2021,1787,2254,2273,2410,2420,2439,2030,1910,2316,2209,65740
17:00:00,2162,1561,1707,2308,2484,2497,2522,1847,1711,2337,2598,2420,2544,1212,1800,1833,2325,1835,2617,2454,2348,1892,1705,2419,2271,2577,2496,2407,1938,1750,2319,2176,64577
18:00:00,1613,1502,1639,1941,2158,2313,2119,1762,1632,1841,2245,2242,2271,1950,1703,1686,1791,1959,2089,2371,2038,1757,1681,1995,2127,2032,2159,2069,1714,1589,2067,1952,57988
19:00:00,1401,1264,1339,1654,1657,1886,1797,1518,1474,1493,1743,1753,1908,1828,1415,1519,1482,1567,1720,1995,1745,1443,1406,1450,1758,1724,1897,1807,1390,1329,1710,1626,48362
20:00:00,1061,970,1186,1160,1236,1257,1366,1132,910,1089,1154,1353,1446,1276,1020,1012,1093,1093,1327,1274,1292,1077,1027,1135,1192,1246,1382,1307,967,1016,1243,1179,35056
21:00:00,763,690,746,875,866,892,970,865,707,790,1000,942,1042,995,797,735,695,835,1060,947,901,719,762,735,818,887,1776,938,679,684,936,880,26111
22:00:00,751,693,503,548,489,939,765,785,808,569,1050,654,808,926,1214,863,510,846,836,1118,891,726,785,562,1197,616,1490,1151,765,529,823,814,24387
23:00:00,574,631,361,335,348,585,747,642,510,424,609,697,727,959,901,385,383,584,601,569,1032,715,431,327,846,409,885,801,732,302,611,603,18052
