,2023-03-01,2023-03-02,2023-03-03,2023-03-04,2023-03-05,2023-03-06,2023-03-07,2023-03-08,2023-03-09,2023-03-10,2023-03-11,2023-03-12,2023-03-13,2023-03-14,2023-03-15,2023-03-16,2023-03-17,2023-03-18,2023-03-19,2023-03-20,2023-03-21,2023-03-22,2023-03-23,2023-03-24,2023-03-25,2023-03-26,2023-03-27,2023-03-28,2023-03-29,2023-03-30,2023-03-31,Workday,7 Day,Count
00:00:00,164,161,229,384,413,168,167,119,181,230,426,452,162,154,174,213,342,488,428,171,142,148,158,239,372,233,178,166,181,187,285,188,248,7515
01:00:00,86,84,135,300,320,78,72,92,101,134,309,352,91,86,92,145,231,415,310,83,88,69,77,119,351,211,104,111,70,91,167,105,166,4974
02:00:00,80,82,121,225,283,81,62,67,111,97,219,245,71,69,80,103,211,284,251,70,47,54,74,99,218,348,60,95,68,86,116,87,136,4077
03:00:00,63,66,88,177,189,68,57,54,77,77,193,216,62,59,71,75,139,251,155,83,58,45,63,103,164,304,55,89,56,63,106,73,111,3326
04:00:00,145,90,125,126,89,122,124,123,101,132,136,95,103,124,127,125,107,157,80,141,115,118,101,118,109,219,88,129,122,107,156,119,121,3754
05:00:00,319,299,300,178,114,292,315,326,319,288,195,95,316,310,380,299,138,162,113,300,309,301,331,279,174,146,265,283,331,277,295,299,255,8049
06:00:00,982,931,953,364,268,892,937,961,953,902,369,248,874,942,908,821,404,326,305,884,968,958,1017,946,385,205,671,798,772,805,797,873,712,22546
07:00:00,2191,2177,2033,708,380,2163,2107,2271,2170,1990,614,400,2060,2142,2148,2023,514,529,436,1987,2273,2245,2236,2065,629,408,1672,1744,1797,1816,1926,1989,1567,49854
08:00:00,2554,2651,2611,1229,516,2578,2652,2403,2387,2482,1019,584,2389,2528,2434,2340,667,817,518,2252,2477,2568,2500,2488,1214,553,1988,1926,1720,1911,2362,2299,1872,59318
09:00:00,2002,2020,1780,1839,868,1702,1949,1889,1793,1636,1610,924,1794,1974,1986,1855,861,1361,828,1644,1847,1976,1926,1806,1704,879,1408,1530,1522,1562,1821,1751,1609,50296
10:00:00,1607,1639,1694,2161,1299,1467,1497,1610,1501,1618,1673,1368,1436,1620,1532,1658,1104,1711,1258,1524,1541,1662,1585,1667,2176,1223,1203,1175,1223,1199,1591,1494,1526,47222
11:00:00,1569,1620,1764,2170,1654,1569,1526,1593,1593,1735,2064,1684,1524,1639,1646,1855,1247,2047,1592,1561,1567,1610,1624,1754,2386,1559,1162,1170,1186,1236,1783,1545,1645,50689
12:00:00,1861,1694,2048,2155,1973,1703,1712,1799,1706,1955,2220,2126,1632,1762,1812,2010,1615,2219,1944,1681,1718,1884,1755,1942,2598,1919,1322,1219,1349,1307,2170,1724,1844,56810
13:00:00,2105,1879,2105,2253,2222,1742,1717,2248,1795,2089,2371,2221,1700,1844,2135,2026,1148,2157,2009,1816,1810,2201,1843,2052,2589,2306,1334,1322,1566,1436,2156,1829,1954,60197
14:00:00,1946,1966,2273,2354,2081,1823,1881,2003,1914,2300,2338,2298,1827,1825,2008,2155,1275,2096,2093,1996,1852,2043,2016,2224,2512,1737,1430,1500,1504,1430,2271,1890,1975,60971
15:00:00,2058,2203,2480,2163,1973,2171,2228,2059,2209,2479,2097,1643,2027,2180,2142,2422,1299,2046,1974,1951,2262,2049,2274,2477,2334,1547,1648,1703,1612,1979,2276,2095,2060,63965
16:00:00,2478,2414,2559,1992,1797,2336,2154,2453,2414,2413,2082,1495,2270,1983,2261,2176,1345,1898,1907,2172,2108,2355,1963,2377,2042,1622,1645,1745,1719,2472,2244,2176,2084,64891
17:00:00,2548,2614,2400,1912,1548,2389,2024,2298,2229,2460,1866,1912,1905,1862,2002,2277,1253,1167,1636,1383,1904,2245,2080,2344,1859,1480,1712,1621,1601,2155,2299,2070,1956,60985
18:00:00,2332,2340,2057,1685,1546,1973,2196,2107,2080,2084,1691,1679,2052,2156,1980,2286,1243,1126,1472,1838,1841,2075,2160,2123,1827,1394,1458,1639,1669,2238,2142,2003,1874,58489
19:00:00,1776,1961,1881,1482,1266,1566,1652,1745,1912,1827,1522,1266,1575,1787,1862,2048,1203,1346,1472,1439,1472,1645,1922,1854,1586,1062,1217,1252,1331,1928,1957,1687,1598,49814
20:00:00,1206,1294,1294,1060,929,1101,1214,1121,1289,1249,1179,910,1095,1261,1199,1483,829,960,984,1106,1128,1238,1366,1318,983,926,814,1004,1072,1366,1468,1196,1138,35446
21:00:00,995,906,1179,671,665,983,947,920,942,981,730,685,780,913,989,1083,667,661,684,877,866,903,1003,984,721,619,536,730,802,980,1113,916,849,26515
22:00:00,603,639,800,623,451,577,483,566,723,731,700,428,483,691,621,680,600,613,438,438,488,592,707,714,700,424,456,519,489,698,843,615,595,18518
23:00:00,422,413,568,507,244,337,282,342,420,552,639,281,276,324,403,531,480,553,267,250,258,372,421,533,568,315,252,222,296,452,638,393,401,12418
