,2024-11-01,2024-11-02,2024-11-03,2024-11-04,2024-11-05,2024-11-06,2024-11-07,2024-11-08,2024-11-09,2024-11-10,2024-11-11,2024-11-12,2024-11-13,2024-11-14,2024-11-15,2024-11-16,2024-11-17,2024-11-18,2024-11-19,2024-11-20,2024-11-21,2024-11-22,2024-11-23,2024-11-24,2024-11-25,2024-11-26,2024-11-27,2024-11-28,2024-11-29,2024-11-30,Workday,7 Day,Count
00:00:00,609,409,399,174,267,285,285,396,445,491,208,170,154,159,242,463,489,161,248,275,233,478,420,462,190,239,233,313,478,609,276,330,9984
01:00:00,479,252,314,77,194,280,211,223,299,324,84,70,81,95,128,296,363,83,190,185,198,299,258,338,102,176,172,214,306,371,183,220,6662
02:00:00,443,200,245,72,122,168,117,134,256,243,94,69,61,74,122,273,291,100,146,139,159,218,171,241,62,169,145,155,180,292,140,171,5161
03:00:00,277,163,248,83,81,79,91,132,189,231,68,74,69,80,105,200,205,69,126,136,163,193,142,192,88,160,149,161,184,203,122,144,4341
04:00:00,236,145,183,132,181,142,153,220,168,167,132,124,161,168,194,155,181,137,151,139,166,208,128,167,151,171,149,145,215,164,165,164,4933
05:00:00,331,191,140,380,383,362,353,316,182,136,319,345,377,378,321,179,133,323,352,319,344,298,124,130,345,327,351,358,343,209,344,291,8649
06:00:00,913,489,269,965,1071,1046,1108,932,403,242,991,1042,1026,1098,929,403,219,955,1117,993,910,858,244,249,919,987,976,1064,853,445,988,800,23716
07:00:00,1679,662,393,2227,2300,2184,2230,2042,597,423,2194,2173,2327,2251,2072,614,392,2031,2316,2239,1752,1758,357,362,2170,2202,2320,2201,1968,722,2126,1662,49158
08:00:00,1808,1039,578,2656,2689,2628,2730,2552,1128,593,2622,2784,2742,2680,2583,1191,660,2266,2676,2712,1812,2482,556,548,2689,2574,2532,2566,2350,1190,2530,2045,60616
09:00:00,1621,1647,1011,1846,2044,1919,1929,1879,1726,1087,1951,2215,1994,2105,1822,1807,1095,1860,2000,2035,1478,1863,942,964,1935,2066,1901,2025,1813,1841,1919,1756,52421
10:00:00,1786,2141,1324,1551,1715,1588,1719,1686,2096,1443,1553,1602,1648,1705,1741,2134,1442,1636,1685,1647,1784,1685,1677,1445,1565,1696,1496,1734,1880,2176,1672,1698,50980
11:00:00,1894,2208,1743,1588,1640,1732,1702,1840,2222,1805,1661,1749,1739,1752,1932,2257,1801,1663,1690,1743,1558,1794,1830,1718,1702,1680,1322,1846,1944,2247,1722,1796,54002
12:00:00,2128,2310,1985,1724,1800,1911,1916,2063,2387,2097,1753,1745,1814,1816,2039,2438,2102,1754,1804,1918,1614,1972,2140,2095,1732,1880,1429,1860,2056,2429,1844,1952,58711
13:00:00,2137,2397,2267,1862,1975,2239,1973,2199,2122,2430,1990,1945,2232,2088,2032,2442,2343,1882,1877,2282,1725,2107,1994,2207,1934,1971,2191,2123,2319,2318,2052,2117,63603
14:00:00,2283,2284,2250,1949,2004,2157,2174,2303,2502,2354,2010,1958,2185,2105,2245,2414,2330,2085,2068,2253,1942,2008,2033,2258,1998,2060,2036,2152,2574,2472,2121,2179,65446
15:00:00,2389,2247,2385,2378,2340,2131,2307,2451,2108,2360,2380,2245,2356,2196,2239,2366,2259,2248,2279,2343,2218,2169,1859,2208,2223,2264,2203,2250,2368,2153,2285,2265,67922
16:00:00,2266,2036,2198,2360,2544,2467,2562,2512,2189,2317,2532,2511,2548,2432,2237,2278,2327,2350,2297,2522,2233,2453,1711,2287,2442,2563,2537,2272,2379,2045,2429,2351,70407
17:00:00,2270,1934,2089,2288,2487,2493,2337,2487,2026,2334,2465,2484,2539,2539,2390,2142,1936,2292,2453,2356,2252,2299,1735,1897,2436,2396,2332,1376,2257,1933,2344,2247,67254
18:00:00,2150,1870,1619,2022,2289,2120,1819,2165,1937,1798,2065,2095,2334,2306,2140,2186,1707,1968,2149,2175,2020,2147,1638,1636,2019,2350,2183,1670,2319,2096,2119,2037,60992
19:00:00,1785,1542,1303,1650,1792,1819,1988,1893,1592,1350,1649,1767,1957,1932,1949,1754,1300,1545,1672,1932,1637,1965,1484,1431,1632,1794,1873,1943,2253,1852,1830,1739,52035
20:00:00,1326,999,924,1208,1242,1411,1419,1291,1094,984,1200,1248,1341,1397,1602,1122,919,1114,1339,1519,1288,1413,991,951,1138,1334,1388,1467,1543,1258,1344,1254,37470
21:00:00,952,833,687,1432,1527,1538,1690,865,789,715,860,937,1533,1064,1075,850,652,1312,1320,1541,1389,1064,660,694,1334,1595,1433,1704,1210,873,1304,1146,34128
22:00:00,795,784,457,913,1222,1132,1316,838,750,465,515,567,627,691,869,767,486,860,1021,1086,1103,877,781,503,872,962,1037,1350,1064,969,939,860,25679
23:00:00,549,488,309,517,562,595,753,600,594,293,282,275,333,408,573,579,343,525,471,575,696,778,613,271,560,552,597,905,831,883,568,545,16310
