,2024-10-01,2024-10-02,2024-10-03,2024-10-04,2024-10-05,2024-10-06,2024-10-07,2024-10-08,2024-10-09,2024-10-10,2024-10-11,2024-10-12,2024-10-13,2024-10-14,2024-10-15,2024-10-16,2024-10-17,2024-10-18,2024-10-19,2024-10-20,2024-10-21,2024-10-22,2024-10-23,2024-10-24,2024-10-25,2024-10-26,2024-10-27,2024-10-28,2024-10-29,2024-10-30,2024-10-31,Workday,7 Day,Count
00:00:00,405,287,282,417,415,417,171,229,424,336,479,432,510,210,338,253,244,348,518,511,257,412,320,388,570,558,747,700,214,276,320,343,391,11988
01:00:00,168,142,201,267,283,287,112,131,202,274,345,299,359,128,128,131,150,221,308,373,132,182,255,265,324,466,629,532,89,255,218,211,258,7856
02:00:00,110,125,114,199,224,218,126,88,147,188,182,218,273,79,102,83,99,161,221,300,95,178,154,166,219,434,1000,477,88,162,169,153,212,6399
03:00:00,154,135,117,137,211,198,86,88,137,162,185,188,286,81,102,102,93,130,179,266,106,147,113,166,150,331,227,316,84,157,127,134,163,4961
04:00:00,161,169,193,180,151,136,168,154,132,191,212,170,167,150,153,158,176,186,163,151,173,168,153,173,210,186,154,184,154,157,161,170,167,5194
05:00:00,319,353,343,315,189,138,296,347,333,356,321,159,141,314,342,355,325,311,158,133,322,391,342,343,316,196,133,149,310,301,305,322,275,8656
06:00:00,1014,1081,975,900,446,318,987,1031,1026,1061,846,423,278,921,1006,1063,1042,868,337,267,951,1056,1053,1013,888,361,227,266,1004,1018,955,958,779,24682
07:00:00,2218,2282,2193,2094,623,445,2167,2245,2227,2212,2016,682,397,2176,2230,2195,2190,2004,721,404,2245,2338,2324,2126,1966,603,416,412,2029,2031,1893,2079,1638,52104
08:00:00,2668,2576,2628,2384,995,615,2646,2685,2617,2566,2530,1150,657,2669,2630,2305,2582,2473,1134,582,2527,2598,2597,2657,2500,987,532,505,2022,2172,2026,2416,1963,62215
09:00:00,1980,1873,1949,1637,1652,967,1893,2079,2095,1982,1778,1843,1017,1832,2093,1966,1956,1727,1735,915,1803,2039,2104,2029,1851,1592,1008,873,1872,1883,1785,1873,1721,53808
10:00:00,1620,1604,1761,1670,1907,1418,1443,1598,1625,1615,1675,2160,1415,1492,1609,1510,1674,1681,2101,1282,1511,1712,1625,1702,1865,1959,1482,1285,1775,1747,1784,1634,1657,51307
11:00:00,1587,1765,1677,1812,2082,1648,1597,1603,1669,1731,1892,2266,1755,1558,1586,1548,1662,1641,2139,1595,1579,1565,1706,1758,1947,2348,1937,1710,1775,1783,1898,1698,1776,54819
12:00:00,1680,1941,1845,2044,2120,2132,1757,1771,1811,1805,1963,2407,2013,1676,1778,1899,1761,2130,2207,1914,1770,1729,1946,2021,2363,2443,2256,2088,1995,2067,2011,1907,1987,61343
13:00:00,1863,2223,1954,2183,2294,2323,1894,1888,2177,1977,2283,2612,2292,1820,1910,2164,2015,2316,2418,1736,1854,1959,2278,2063,2199,2468,2509,2211,2096,2096,2271,2074,2147,66346
14:00:00,1964,2064,2116,2319,2141,2310,1942,1947,2069,2054,2371,2381,2373,2017,1972,2139,2106,2272,2377,2066,2057,2123,2225,2188,2339,2557,2259,2294,2034,2169,2182,2129,2180,67427
15:00:00,2159,2175,2443,2339,1964,2231,2145,2406,2197,2302,2410,2367,2227,2191,2341,2240,2342,2438,2340,1960,2190,2331,2304,2434,2486,2504,2337,2144,2164,2161,2286,2288,2275,70558
16:00:00,2392,2598,2557,2360,1672,2176,2280,2431,2495,2550,2433,2214,2174,2446,2565,2427,2428,2337,2285,1924,2335,2486,2579,2089,2242,2127,2127,2089,2452,2514,2510,2417,2323,72294
17:00:00,2320,1358,2490,2300,1682,2187,1906,2218,2461,2653,2525,2105,2044,2533,2385,1738,2451,2328,2109,1864,2424,2457,2613,2296,2151,2082,2255,1968,2417,2465,2361,2296,2223,69146
18:00:00,2182,1620,2179,2109,1370,1744,1955,2145,2234,2263,2348,1953,1853,1976,2082,1882,2377,2144,1895,1998,2060,2214,2300,2182,2170,1953,1693,1638,2000,2022,1995,2090,2009,62536
19:00:00,1829,1872,1978,2036,1091,1427,1643,1872,2014,2150,1983,1728,1333,1600,1601,2073,2071,1978,1614,1270,1757,1766,1918,1999,2090,1650,1356,1270,1686,1835,1680,1857,1736,54170
20:00:00,1301,1342,1396,1335,909,1072,1303,1335,1421,1527,1484,1252,957,1376,1191,1666,1413,1365,1111,890,1340,1300,1417,1437,1520,1302,1049,903,1238,1372,1474,1368,1282,39998
21:00:00,1373,1138,1311,1161,711,934,982,1438,1698,1475,1282,928,619,1266,1088,983,1070,985,817,555,1420,1373,1623,1698,1378,1217,862,656,1503,1596,1160,1289,1158,36300
22:00:00,817,842,992,782,659,424,539,932,1064,1162,765,1004,493,746,735,529,811,901,742,548,1017,906,986,1251,1039,936,832,388,1116,1198,1082,896,841,26238
23:00:00,513,523,647,567,480,340,312,585,652,816,706,638,330,522,482,356,555,697,591,334,696,523,648,905,682,888,732,279,642,694,896,604,586,18231
